,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1452062169646854144,1452062169646854144,1635033573000.0,2021-10-24 08:59:33,+0900,,もう無理だ死にたい,ja,[],[],1452056866880589830,1452056866880589830,xO6T55ZjM6yTv5N,死にたい,7,08,https://twitter.com/xO6T55ZjM6yTv5N/status/1452062169646854144,[],[],0,,False,0,0,0,,もう無理,,,,,,,[],,,,
1,1,1452062144623616000,1452062144623616000,1635033567000.0,2021-10-24 08:59:27,+0900,,おはようございます。今日は在宅Dayです。 一生仕事終わらんし次から次へと。。もう無理だって言ってるのに聞いてもらえず。子どもが可哀想すぎるのでちょっとでも家にいるために邪魔ばかり入るけど在宅で。。   #シンボシ今朝のセトリ ｼｭｰﾃｨﾝｸﾞ しあわせ おばあちゃん   ライブ行きたい😭  https://t.co/aFlOvfGcxp,ja,['シンボシ今朝のセトリ'],[],317485490,317485490,TUTTI_10,つっちー*㌠👨‍🔬🍒,7,08,https://twitter.com/TUTTI_10/status/1452062144623616000,[],"['https://pbs.twimg.com/media/FCbC0n5VUAMeUR4.jpg', 'https://pbs.twimg.com/media/FCbC0oCVEAI6h0t.jpg']",1,https://pbs.twimg.com/media/FCbC0n5VUAMeUR4.jpg,False,1,0,0,,もう無理,,,,,,,[],,,,
2,2,1452061905070133253,1452061905070133253,1635033510000.0,2021-10-24 08:58:30,+0900,,バイト先の子らとリアル イカゲームしてる夢見た、、ちょっとミスったらナイフで切りつけられてて怖すぎてもう無理。 なんでか 起きたら泣いてる後あった😂,ja,[],[],820511483209494528,820511483209494528,_nya29y,ゆいにゃ！,7,08,https://twitter.com/_nya29y/status/1452061905070133253,[],[],0,,False,3,0,0,,もう無理,,,,,,,[],,,,
3,3,1452061871700262912,1452061871700262912,1635033502000.0,2021-10-24 08:58:22,+0900,,かわいいし！泣くし！ もう無理無理,ja,[],[],1386196053305692163,1386196053305692163,Izuki_re,ゐづき！トウカイテイオー,7,08,https://twitter.com/Izuki_re/status/1452061871700262912,[],[],0,,False,0,0,0,,もう無理,,,,,,,[],,,,
4,4,1452061826892513284,1452061826892513284,1635033492000.0,2021-10-24 08:58:12,+0900,,おはようございます〜 10月24日、日曜日。家族のお弁当作って二度寝をキメたらこんな時間だわーー。 ホンマこんな事よく毎日してたと思う…もう無理(笑),ja,[],[],2982507060,2982507060,hiroryo344,HIRO344,7,08,https://twitter.com/hiroryo344/status/1452061826892513284,[],[],0,,False,2,0,0,,もう無理,,,,,,,[],,,,
5,5,1452061797201027079,1452061797201027079,1635033485000.0,2021-10-24 08:58:05,+0900,,もう無理可愛すぎ！！  RT,ja,[],[],828088786538016769,828088786538016769,1ff_cu,いつき,7,08,https://twitter.com/1ff_cu/status/1452061797201027079,[],[],0,,False,0,0,0,,もう無理,,,,,,,[],,,,
6,6,1452061466199162881,1452061466199162881,1635033406000.0,2021-10-24 08:56:46,+0900,,もう無理やと思ってたで  https://t.co/f7Jd5AnUc4,ja,[],[],1085504138098630656,1085504138098630656,pkimidori92,きみどり🌿,7,08,https://twitter.com/pkimidori92/status/1452061466199162881,[],['https://pbs.twimg.com/media/FCbCNG-UcAg5mK7.jpg'],1,https://pbs.twimg.com/media/FCbCNG-UcAg5mK7.jpg,False,4,0,0,,もう無理,,,,,,,[],,,,
7,7,1452061393109225472,1452060889809522688,1635033388000.0,2021-10-24 08:56:28,+0900,,@yoshi14413200 禁欲もう無理そう…w,ja,[],[],1450469823431970830,1450469823431970830,a_m0512_,a.,7,08,https://twitter.com/a_m0512_/status/1452061393109225472,[],[],0,,False,1,1,0,,もう無理,,,,,,,"[{'screen_name': 'yoshi14413200', 'name': 'yoshi', 'id': '1450433770914336773'}]",,,,
8,8,1452061390873657344,1452061247898144770,1635033388000.0,2021-10-24 08:56:28,+0900,,@qfMVgvmiKCHLbUY コレもう無理１５回やっても出ないし爆死もうやらないほうがいい,ja,[],[],1437682981854867461,1437682981854867461,CheesecakeYano,チーズケーキ矢野,7,08,https://twitter.com/CheesecakeYano/status/1452061390873657344,[],[],0,,False,1,1,0,,もう無理,,,,,,,"[{'screen_name': 'qfMVgvmiKCHLbUY', 'name': '創造帝王・リバーページ（かわページ）', 'id': '1332454909967360000'}]",,,,
9,9,1452061381801308165,1452061381801308165,1635033386000.0,2021-10-24 08:56:26,+0900,,もう無理。頑張れないよー,ja,[],[],1385530359127842821,1385530359127842821,m____030303,名前が4つある女。,7,08,https://twitter.com/m____030303/status/1452061381801308165,[],[],0,,False,1,0,0,,もう無理,,,,,,,[],,,,
