,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1451921741647736836,1451921741647736836,1635000093000.0,2021-10-23 23:41:33,+0900,,抗うつ剤「アナフラニール」(1978)  この頃はまだ治り難い病なのか、病気の率直なイメージを表現しているようだ。   https://t.co/7jRDNRElaY,ja,[],[],2351096154,2351096154,gr07066,シュールな広告アートまとめ,6,23,https://twitter.com/gr07066/status/1451921741647736836,[],['https://pbs.twimg.com/media/Bgz48oFCcAANE_A.jpg'],1,https://pbs.twimg.com/media/Bgz48oFCcAANE_A.jpg,False,0,0,0,,アナフラニール,,,,,,,[],,,,
1,1,1451918270827679745,1451918270827679745,1634999265000.0,2021-10-23 23:27:45,+0900,,アナフラニール欲しい,ja,[],[],1451858932826140680,1451858932826140680,nyam_gohan,ねこらいす,6,23,https://twitter.com/nyam_gohan/status/1451918270827679745,[],[],0,,False,0,0,0,,アナフラニール,,,,,,,[],,,,
2,2,1451902790196862987,1451902790196862987,1634995574000.0,2021-10-23 22:26:14,+0900,,アナフラニール飲む前は体重42㌔だったんだ㌔、飲み始めてから体重54㌔まで増えたんだ㌔💦 太らない安定剤とかって無いのCA4LA❓💦 去年買った服がムチり上げて入らない🥵🥵🥵💦,ja,[],[],1074473889281957888,1074473889281957888,mymelo_manmelo,おねがい❕🌰🈵メロディ🐰🎀,6,22,https://twitter.com/mymelo_manmelo/status/1451902790196862987,[],[],0,,False,1,0,0,,アナフラニール,,,,,,,[],,,,
3,3,1451756770188161025,1451756770188161025,1634960761000.0,2021-10-23 12:46:01,+0900,,お昼…遅刻ぎりぎりにフラフラになりながら何とかついた。 力が抜けなかったのはアナフラニールのおかげかな…,ja,[],[],779857168384143360,779857168384143360,kumotaitu_0917,クモタイツ,6,12,https://twitter.com/kumotaitu_0917/status/1451756770188161025,[],[],0,,False,0,0,0,,アナフラニール,,,,,,,[],,,,
4,4,1451664381301833732,1451664381301833732,1634938733000.0,2021-10-23 06:38:53,+0900,,おくすりあれば　アナフラニール　アミプリン わたしになれる　ソラナックス　サイレース おくすりなけりゃ　デプロメール　エフェドリン わたしはきえる　ドグマチール　ハルシオン／ファッションパンク,ja,[],[],400868190,400868190,urban_lyric_bot,アーバンギャルド歌詞_bot,6,06,https://twitter.com/urban_lyric_bot/status/1451664381301833732,[],[],0,,False,0,0,0,,アナフラニール,,,,,,,[],,,,
5,5,1451447861669892097,1451447861669892097,1634887111000.0,2021-10-22 16:18:31,+0900,,まあでもアナフラニール飲んでるからもう実質フルチンみたいなもんだけど フルチン＋αって感じかな？,ja,[],[],1361699828757975041,1361699828757975041,alice_wardrobe,ありすたゃ♡♤♢♧,5,16,https://twitter.com/alice_wardrobe/status/1451447861669892097,[],[],0,,False,1,0,0,,アナフラニール,,,,,,,[],,,,
6,9,1451351277300977694,1451351277300977694,1634864083000.0,2021-10-22 09:54:43,+0900,,【僕の眠気問題】①三環系抗うつ薬アナフラニールの副作用②双極背障害のうつ状態の身体的疲労感を伴う過眠③自閉スペクトラム症（グレーゾーン）の関与 こういった原因の眠気には、カフェインかベタナミンかしか選べない。なんで？①,ja,[],[],99679639,99679639,ututotukiau_PT,POST,5,09,https://twitter.com/ututotukiau_PT/status/1451351277300977694,[],[],0,,False,1,1,0,,アナフラニール,,,,,,,[],,,,
7,10,1451304335300653057,1451304335300653057,1634852892000.0,2021-10-22 06:48:12,+0900,,アナフラニール 意欲を高め、ゆううつな気分を改善します。 通常、うつ病・うつ状態の治療に用いられます。 副作用として、口渇、ねむけ、立ちくらみ・めまい・ふらつき、食欲減退、光線過敏症、脱毛、発疹、そう痒感など #うつ病 #病み垢,ja,"['うつ病', '病み垢']",[],1034310636472217600,1034310636472217600,okusurishan,心理のプロが教えるあなたの薬,5,06,https://twitter.com/okusurishan/status/1451304335300653057,[],[],0,,False,0,0,0,,アナフラニール,,,,,,,[],,,,
8,11,1451277809041633307,1451277809041633307,1634846567000.0,2021-10-22 05:02:47,+0900,,なら、 #アナフラニール の処方は意外とヒットなのかもしれない。。。  、、、  、、、  、、、  、、、  、、、なんてことはなくて、三環系抗うつ薬は、副作用が酷いから嫌いなんだよー(꒪д꒪II,ja,['アナフラニール'],[],1061423471723405313,1061423471723405313,Mazda_Uki,優希の冒険譚　3D人狼殺YouTuber,5,05,https://twitter.com/Mazda_Uki/status/1451277809041633307,[],[],0,,False,0,0,0,https://twitter.com/Mazda_Uki/status/1451277310208864267,アナフラニール,,,,,,,[],,,,
9,14,1451263450575867921,1451263450575867921,1634843144000.0,2021-10-22 04:05:44,+0900,,マイスリー、コントミン、ベルソムラ、アナフラニール、サイレース、デパス、サインバルタで寝れないってやばいよね,ja,[],[],753456430372364288,753456430372364288,poison_ryoha,どいちゃん　1.5ミリ大谷映美里,5,04,https://twitter.com/poison_ryoha/status/1451263450575867921,[],[],0,,False,0,0,0,,アナフラニール,,,,,,,[],,,,
10,15,1451251499330244610,1451251499330244610,1634840295000.0,2021-10-22 03:18:15,+0900,,お腹いっぱいなのに『なにか食べたいなにか食べたいなにか食べたい』ってなってまだ３時なのにお供え物のどら焼きもらっちゃった……。 トピナあるときはなにがなんでも４時までまてたのに。 #アナフラニール #過眠症 #不眠症 #睡眠障害 #睡眠発作,ja,"['アナフラニール', '過眠症', '不眠症', '睡眠障害', '睡眠発作']",[],1310773101223763968,1310773101223763968,RIririTOriri,りり,5,03,https://twitter.com/RIririTOriri/status/1451251499330244610,[],[],0,,False,2,0,0,,アナフラニール,,,,,,,[],,,,
11,16,1451212950656544771,1451212950656544771,1634831104000.0,2021-10-22 00:45:04,+0900,,アナフラニールちゃんと飲んでるのに絶望感でやばいのマジむり頭おかしいんじゃないの？ちゃんと薬効くように脳の回路整えて欲しい。,ja,[],[],104157325,104157325,0000Fuziko0000,ふじこ☆幸在9 晴海Aサ42b,5,00,https://twitter.com/0000Fuziko0000/status/1451212950656544771,[],[],0,,False,0,0,0,,アナフラニール,,,,,,,[],,,,
12,17,1451182135608369154,1451182135608369154,1634823757000.0,2021-10-21 22:42:37,+0900,,拒んでいた自分だけど、今から考えればもっと早く普通に薬出してくれる精神科に行って薬飲んでればもっと楽に楽しく人生送れたんじゃないかって最近思う。当時はまだSSRIもなかったけど、ほぼ同じ作用のあるアナフラニールはあったわけだから試してみたかったな。,ja,[],[],83167333,83167333,rarufff,強迫性口琴生活者らるふ,4,22,https://twitter.com/rarufff/status/1451182135608369154,[],[],0,,False,0,0,0,,アナフラニール,,,,,,,[],,,,
