,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1451761493054148610,1451761493054148610,1634961887000.0,2021-10-23 13:04:47,+0900,,【一般名】スルピリド 【商品名】アビリット 【薬効分類】消化性潰瘍治療薬 【投与量】150mg 【適応】消化器症状 【副作用】パーキンソン症候群 【薬理】ドパミン受容体遮断作用,ja,[],[],1715296154,1715296154,hisshu220,必修薬物２２０bot,6,13,https://twitter.com/hisshu220/status/1451761493054148610,[],[],0,,False,0,0,0,,アビリット,,,,,,,[],,,,
1,1,1451490380310974466,1451490380310974466,1634897248000.0,2021-10-22 19:07:28,+0900,,分類：抗精神病薬　商品名：ドグマチールorアビリット　一般名：スルピリド　効能：統合失調症、うつ病、胃・十二指腸潰瘍　用量：50-1200mg（疾患により異なる）　備考：うつ病に対して添付文書は150-300mgが用量であるが、50mgでも十分に効果のある人もいる,ja,[],[],1213583493730422784,1213583493730422784,kokorokusuri999,ガブちゃんこころの救急箱,5,19,https://twitter.com/kokorokusuri999/status/1451490380310974466,[],[],0,,False,0,0,0,,アビリット,,,,,,,[],,,,
2,3,1451344725659717638,1451344725659717638,1634862521000.0,2021-10-22 09:28:41,+0900,,"薬名:ドグマチール,アビリット,ミラドール(スルピリド) 薬価:15.3(6.3) 分類:ブチロフェノン系抗精神病薬 強さ:中 鎮静作用:なし 錐体外路症状:弱～中 肥満:中 適応 1.統合失調症 2.うつ病 3.胃,十二指腸潰瘍  https://t.co/k1OOws0GyZ",ja,[],[],3299940768,3299940768,medicinelistbot,お薬たん,5,09,https://twitter.com/medicinelistbot/status/1451344725659717638,[],['https://pbs.twimg.com/media/CLokXPLUwAA3AXj.jpg'],1,https://pbs.twimg.com/media/CLokXPLUwAA3AXj.jpg,False,0,0,0,,アビリット,,,,,,,[],,,,
3,4,1451296642619957248,1451296642619957248,1634851058000.0,2021-10-22 06:17:38,+0900,,アビリット 強い不安や緊張感をやわらげ、気分を安定させます。また、気分が落ち込んだときに高めたりします。通常、統合失調症やうつ病、うつ状態の治療に 副作用として、睡眠障害、手足のふるえ、月経異常、発疹、かゆみ、浮腫など #うつ病 #病み垢,ja,"['うつ病', '病み垢']",[],1034310636472217600,1034310636472217600,okusurishan,心理のプロが教えるあなたの薬,5,06,https://twitter.com/okusurishan/status/1451296642619957248,[],[],0,,False,0,0,0,,アビリット,,,,,,,[],,,,
4,5,1451194580817219588,1451096020150980612,1634826724000.0,2021-10-21 23:32:04,+0900,,@biwa_azuman あずまんさん、 4号機です！  アビリットからでてた台なので、 導入数は少なかったです(;^ω^)  雰囲気良いですよね🤤,ja,[],[],795208705545338880,795208705545338880,ban10969885,ban,4,23,https://twitter.com/ban10969885/status/1451194580817219588,[],[],0,,False,1,0,0,,アビリット,,,,,,,"[{'screen_name': 'biwa_azuman', 'name': '☆あずまん☆', 'id': '139224030'}]",,,,
5,7,1450937724148404230,1450937724148404230,1634765485000.0,2021-10-21 06:31:25,+0900,,スルピリド。製品名、ドグマチール、アビリット、ミラドール。比較的軽い抑うつ症状に使われている。食欲不振や吐き気があるときにも向いている、まあ胃薬として処方されることも。副作用として多いのが女性は乳汁分泌、男性は胸の膨らみ。この副作用が気になる場合はすぐに主治医に相談しよう。,ja,[],[],990950616041013248,990950616041013248,psydrug_yagen,向精神薬に詳しい薬研藤四郎bot,4,06,https://twitter.com/psydrug_yagen/status/1450937724148404230,[],[],0,,False,0,0,0,,アビリット,,,,,,,[],,,,
6,8,1450862942673465344,1450862942673465344,1634747655000.0,2021-10-21 01:34:15,+0900,,「CRセブンレイ」です！この台、アビリット社（旧：高砂）が2003年にパチンコ参入台として、銀座ブランドで発売したもの。スペック的には、大当たり確率が約350分の1で、50%確率変動＋時短100回といったごく普通のフィーバー機なのですが、とんでもない台だったんです！  ＃CRセブンレイ,ja,['crセブンレイ'],[],727392079710662656,727392079710662656,7pa7chi77,パチンコ現実的必勝マガジン,4,01,https://twitter.com/7pa7chi77/status/1450862942673465344,[],[],0,,False,0,0,0,,アビリット,,,,,,,[],,,,
7,9,1450766551611633668,1450763425949179914,1634724674000.0,2021-10-20 19:11:14,+0900,,@s61ae86trueno3d アビリットが沖スロ的な物を作った感じで、裏物のように激しい台でした。,ja,[],[],187171713,187171713,DT4545orz,松下　幸の助,3,19,https://twitter.com/DT4545orz/status/1450766551611633668,[],[],0,,False,1,0,0,,アビリット,,,,,,,"[{'screen_name': 's61ae86trueno3d', 'name': 'しげちゃん', 'id': '1255864852007944194'}]",,,,
8,11,1450662571179057158,1450662571179057158,1634699883000.0,2021-10-20 12:18:03,+0900,,抗うつ薬⑤  ＊SARI（セロトニン2 受容体拮抗・再取り込み阻害薬） ・トラゾドン塩酸塩（デジレル、レスリン）  ＊定型抗精神病薬 ・スルピリド（ドグマチール、アビリット、ミラドール）,ja,[],[],1018802179862171648,1018802179862171648,psychologicalb3,心理臨床あれこれ,3,12,https://twitter.com/psychologicalb3/status/1450662571179057158,[],[],0,,False,1,0,0,,アビリット,,,,,,,[],,,,
9,13,1450484993935831043,1450484993935831043,1634657545000.0,2021-10-20 00:32:25,+0900,,しごおわ帰宅！ 本日もお疲れ様でした🙇🏻‍♂️  今朝の0絵柄はこの台💁‍♂️  サイボーグ009（アビリット）  A400ストック機。 加速モードによる連チャンが特徴的！ 移行すればまずは120G付近でボーナス、次は90G付近、60G付近、40G付近、20G付近、最後は1桁Gとボーナス放出が加速します😊 たまに1段階飛ばす😑  https://t.co/1Z084yksma,ja,[],[],1189971650562818049,1189971650562818049,AfromanNon,アフロ（には程遠い）マン@🌟に魅せられし者,3,00,https://twitter.com/AfromanNon/status/1450484993935831043,[],['https://pbs.twimg.com/media/FCEoaZfVkAALOOT.jpg'],1,https://pbs.twimg.com/media/FCEoaZfVkAALOOT.jpg,False,57,1,0,,アビリット,,,,,,,[],,,,
