,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1452049548247846914,1452049548247846914,1635030564000.0,2021-10-24 08:09:24,+0900,,#トリプトメール　#アミトリプチリン &gt;アミトリプチリンには、ノルアドレナリンやセロトニンの再取り込みを阻害する働きによりこれらの物質の量を増加させる働きがあります。 &gt;「業界最安値」続きは→→ https://t.co/mPeIHFRRYr　個人輸入代行,ja,"['トリプトメール', 'アミトリプチリン']",[],1326259777878421504,1326259777878421504,Mu88765,海外おくすり紹介,7,08,https://twitter.com/Mu88765/status/1452049548247846914,['http://d99.biz/5jb/'],[],0,,False,0,0,0,,アミトリプチリン,,,,,,,[],,,,
1,1,1452041026391003138,1452041026391003138,1635028532000.0,2021-10-24 07:35:32,+0900,,アミトリプチリンは向精神薬の一つで三環系抗うつ薬です。向精神薬の長期服用は副作用・依存性・禁断症状・後遺症などの危険性を増していきます。アミトリプチリンの詳細な副作用は以下の通りです→ https://t.co/92AxdranFe（医薬品添付文書より）。,ja,[],[],1872014227,1872014227,alphaforu,向精神薬・副作用情報,7,07,https://twitter.com/alphaforu/status/1452041026391003138,['http://ow.ly/2bt2Qm'],[],0,,False,0,0,0,,アミトリプチリン,,,,,,,[],,,,
2,2,1451874914479132677,1451874914479132677,1634988928000.0,2021-10-23 20:35:28,+0900,,#トリプトメール　#アミトリプチリン &gt;アミトリプチリンには、ノルアドレナリンやセロトニンの再取り込みを阻害する働きによりこれらの物質の量を増加させる働きがあります。 &gt;「業界最安値」続きは→→ https://t.co/87gTksytkk　個人輸入代行,ja,"['トリプトメール', 'アミトリプチリン']",[],1231467370763317249,1231467370763317249,bos56a,個人輸入代行,6,20,https://twitter.com/bos56a/status/1451874914479132677,['http://d99.biz/5jb/'],[],0,,False,0,0,0,,アミトリプチリン,,,,,,,[],,,,
3,3,1451843682454237188,1451843682454237188,1634981482000.0,2021-10-23 18:31:22,+0900,,フォロワーなら行くべき,ja,[],[],1431900036003102721,1431900036003102721,bad__s,アミトリプチリン低浮,6,18,https://twitter.com/bad__s/status/1451843682454237188,[],[],0,,False,4,0,0,,アミトリプチリン,,,,,,,[],,,,
4,24,1451020190632742914,1451020190632742914,1634785146000.0,2021-10-21 11:59:06,+0900,,三環系抗うつ薬：第3級アミン⇒イミプラミン、アミトリプチリン、クロミプラミン、ロフェプラミン。第2級アミン⇒デシプラミン、ノルトリプチリン、アモキサピン,ja,[],[],1257676076,1257676076,yakugakubot001,薬理学bot,4,11,https://twitter.com/yakugakubot001/status/1451020190632742914,[],[],0,,False,0,0,0,,アミトリプチリン,,,,,,,[],,,,
5,30,1450670027045158914,1450670027045158914,1634701661000.0,2021-10-20 12:47:41,+0900,,アミトリプチリン塩酸塩 抑うつ気分を和らげます。また、膀胱の容量を増して尿が漏れるのを防ぎます。痛みを和らげる作用も。 うつ病・うつ状態、夜尿症、末梢性神経障害性疼痛の治療に。 副作用として、眠気、発疹、蕁麻疹、口渇など #うつ病 #病み垢,ja,"['うつ病', '病み垢']",[],1034310636472217600,1034310636472217600,okusurishan,心理のプロが教えるあなたの薬,3,12,https://twitter.com/okusurishan/status/1450670027045158914,[],[],0,,False,0,0,0,,アミトリプチリン,,,,,,,[],,,,
6,31,1450632364682452995,1450632364682452995,1634692681000.0,2021-10-20 10:18:01,+0900,,抗うつ薬③  ＊三環系 ・イミプラミン塩酸塩(イミドール、トフラニール) ・アミトリプチリン塩酸塩(トリプタノール) ・ノルトリプチリン塩酸塩(ノリトレン) ・クロミプラミン塩酸塩(アナフラニール) ・アモキサピン(アモキサン),ja,[],[],1018802179862171648,1018802179862171648,psychologicalb3,心理臨床あれこれ,3,10,https://twitter.com/psychologicalb3/status/1450632364682452995,[],[],0,,False,2,0,0,,アミトリプチリン,,,,,,,[],,,,
7,32,1450622454842281985,1450622454842281985,1634690319000.0,2021-10-20 09:38:39,+0900,,【偏頭痛】 急性期治療薬 ・トリプタン ・NSAIDｓ ・アセトアミノフェン ・エルゴタミン  予防薬 ・Ca拮抗薬 ・β遮断薬 ・抗うつ薬（アミトリプチリンなど） ・抗てんかん薬（VPAなど）,ja,[],[],2199253046,2199253046,Medical_xb,医師国家試験ろ-２号機,3,09,https://twitter.com/Medical_xb/status/1450622454842281985,[],[],0,,False,0,0,0,,アミトリプチリン,,,,,,,[],,,,
8,33,1450621478035025921,1450621478035025921,1634690086000.0,2021-10-20 09:34:46,+0900,,アミトリプチリンは、下行性疼痛抑制系の神経終末でのセロトニン及びノルアドレナリン再取り込みを阻害し、痛覚情報伝達を抑制する。（102-156）,ja,[],[],822883322,822883322,kokushiyakuri,国試薬理bot,3,09,https://twitter.com/kokushiyakuri/status/1450621478035025921,[],[],0,,False,0,0,0,,アミトリプチリン,,,,,,,[],,,,
9,42,1450410996158255104,1450410996158255104,1634639903000.0,2021-10-19 19:38:23,+0900,,201908:糖尿病性多発神経障害による痛みは神経障害性疼痛であり、NSAIDsは効果に乏しい。プレガバリン＝リリカ、デュロキセチン＝サインバルタ、アミトリプチリン＝トリプタノールなど。ノイロトロピンはセカンド,ja,[],[],767560101351661568,767560101351661568,salinemon,さり臨｜最新の知識,2,19,https://twitter.com/salinemon/status/1450410996158255104,[],[],0,,False,0,0,0,,アミトリプチリン,,,,,,,[],,,,
