,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1452031422504439809,1452031422504439809,1635026243000.0,2021-10-24 06:57:23,+0900,,バイトあと今日行ったらあと１回、既に頭痛いし…頭痛薬飲んじゃいました。 デパスも行く前には飲みます、 抗うつ薬のアモキサンも飲みました。 頑張れ自分ー🙌 退職届かかないとまずそう、店長どーなってるの？,ja,[],[],1437316713276608515,1437316713276608515,3l_yz,シャインマスカット,7,06,https://twitter.com/3l_yz/status/1452031422504439809,[],[],0,,False,2,0,0,,アモキサン,,,,,,,[],,,,
1,1,1451951921586049030,1451951921586049030,1635007288000.0,2021-10-24 01:41:28,+0900,,うつ病治療薬「アモキサン」(1981)  1980年代に登場して以来、現在でも利用されているうつ病治療薬。 明るい世界への橋渡しであることを表現しているのだろうか。    https://t.co/jKHseWicTS,ja,[],[],2351096154,2351096154,gr07066,シュールな広告アートまとめ,7,01,https://twitter.com/gr07066/status/1451951921586049030,[],['https://pbs.twimg.com/media/Bgz2mu_CcAAlVX7.jpg'],1,https://pbs.twimg.com/media/Bgz2mu_CcAAlVX7.jpg,False,0,0,0,,アモキサン,,,,,,,[],,,,
2,2,1451923933486141441,1451923933486141441,1635000615000.0,2021-10-23 23:50:15,+0900,,🍀メンタルクリニック行った 🍀ショッピングモール行った 🍀キムチ鍋美味しかった 🍀子どもとたくさんハグした🥰  先生に体調がいいこと話してお薬の減薬の相談して、アモキサンをなくした✨授乳中の服薬も問題ないとのことで、一つ不安が解消😊  #ホメ療法,ja,['ホメ療法'],[],1193619605337436161,1193619605337436161,kot3413,まるちー,6,23,https://twitter.com/kot3413/status/1451923933486141441,[],[],0,,False,12,0,0,,アモキサン,,,,,,,[],,,,
3,3,1451794121115332611,1451794121115332611,1634969666000.0,2021-10-23 15:14:26,+0900,,お薬情報メモ（10月  朝 アモキサン25mg ストラテラ25mg  夜 ブロマゼパム2mg,ja,[],[],1149985422375706624,1149985422375706624,su_minato2007,すみだ@うつと過眠,6,15,https://twitter.com/su_minato2007/status/1451794121115332611,[],[],0,,False,0,0,0,,アモキサン,,,,,,,[],,,,
4,4,1451789086163812353,1451788077886631944,1634968465000.0,2021-10-23 14:54:25,+0900,,@loze_marinuss アモキサンとか最後の砦のリタリンとかですかね… 市販薬なら、ブロンをＯＤするとハイになれるみたいです。 アッパー系はすぐ規制されちゃうので、あんまり種類ないんですよねえ。 私は、一時期全部飲みましたけど、リタリン＞＞アモキサン＞＞＞＞ブロン　って感じでした。,ja,[],[],99872866,99872866,bitoukasuka,金剛瑪衣＠ムーンライト作家,6,14,https://twitter.com/bitoukasuka/status/1451789086163812353,[],[],0,,False,1,1,0,,アモキサン,,,,,,,"[{'screen_name': 'loze_marinuss', 'name': 'オレンジロード', 'id': '1426740966979891202'}]",,,,
5,5,1451708775950209029,1451708775950209029,1634949318000.0,2021-10-23 09:35:18,+0900,,アモキサンとサンドを飲む。,ja,[],[],1419562408675143681,1419562408675143681,akira_1987_h,彰,6,09,https://twitter.com/akira_1987_h/status/1451708775950209029,[],[],0,,False,0,0,0,,アモキサン,,,,,,,[],,,,
6,6,1451606338224594947,1451606338224594947,1634924895000.0,2021-10-23 02:48:15,+0900,,アモキサン 憂うつな気持ちや落ち込んでいる気分を和らげます。 通常、うつ病・うつ状態の治療に用いられます。 副作用として、口渇、便秘、めまい、眠気、排尿困難、乏尿、視調節障害、鼻閉、眼内圧亢進など #うつ病 #病み垢,ja,"['うつ病', '病み垢']",[],1034310636472217600,1034310636472217600,okusurishan,心理のプロが教えるあなたの薬,6,02,https://twitter.com/okusurishan/status/1451606338224594947,[],[],0,,False,2,0,0,,アモキサン,,,,,,,[],,,,
7,7,1451472161336528899,1451472161336528899,1634892904000.0,2021-10-22 17:55:04,+0900,,なんでソラナックス、トリンテリックス、トピナ、アモキサン余ってるんだ？と思ってたけど明日の朝の分やないかい🤦‍♀️ほんとアホに拍車かかる〜🤦‍♀️良かった〜ゴミってる時に飲まなくて🤦‍♀️,ja,[],[],4036605997,4036605997,mykeychan0221,😈ロヒ酒爆飲狂のまいきー虎ちゃん🐯,5,17,https://twitter.com/mykeychan0221/status/1451472161336528899,[],[],0,,False,7,0,0,,アモキサン,,,,,,,[],,,,
8,8,1451444341562490881,1451379405691842563,1634886272000.0,2021-10-22 16:04:32,+0900,,@imallowsinc 過去にアモキサン飲んでて買い物しまくりでやっちゃった人が私です😂,ja,[],[],1417290066368417797,1417290066368417797,yotsuha0609,ヨツハ,5,16,https://twitter.com/yotsuha0609/status/1451444341562490881,[],[],0,,False,0,1,0,,アモキサン,,,,,,,"[{'screen_name': 'imallowsinc', 'name': 'mallow⁂4歳ASDグレー児🎀療育中', 'id': '1307987067557670913'}]",,,,
9,9,1451425811408453639,1451327417188945920,1634881854000.0,2021-10-22 14:50:54,+0900,,@non2021_mtl かもしれないです。アモキサンは、最強ですからね…,ja,[],[],173175226,173175226,mori_kororon212,もふもふ@難治性鬱,5,14,https://twitter.com/mori_kororon212/status/1451425811408453639,[],[],0,,False,1,0,0,,アモキサン,,,,,,,"[{'screen_name': 'non2021_mtl', 'name': 'のん_2021', 'id': '1370665704647663616'}]",,,,
10,10,1451424215710650377,1451423833173356548,1634881473000.0,2021-10-22 14:44:33,+0900,,@satukiutu 薬で食欲が増してる が正しいです  アモキサンで意欲と一緒に食欲が増して体重増えました,ja,[],[],1416683637416685568,1416683637416685568,utsuemon8,うつえもん@冬季うつ,5,14,https://twitter.com/utsuemon8/status/1451424215710650377,[],[],0,,False,3,1,0,,アモキサン,,,,,,,"[{'screen_name': 'satukiutu', 'name': '皐✩.*˚サツキ✩.*˚', 'id': '1105730625145790464'}]",,,,
11,11,1451410593534017538,1451327417188945920,1634878226000.0,2021-10-22 13:50:26,+0900,,@mori_kororon212 やはりアモキサンをやめたのがまずかったかなぁ💦,ja,[],[],1370665704647663616,1370665704647663616,non2021_mtl,のん_2021,5,13,https://twitter.com/non2021_mtl/status/1451410593534017538,[],[],0,,False,1,1,0,,アモキサン,,,,,,,"[{'screen_name': 'mori_kororon212', 'name': 'もふもふ@難治性鬱', 'id': '173175226'}]",,,,
12,12,1451405680556969984,1451405680556969984,1634877054000.0,2021-10-22 13:30:54,+0900,,無職になっておかしいな？と思うくらいやる気が出ないんだけど今までの疲れが出て気が抜けてるだけって主治医に言われてやっぱりそういうものなんだと。みんなそうなるらしい  アモキサンは1錠減った💊,ja,[],[],128467671,128467671,kiyo_kamomekko,きよ,5,13,https://twitter.com/kiyo_kamomekko/status/1451405680556969984,[],[],0,,False,3,0,0,,アモキサン,,,,,,,[],,,,
13,13,1451374186685878277,1451374186685878277,1634869545000.0,2021-10-22 11:25:45,+0900,,2日続けて朝のアモキサンとレキソタンとビペリデンを飲み忘れた😅（夜は飲んだ）忘れるってことは、体が薬は必要ないと言っている、良くなっている証拠なのかなと思ったけど、何とも形容しがたい不安感が襲ってきた。一旦考えれば考えるほど不安は強くなる。やっぱりまだまだ薬は手放せないのかも💦,ja,[],[],1230628748266856448,1230628748266856448,koro84926488,koro,5,11,https://twitter.com/koro84926488/status/1451374186685878277,[],[],0,,False,1,0,0,,アモキサン,,,,,,,[],,,,
14,14,1451326739016159239,1451326739016159239,1634858233000.0,2021-10-22 08:17:13,+0900,,寒い。この寒さなら体調悪くなっても仕方ないのだけれど（冬季鬱の傾向あり）、何故か元気だ。今日もお弁当作って、朝ごはんもゆっくり時間をかけて食べた。アモキサンが身体に合っているのだろうな。,ja,[],[],1163682933904773126,1163682933904773126,M_T_Lover,すみれ@双極性障害,5,08,https://twitter.com/M_T_Lover/status/1451326739016159239,[],[],0,,False,6,0,0,,アモキサン,,,,,,,[],,,,
15,15,1451320250226544643,1451320250226544643,1634856686000.0,2021-10-22 07:51:26,+0900,,#エビリファイ 1錠、#ジェイゾロフト 1錠、#アモキサン 3錠　これが朝のルーティーン。。  これでも一応FIREしてるんです。,ja,"['エビリファイ', 'ジェイゾロフト', 'アモキサン']",[],1449624672123777028,1449624672123777028,N_Utsunaga,鬱長ねこむ@うつ病×FIRE,5,07,https://twitter.com/N_Utsunaga/status/1451320250226544643,[],[],0,,False,1,0,0,,アモキサン,,,,,,,[],,,,
16,16,1451142350718177289,1451142350718177289,1634814271000.0,2021-10-21 20:04:31,+0900,,アモキサンの副作用に耐えきれず、以前処方してもらったことのあるトリンテリックスに戻してもらった。,ja,[],[],1327074646924034048,1327074646924034048,HVqGrfJ5R8bXCXj,さぶゆか,4,20,https://twitter.com/HVqGrfJ5R8bXCXj/status/1451142350718177289,[],[],0,,False,0,0,0,,アモキサン,,,,,,,[],,,,
17,19,1450781637885628417,1450781637885628417,1634728271000.0,2021-10-20 20:11:11,+0900,,アモキサン4日目。なんの副作用もないけど大丈夫かしら。逆に心配になる。ちなみに効いてるのかもよくわからん。,ja,[],[],1301086460511047681,1301086460511047681,0regn,regn,3,20,https://twitter.com/0regn/status/1450781637885628417,[],[],0,,False,0,0,0,,アモキサン,,,,,,,[],,,,
18,20,1450650858564177921,1450650858564177921,1634697091000.0,2021-10-20 11:31:31,+0900,,昔買った練炭が押し入れにしまってある。湿気ってたら干して使えばいい。ぴーさんが使ったアモキサンもそっと置いてある。車もあるし物は揃っている。,ja,[],[],1088628023551713280,1088628023551713280,kirary2525,雪色,3,11,https://twitter.com/kirary2525/status/1450650858564177921,[],[],0,,False,8,1,0,,アモキサン,,,,,,,[],,,,
19,21,1450632364682452995,1450632364682452995,1634692681000.0,2021-10-20 10:18:01,+0900,,抗うつ薬③  ＊三環系 ・イミプラミン塩酸塩(イミドール、トフラニール) ・アミトリプチリン塩酸塩(トリプタノール) ・ノルトリプチリン塩酸塩(ノリトレン) ・クロミプラミン塩酸塩(アナフラニール) ・アモキサピン(アモキサン),ja,[],[],1018802179862171648,1018802179862171648,psychologicalb3,心理臨床あれこれ,3,10,https://twitter.com/psychologicalb3/status/1450632364682452995,[],[],0,,False,2,0,0,,アモキサン,,,,,,,[],,,,
20,23,1450615148557656064,1450431117924859908,1634688577000.0,2021-10-20 09:09:37,+0900,,@aoshiva アモキサンのイメージカラー、いちごみるくすぎるよな,ja,[],[],926407840868188161,926407840868188161,ochiyamountain,おちや,3,09,https://twitter.com/ochiyamountain/status/1450615148557656064,[],[],0,,False,0,1,0,,アモキサン,,,,,,,"[{'screen_name': 'aoshiva', 'name': '芝👼😈', 'id': '109812280'}]",,,,
21,25,1450493513590665216,1450493513590665216,1634659577000.0,2021-10-20 01:06:17,+0900,,アモキサン ソラナックス エビリファイ ヒルナミン ラツーダ ランドセン トピナ イリボー ハルシオン ダルメート,ja,[],[],1166493023116484608,1166493023116484608,Pierre_Tani03,ピエール谷,3,01,https://twitter.com/Pierre_Tani03/status/1450493513590665216,[],[],0,,False,0,0,0,,アモキサン,,,,,,,[],,,,
22,26,1450439845252239362,1450439845252239362,1634646781000.0,2021-10-19 21:33:01,+0900,,アモキサン。抗うつ薬の第二世代で三環系抗うつ薬である。第一世代のトリプタノールよりは副作用が軽減されている。効能はうつ病やうつ状態だが、パニック障害や過食症、頭痛にも処方されることもある。効果の発現が割と早い薬みたいだぜ。,ja,[],[],990950616041013248,990950616041013248,psydrug_yagen,向精神薬に詳しい薬研藤四郎bot,2,21,https://twitter.com/psydrug_yagen/status/1450439845252239362,[],[],0,,False,0,0,0,,アモキサン,,,,,,,[],,,,
23,28,1450314761166475279,1450314761166475279,1634616959000.0,2021-10-19 13:15:59,+0900,,アモキサンを飲み始めてから、便通が一気に悪くなり、毎日便通があったのに、いつしたっけ？と分からなくなるほどに。 吹き出物が増えてきたので、便通よくするために酸化マグネシウムを貰いました。,ja,[],[],1304242261635428353,1304242261635428353,mam0rock,ほっしゃん,2,13,https://twitter.com/mam0rock/status/1450314761166475279,[],[],0,,False,1,0,0,,アモキサン,,,,,,,[],,,,
24,29,1450235242476806151,1450235242476806151,1634598000000.0,2021-10-19 08:00:00,+0900,,もしかして、昨日しにたさがこなかったのってアモキサン増薬のせい？でもいつもの調子で行くと効果が出るの明日のはずなんだよなぁ、これはこれまで増薬・減薬したとき毎回そうだから、これが変わるとしたら想定外なんだけどな,ja,[],[],1027970980562362368,1027970980562362368,tamanooyo_taena,夕凪,2,08,https://twitter.com/tamanooyo_taena/status/1450235242476806151,[],[],0,,False,1,0,0,,アモキサン,,,,,,,[],,,,
25,30,1450219045815402496,1450219045815402496,1634594138000.0,2021-10-19 06:55:38,+0900,,今飲んでるのは、アリピプラゾール6mg×3、ランドセン0.5mg×4、ベルソムラ15mg×1、テトラミド30mg×1、クエチアピン25mg×2、パルブロ酸ナトリウム200mg×2。アモキサン25mg×1だよん。ほんとに減った！,ja,[],[],1447786285452517376,1447786285452517376,meloncollie333,meloncollie,2,06,https://twitter.com/meloncollie333/status/1450219045815402496,[],[],0,,False,0,0,0,,アモキサン,,,,,,,[],,,,
26,31,1450096828586758150,1450091643890122752,1634565000000.0,2021-10-18 22:50:00,+0900,,@Keta_Exelica いえいえ(^^) アモキサンは古い薬ですが、合う人には合う薬だと思います。 こう言っては何ですが、「薬とドクターは相性」だと思います。 なるべく近況を紙に描きだしてでもいいので、メモして受診時に持っていくのもお勧めします。,ja,[],[],1467437804,1467437804,MaMjollnir,岩本さつき＠喪中,1,22,https://twitter.com/MaMjollnir/status/1450096828586758150,[],[],0,,False,0,1,0,,アモキサン,,,,,,,"[{'screen_name': 'Keta_Exelica', 'name': 'ケータ💫', 'id': '336983574'}]",,,,
27,32,1450094619446808576,1450091643890122752,1634564473000.0,2021-10-18 22:41:13,+0900,,@MaMjollnir アモキサンは初めて聞きますね…今は変えてもらっているんですが効力は抑えめなのか副作用もないけどあまり効果がないように感じますね… 幸い土曜日に予約取れているので状況だけでも説明して指示を仰ぎたいところですね… アドバイスありがとうございます,ja,[],[],336983574,336983574,Keta_Exelica,ケータ💫,1,22,https://twitter.com/Keta_Exelica/status/1450094619446808576,[],[],0,,False,1,1,0,,アモキサン,,,,,,,"[{'screen_name': 'MaMjollnir', 'name': '岩本さつき＠喪中', 'id': '1467437804'}]",,,,
28,34,1450072936690307079,1450072936690307079,1634559303000.0,2021-10-18 21:15:03,+0900,,アモキサンはないと無理,ja,[],[],2758588135,2758588135,FizzSonic,さーや,1,21,https://twitter.com/FizzSonic/status/1450072936690307079,[],[],0,,False,2,0,0,,アモキサン,,,,,,,[],,,,
29,38,1449766153090322436,1449766153090322436,1634486160000.0,2021-10-18 00:56:00,+0900,,サインバルタとアモキサン、どちらが過眠の原因なのかわからないのだ。サインバルタ単剤の時は過眠は出なかったからアモキサンなのかなぁなのだ…,ja,[],[],1117462320538472451,1117462320538472451,depression_arai,過食をやめたいうつ病の主婦イさん🔰,1,00,https://twitter.com/depression_arai/status/1449766153090322436,[],[],0,,False,12,0,0,,アモキサン,,,,,,,[],,,,
30,42,1449676443684798467,1449327375804616713,1634464772000.0,2021-10-17 18:59:32,+0900,,@yayopon314 はじめまして。私もADHDがあり、アモキサン内服してますよ。お子さん年長さんですか？ちょうど、お子さんは進路決定の時期ですか？周りが急かしてる空気があるなら嫌ですね💦学校にいる時間は長いので、無理なく過ごせそうなとこだといいですね,ja,[],[],2909887974,2909887974,tyrks51,さんぽ～コロナ後遺症のこどもをもつ親～,7,18,https://twitter.com/tyrks51/status/1449676443684798467,[],[],0,,False,1,0,0,,アモキサン,,,,,,,"[{'screen_name': 'yayopon314', 'name': 'やっちん自閉症児ママで本人ADHD', 'id': '1711199725'}]",,,,
31,43,1449673435295092750,1449672938492366856,1634464055000.0,2021-10-17 18:47:35,+0900,,【　💊　】 炭酸リチウム　200mg x 朝夕 ラモトリギン　25mg x 朝夕 アリピプラゾール　3mg x 夕 アモキサン　10mg x 朝  #減薬 #断薬 中 フルニトラゼパム　断薬済み ブロマゼパム　9月で断薬済み 次は　アモキサン　をやめられそうだ,ja,"['減薬', '断薬']",[],4763211625,4763211625,soblue_1,そぶる,7,18,https://twitter.com/soblue_1/status/1449673435295092750,[],[],0,,False,1,0,0,,アモキサン,,,,,,,[],,,,
32,46,1449659067694084100,1449399105067708420,1634460629000.0,2021-10-17 17:50:29,+0900,,@chiocacao サインバルタとラミクタールを飲んでいるのに鬱が良くならないのは悲しくなってしまいますね。 もう一剤、何か加えることが考えられますね。 具体的には、ドグマチール、リーマス、デパケン、アモキサン(三環系なので10mgから開始)、エビリファイ(量が多いと逆に気分を下げるので1mgで開始、　→,ja,[],[],1971689478,1971689478,737_663,ナミナ@ほぼ鬱の双極(Ⅱ)。鬱遷延状態,7,17,https://twitter.com/737_663/status/1449659067694084100,[],[],0,,False,1,1,0,,アモキサン,,,,,,,"[{'screen_name': 'chiocacao', 'name': 'チオ＠うつの沼でアップダウン', 'id': '495694535'}]",,,,
33,47,1449632691708575747,1449632691708575747,1634454341000.0,2021-10-17 16:05:41,+0900,,落ち着く薬ばっかじゃなしにアモキサンみたいなの飲みたいな。,ja,[],[],894016945241980928,894016945241980928,mgnchu_,麦人（ﾑｷﾞﾝﾁｭ）,7,16,https://twitter.com/mgnchu_/status/1449632691708575747,[],[],0,,False,0,0,0,,アモキサン,,,,,,,[],,,,
34,48,1449602459685441539,1449602459685441539,1634447133000.0,2021-10-17 14:05:33,+0900,,アモキサンは向精神薬の一つで三環系抗うつ薬です。向精神薬の長期服用は副作用・依存性・禁断症状・後遺症などの危険性を増していきます。アモキサンの詳細な副作用は以下の通りです→ https://t.co/MfQYcriz84（医薬品添付文書より）。,ja,[],[],1872014227,1872014227,alphaforu,向精神薬・副作用情報,7,14,https://twitter.com/alphaforu/status/1449602459685441539,['http://ow.ly/2bsSiG'],[],0,,False,0,0,0,,アモキサン,,,,,,,[],,,,
35,51,1449501885157625857,1449501885157625857,1634423154000.0,2021-10-17 07:25:54,+0900,,アモキサンを１錠減らすッス。攻撃性が増しすぎてて危険ッス〜。,ja,[],[],1268782259106050048,1268782259106050048,shinpai_ameba,不安障害なアメ（リカビ）ーバー,7,07,https://twitter.com/shinpai_ameba/status/1449501885157625857,[],[],0,,False,0,0,0,,アモキサン,,,,,,,[],,,,
