,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1451936804001570821,1451936804001570821,1635003684000.0,2021-10-24 00:41:24,+0900,,抗うつ剤「アンプリット」(1984)  一文字で表した、非常にわかりやすい広告。   https://t.co/Xb0YRdzcP5,ja,[],[],2351096154,2351096154,gr07066,シュールな広告アートまとめ,7,00,https://twitter.com/gr07066/status/1451936804001570821,[],['https://pbs.twimg.com/media/Bgz3OcZCUAA4KTb.jpg'],1,https://pbs.twimg.com/media/Bgz3OcZCUAA4KTb.jpg,False,0,0,0,,アンプリット,,,,,,,[],,,,
1,1,1451367392072777736,1451367392072777736,1634867926000.0,2021-10-22 10:58:46,+0900,,薬名:アンプリット 薬価:18.3 分類:3環系抗うつ薬 強さ:弱～中 鎮静作用:弱 錐体外路症:なし 肥満:中 適応 1.うつ病 2.不安障害 3.心身症  https://t.co/Qk6X0O1ELG,ja,[],[],3299940768,3299940768,medicinelistbot,お薬たん,5,10,https://twitter.com/medicinelistbot/status/1451367392072777736,[],['https://pbs.twimg.com/media/CPZsTotVAAAr2C4.jpg'],1,https://pbs.twimg.com/media/CPZsTotVAAAr2C4.jpg,False,0,0,0,,アンプリット,,,,,,,[],,,,
2,2,1451251303443664913,1451251303443664913,1634840248000.0,2021-10-22 03:17:28,+0900,,アンプリット うつ病・うつ状態を改善する、三環系抗うつ剤です。 通常、うつ病、うつ状態の治療に用いられます。 副作用として、口渇、便秘、眠気、不眠、食欲不振、吐き気、ふらつきなど #うつ病 #病み垢,ja,"['うつ病', '病み垢']",[],1034310636472217600,1034310636472217600,okusurishan,心理のプロが教えるあなたの薬,5,03,https://twitter.com/okusurishan/status/1451251303443664913,[],[],0,,False,0,0,0,,アンプリット,,,,,,,[],,,,
3,23,1444258452717645828,1444258452717645828,1633173022000.0,2021-10-02 20:10:22,+0900,,アンプリット錠25mg　自主回収  https://t.co/x3haEinN4m,ja,[],[],1364936828072026114,1364936828072026114,quickDI1,quick DI,6,20,https://twitter.com/quickDI1/status/1444258452717645828,['https://low-cost-pharmacy.com/%e3%82%a2%e3%83%b3%e3%83%97%e3%83%aa%e3%83%83%e3%83%88%e9%8c%a025mg%e3%80%80%e8%87%aa%e4%b8%bb%e5%9b%9e%e5%8f%8e-2/'],[],0,,False,0,0,0,,アンプリット,,,,,,,[],,,,
4,29,1442702477346820098,1442702477346820098,1632802049000.0,2021-09-28 13:07:29,+0900,,【自主回収】 アンプリット錠25mg   https://t.co/fovfzNsUX5  https://t.co/e3IFKSyfDL,ja,[],[],810482337049821185,810482337049821185,methycob,メチコ,2,13,https://twitter.com/methycob/status/1442702477346820098,['https://www.daiichisankyo.co.jp/'],['https://pbs.twimg.com/media/FAWCQdnVUAgaazO.jpg'],1,https://pbs.twimg.com/media/FAWCQdnVUAgaazO.jpg,False,8,0,3,,アンプリット,,,,,,,[],,,,
5,30,1442629719728406531,1442629719728406531,1632784702000.0,2021-09-28 08:18:22,+0900,,【医療関係者各位】回収 『第一三共』 　2021-№118 　 ・アンプリット錠25mg（2回目） 　 ▶︎詳細はコチラ   https://t.co/ERRhcuTz9p  　 （@asuyaku_omatome） 　 #回収お知らせ,ja,['回収お知らせ'],[],1088615317822001152,1088615317822001152,mcollection9,医薬品 回収お知らせシステム💊,2,08,https://twitter.com/mcollection9/status/1442629719728406531,['http://asuyaku.jp/kaishu/'],[],0,,False,5,0,3,,アンプリット,,,,,,,[],,,,
6,34,1442006972388184066,1431856921225564165,1632636228000.0,2021-09-26 15:03:48,+0900,,【2回目:9月26日接種】1日目 モデルナ製 体調はいつも通りで体温は36.2℃ 待機時間中特に何もなし  ［接種時本人状況］ ・20代/女性 ・基礎疾患、肥満等なし ・服薬:ピル(ヤーズ配合錠)              アンプリット/トリアゾラム ・アレルギー:生の果物/花粉  1回目の経過は元ツイートより見れます,ja,[],[],1430556189771722752,1430556189771722752,weekend_n,週末,7,15,https://twitter.com/weekend_n/status/1442006972388184066,[],[],0,,False,0,1,0,,アンプリット,,,,,,,[],,,,
7,47,1438412274603937792,1438412274603937792,1631779185000.0,2021-09-16 16:59:45,+0900,,アンプリットとかいう薬が増えたけど非常に上機嫌だったりする。 抗うつ薬はやっぱり増えるといいな……なんでも回せそうホント,ja,[],[],273936967,273936967,sizuoka074,GammaRay,4,16,https://twitter.com/sizuoka074/status/1438412274603937792,[],[],0,,False,0,0,0,,アンプリット,,,,,,,[],,,,
8,53,1436630230626537476,1436630230626537476,1631354312000.0,2021-09-11 18:58:32,+0900,,アンプリット摂取から1時間  ダウナーっぽい 口渇感あり 光が若干眩しい 精神は安定 脈拍も安定 血管拡張  現場からは以上です🙏,ja,[],[],1366606597485551618,1366606597485551618,L_W_420710,お茶の子さいさい🥦🌈,6,18,https://twitter.com/L_W_420710/status/1436630230626537476,[],[],0,,False,1,0,0,,アンプリット,,,,,,,[],,,,
9,65,1433214074305843202,1433214074305843202,1630539837000.0,2021-09-02 08:43:57,+0900,,精神病の薬を使えば使うほど脳細胞の破壊が進みます。薬で減衰させた脳機能を元に戻すことはできません。　 https://t.co/2nEqYlFVJL　アンプリット,ja,[],[],543284301,543284301,MentalCarePlan,浜松メンタルケアプランセンター　中西 隆,4,08,https://twitter.com/MentalCarePlan/status/1433214074305843202,['http://goo.gl/5INQU'],[],0,,False,1,0,0,,アンプリット,,,,,,,[],,,,
