,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1452053279458816005,1452053279458816005,1635031454000.0,2021-10-24 08:24:14,+0900,,【適応外使用】 末梢性神経障害性疼痛に対して、イミプラミン塩酸塩(内服薬)投与 参考)神経障害性疼痛薬物療法ガイドライン2011,ja,[],[],3066251198,3066251198,DI_news2015,医薬品情報~薬の取説～,7,08,https://twitter.com/DI_news2015/status/1452053279458816005,[],[],0,,False,0,0,0,,イミプラミン,,,,,,,[],,,,
1,1,1452052268216324096,1452052268216324096,1635031213000.0,2021-10-24 08:20:13,+0900,,【薬理学】[抗うつ薬] まみちゃんの愛は振られた…見る価値無し▼ ま：マプロチリン(四環系抗うつ薬) み：ミアンセリン(四環系抗うつ薬) あ：アミトリプチン(三環系抗うつ薬) いは：イミプラミン(三環系抗うつ薬) 振られた：フルボキサミン(SSRI) 見る価値無し：ミルナシプラン（SNRI）,ja,[],[],850867386,850867386,yakugaku_bot2,薬学部語呂合わせbot,7,08,https://twitter.com/yakugaku_bot2/status/1452052268216324096,[],[],0,,False,0,0,0,,イミプラミン,,,,,,,[],,,,
2,2,1452048455916920832,1452048455916920832,1635030304000.0,2021-10-24 08:05:04,+0900,,イミプラミンは三環系抗うつ薬って言うよ。なんで三環系なのかって言うと３つの六角形…ベンゼン環だから！ ベンゼンって聞いてあのボカロ曲を想像した人はお友達！(^ω^),ja,[],[],1385385968,1385385968,seishinhoken,精神保健くん@9年目,7,08,https://twitter.com/seishinhoken/status/1452048455916920832,[],[],0,,False,0,0,0,,イミプラミン,,,,,,,[],,,,
3,3,1452005293802418180,1452005293802418180,1635020013000.0,2021-10-24 05:13:33,+0900,,三環系抗うつ薬：イミプラミン、アミトリプチン 四環系抗うつ薬：マプロチリン、ミアンセリン SSRI：フルボキサミン、パロキセチン SNRI：ミルナシプラン,ja,[],[],483779147,483779147,ssksh_bot,さぶろー_bot,7,05,https://twitter.com/ssksh_bot/status/1452005293802418180,[],[],0,,False,0,0,0,,イミプラミン,,,,,,,[],,,,
4,4,1451997279951355904,1451997279951355904,1635018103000.0,2021-10-24 04:41:43,+0900,,男性不妊には逆行性射精があります。治療では抗うつ薬のイミプラミンが使用されますが、内服薬で症状が改善するケースは半分ぐらいしかないとする専門医の見解もあります。多くは逆流した精子を直接体外に取り出して人工受精に持ちいます。  https://t.co/ztQyfTMIHW,ja,[],[],1370184701160292355,1370184701160292355,oiMYOSpBPEuwwJn,40代女性専門精子提供、アラフォー専門精子提供,7,04,https://twitter.com/oiMYOSpBPEuwwJn/status/1451997279951355904,[],['https://pbs.twimg.com/media/EwzTevlVIAoMDhJ.jpg'],1,https://pbs.twimg.com/media/EwzTevlVIAoMDhJ.jpg,False,0,0,0,,イミプラミン,,,,,,,[],,,,
5,6,1451761059207860233,1451761059207860233,1634961783000.0,2021-10-23 13:03:03,+0900,,【薬剤メモ】  一日中　→　CYP1A2 小さな　→　チザニジン カフェで　→　カフェイン 手を　→　テオフィリン プラ　→　プロプラノロール プラ　→　イミプラミン,ja,[],[],1249547378530480129,1249547378530480129,CLtot_kel_Vd,ｙｙｙたろ,6,13,https://twitter.com/CLtot_kel_Vd/status/1451761059207860233,[],[],0,,False,0,1,0,,イミプラミン,,,,,,,[],,,,
6,10,1451088195198734339,1451087149575532545,1634801360000.0,2021-10-21 16:29:20,+0900,,@893ten9 イミプラミンかな？,ja,[],[],2753367108,2753367108,tiba_chem,円周率⌬,4,16,https://twitter.com/tiba_chem/status/1451088195198734339,[],[],0,,False,0,1,0,,イミプラミン,,,,,,,"[{'screen_name': '893ten9', 'name': 'ヤクザ天狗', 'id': '1325304000753758210'}]",,,,
7,11,1451020190632742914,1451020190632742914,1634785146000.0,2021-10-21 11:59:06,+0900,,三環系抗うつ薬：第3級アミン⇒イミプラミン、アミトリプチリン、クロミプラミン、ロフェプラミン。第2級アミン⇒デシプラミン、ノルトリプチリン、アモキサピン,ja,[],[],1257676076,1257676076,yakugakubot001,薬理学bot,4,11,https://twitter.com/yakugakubot001/status/1451020190632742914,[],[],0,,False,0,0,0,,イミプラミン,,,,,,,[],,,,
8,12,1451011227333939201,1451011227333939201,1634783009000.0,2021-10-21 11:23:29,+0900,,【薬理】アミントランスポーター阻害薬 いっこのアメ取られてもうた い：イミプラミン こ：コカイン アメ：アメジニウム 取られてもうた：アミントランスポーター阻害薬,ja,[],[],1414827019418750979,1414827019418750979,RECbot40,薬剤師国家試験予備校RECゴロbot,4,11,https://twitter.com/RECbot40/status/1451011227333939201,[],[],0,,False,2,0,0,,イミプラミン,,,,,,,[],,,,
9,13,1450849091387215879,1450849091387215879,1634744353000.0,2021-10-21 00:39:13,+0900,,非水滴定　1:1  翡翠みて　意味なくオロオロ　ヘックシュン (イミプラミン、フルオロウラシル、ブロムへキシン)  #躁鬱犬ノート,ja,['躁鬱犬ノート'],[],1443440762205528074,1443440762205528074,souutsuken,躁鬱犬,4,00,https://twitter.com/souutsuken/status/1450849091387215879,[],[],0,,False,2,0,0,,イミプラミン,,,,,,,[],,,,
10,14,1450632364682452995,1450632364682452995,1634692681000.0,2021-10-20 10:18:01,+0900,,抗うつ薬③  ＊三環系 ・イミプラミン塩酸塩(イミドール、トフラニール) ・アミトリプチリン塩酸塩(トリプタノール) ・ノルトリプチリン塩酸塩(ノリトレン) ・クロミプラミン塩酸塩(アナフラニール) ・アモキサピン(アモキサン),ja,[],[],1018802179862171648,1018802179862171648,psychologicalb3,心理臨床あれこれ,3,10,https://twitter.com/psychologicalb3/status/1450632364682452995,[],[],0,,False,2,0,0,,イミプラミン,,,,,,,[],,,,
11,16,1450440490805981194,1450440490805981194,1634646935000.0,2021-10-19 21:35:35,+0900,,イミプラミンは向精神薬の一つで三環系抗うつ薬です。向精神薬の長期服用は副作用・依存性・禁断症状・後遺症などの危険性を増していきます。イミプラミンの詳細な副作用は以下の通りです→ https://t.co/gSm5xlyCM4（医薬品添付文書より）。,ja,[],[],1872014227,1872014227,alphaforu,向精神薬・副作用情報,2,21,https://twitter.com/alphaforu/status/1450440490805981194,['http://ow.ly/2bt2Qh'],[],0,,False,0,0,0,,イミプラミン,,,,,,,[],,,,
12,18,1450026271929372678,1450026232444239872,1634548178000.0,2021-10-18 18:09:38,+0900,,・味覚障害 💊ACE阻害薬(カプトプリル) 💊催眠薬(ロルメタぜパム) 💊抗菌薬(ミノサイクリン) 💊抗がん剤(テガフール)  ・口渇 💊抗精神病薬(ハロペリドール) 💊抗うつ薬(イミプラミン) 💊高コリン薬(アトロピン),ja,[],[],1364865203871961097,1364865203871961097,keitouri,keito@病院薬剤師,1,18,https://twitter.com/keitouri/status/1450026271929372678,[],[],0,,False,1,0,1,,イミプラミン,,,,,,,[],,,,
13,19,1449972209527574531,1449972209527574531,1634535288000.0,2021-10-18 14:34:48,+0900,,【一般名】イミプラミン 【商品名】トフラニール 【薬効分類】向精神薬 【投与量】25mg 【適応】うつ 【副作用】セロトニン症候群 【薬理】セロトニン(5-HT）再取り込み阻害作用,ja,[],[],1715296154,1715296154,hisshu220,必修薬物２２０bot,1,14,https://twitter.com/hisshu220/status/1449972209527574531,[],[],0,,False,0,0,0,,イミプラミン,,,,,,,[],,,,
