,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1452058973872418818,1452045697914605569,1635032811000.0,2021-10-24 08:46:51,+0900,,@TOSI104AW11 これサインバルタのジェネリックですよw 2錠飲むとたちまちクソツイ出来る魔法の薬は無いと不安感しかなくなります。,ja,[],[],179693668,179693668,ankokugod666,たけしさん@まるごとバナナ大好き,7,08,https://twitter.com/ankokugod666/status/1452058973872418818,[],[],0,,False,1,1,0,,サインバルタ,,,,,,,"[{'screen_name': 'TOSI104AW11', 'name': 'TOSI', 'id': '2781288026'}]",,,,
1,1,1452058158206124036,1452045697914605569,1635032617000.0,2021-10-24 08:43:37,+0900,,@ankokugod666 私はサインバルタ服用してました。あっ、寝れそう。と思って寝ると数分しか経ってなく………服用しないと寝れませんでしたよ。薬切らす辛さ分かります。,ja,[],[],2781288026,2781288026,TOSI104AW11,TOSI,7,08,https://twitter.com/TOSI104AW11/status/1452058158206124036,[],[],0,,False,1,1,0,,サインバルタ,,,,,,,"[{'screen_name': 'ankokugod666', 'name': 'たけしさん@まるごとバナナ大好き', 'id': '179693668'}]",,,,
2,2,1452058085820796931,1452058085820796931,1635032600000.0,2021-10-24 08:43:20,+0900,,まだ「鬱」と診断される数年～数ヶ月前によくありました😥思えばその頃から異変があったのかも… 当時飲んでた薬はあまり効いてなかったのかな 今はほとんど無いです(サインバルタMAX服用),ja,[],[],1290883058950737920,1290883058950737920,POCCHARImom,にじへび@凸凹３姉妹育児,7,08,https://twitter.com/POCCHARImom/status/1452058085820796931,[],[],0,,False,0,0,0,https://twitter.com/NumaHaru333/status/1451954123511717888,サインバルタ,,,,,,,[],,,,
3,3,1452049668230160386,1451964176629321735,1635030593000.0,2021-10-24 08:09:53,+0900,,@6Yuichan オロナインしました！でも少し、痛い🤕,ja,[],[],766601541469941760,766601541469941760,ganbaru_syunin,がんばる主任(劇薬指定サインバルタを飲むオンナ＆うま女連勝中),7,08,https://twitter.com/ganbaru_syunin/status/1452049668230160386,[],[],0,,False,1,1,0,,サインバルタ,,,,,,,"[{'screen_name': '6Yuichan', 'name': 'たつみ', 'id': '2862082154'}]",,,,
4,4,1452039879764758530,1452039879764758530,1635028259000.0,2021-10-24 07:30:59,+0900,,#うつ病あるある か、どうかわからないけど、 何かしなきゃいけない、と 朝から不安になる。 医者には 好きな音楽でも聴いて、薬飲んで眠たくなったら寝て、でいいから ゆっくり休むこと と言われたんだが…。 だから、まず朝一番に 薬を飲むようにした。 サインバルタとワイパックス。,ja,['うつ病あるある'],[],1025995369753112576,1025995369753112576,bucchch,北陸いなか暮らし,7,07,https://twitter.com/bucchch/status/1452039879764758530,[],[],0,,False,3,2,0,,サインバルタ,,,,,,,[],,,,
5,5,1452037224845873155,1452037224845873155,1635027626000.0,2021-10-24 07:20:26,+0900,,サインバルタ初めて飲む人は吐き止めのお薬を一緒にもらうといいですよ。副作用で気持ち悪くなる可能性があるので。,ja,[],[],1415653084571725832,1415653084571725832,o6phJvbb3kH5FhV,ユリ,7,07,https://twitter.com/o6phJvbb3kH5FhV/status/1452037224845873155,[],[],0,,False,0,0,0,,サインバルタ,,,,,,,[],,,,
6,7,1452028096786231297,1452028096786231297,1635025450000.0,2021-10-24 06:44:10,+0900,,#カリッと食感がクセになるクリスピーチキン は🌶️復活ハバネロホット／👑王道プレーン 2種類が発売中！ #ファミマ @famima_now をフォローして 👇のボタンからツイート！クリスピーチキン各種に使える無料引換クーポンが当たる🌟結果はその場ですぐわかる👀,ja,"['カリッと食感がクセになるクリスピーチキン', 'ファミマ']",[],870067365928615936,870067365928615936,MGR68582912,サインバルタ@元部長,7,06,https://twitter.com/MGR68582912/status/1452028096786231297,[],[],0,,False,0,1,0,,サインバルタ,,,,,,,[],,,,
7,8,1452018316181082115,1452018316181082115,1635023118000.0,2021-10-24 06:05:18,+0900,,息子氏8時に寝て6時におきました！ 今まで興味のなかったウルトラマン見てます！これも薬のいい影響かな？？ わたしも昨日は薬も飲まずに寝ちゃって、朝起きてからサインバルタとストラテラ1粒だけ飲みました。今日は彼の家族とお出かけなので眠気でないといいなぁ,ja,[],[],382158820,382158820,kawanashu,やまなす,7,06,https://twitter.com/kawanashu/status/1452018316181082115,[],[],0,,False,7,0,0,,サインバルタ,,,,,,,[],,,,
8,10,1452002854852382720,1452002854852382720,1635019432000.0,2021-10-24 05:03:52,+0900,,さて、昨日ろくに寝てないのに今日も寝れなかったな 眠剤また効かなくなってきてる サインバルタも効きが悪いしどうしたもんだろー とりあえずゲームしよ,ja,[],[],1037687990527479808,1037687990527479808,Gina_elf_dqx,つまようじの妖精ジナ@10/30復興計画交流会in和ストルティア,7,05,https://twitter.com/Gina_elf_dqx/status/1452002854852382720,[],[],0,,False,0,1,0,,サインバルタ,,,,,,,[],,,,
9,12,1451958470526189574,1451958470526189574,1635008850000.0,2021-10-24 02:07:30,+0900,,今の主治医になってから、シクレスト、リスパダール、サインバルタ、ベルソムラ、エビリファイが効かない、もしくは合わないことが分かった。でも、今の処方でも私の陰性症状の改善は見られない。躁転はしないように気をつけないといけないけど、もう少し活動的になりたい。困る……。,ja,[],[],1143962418772508672,1143962418772508672,usamaru0115,音々,7,02,https://twitter.com/usamaru0115/status/1451958470526189574,[],[],0,,False,7,1,0,,サインバルタ,,,,,,,[],,,,
