,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1452043405605801986,1452043405605801986,1635029100000.0,2021-10-24 07:45:00,+0900,,レクサプロが体質的に合わない、という方に処方されることが多い  ジェイゾロフトのジェネリック品【セルティア】のご紹介です♪  詳しくはブログで→ https://t.co/B9O38cpJfE  ※診察を受け、処方された経験のある方の使用を推奨します。  #不安障害 #SSRI #ジェイゾロフト  https://t.co/x1etjrP6Ua,ja,"['不安障害', 'ssri', 'ジェイゾロフト']",[],1281553108410105856,1281553108410105856,okusuri_x,「サツキ」お薬＆サプリ個人輸入情報@相互フォロー😊,7,07,https://twitter.com/okusuri_x/status/1452043405605801986,"['https://okusuri-x.com/jzoloft-oyasuku/', 'https://alwys.net/contents/ard.php?id=OS016428&adwares=os011944']",[],0,,False,0,0,0,,ジェイゾロフト,,,,,,,[],,,,
1,1,1451982785749479426,1451982785749479426,1635014647000.0,2021-10-24 03:44:07,+0900,,精神病の薬を使い続けるのは依存症という精神病を発症しているからです。使えば使うほど、誰かがカネを稼いでいます。　 https://t.co/mDdyr4t9we　ジェイゾロフト,ja,[],[],543284301,543284301,MentalCarePlan,浜松メンタルケアプランセンター　中西 隆,7,03,https://twitter.com/MentalCarePlan/status/1451982785749479426,['http://goo.gl/FScmM'],[],0,,False,4,0,2,,ジェイゾロフト,,,,,,,[],,,,
2,2,1451962203754565635,1451962203754565635,1635009740000.0,2021-10-24 02:22:20,+0900,,ジェイゾロフト再開。頭が痛い。,ja,[],[],1223902403616894976,1223902403616894976,BHappy2022,bambi,7,02,https://twitter.com/BHappy2022/status/1451962203754565635,[],[],0,,False,0,0,0,,ジェイゾロフト,,,,,,,[],,,,
3,3,1451915160428310535,1451915160428310535,1634998524000.0,2021-10-23 23:15:24,+0900,,昨日新たにもらったジェイゾロフトのジェネリック、セロトラリンが良い仕事してるのか、わりと調子が良い。,ja,[],[],3194364920,3194364920,white_face2,白面のようなもの,6,23,https://twitter.com/white_face2/status/1451915160428310535,[],[],0,,False,0,0,0,,ジェイゾロフト,,,,,,,[],,,,
4,4,1451914174473277441,1451914174473277441,1634998289000.0,2021-10-23 23:11:29,+0900,,久しぶりのジェイゾロフトさん。 飲んだだけでほっとするね〜すぐは効かないはずだけど。,ja,[],[],1380755742509047811,1380755742509047811,aoaousautsu12,あお@うつで育児9.27♂0m,6,23,https://twitter.com/aoaousautsu12/status/1451914174473277441,[],[],0,,False,5,0,0,,ジェイゾロフト,,,,,,,[],,,,
5,5,1451886843545329692,1451886843545329692,1634991772000.0,2021-10-23 21:22:52,+0900,,こんばんは。  今日病院に行ってきました。  色々話を聞いて頂けて、処方薬にジェイゾロフトが加わりました。  取り敢えず一週間飲んでみてとの事です。  今の不安や恐怖が少しでも軽くなって、普通の事が出来るようになりますように。,ja,[],[],1294611650348118016,1294611650348118016,yygC1NYWKFSqQTn,spring ˈrabət,6,21,https://twitter.com/yygC1NYWKFSqQTn/status/1451886843545329692,[],[],0,,False,2,0,0,,ジェイゾロフト,,,,,,,[],,,,
6,6,1451839402712330249,1451839402712330249,1634980462000.0,2021-10-23 18:14:22,+0900,,ジェイゾロフト飲んでたころ、飲んだらよくなるって自分に暗示かけてた気がするなあ,ja,[],[],1135126479048568832,1135126479048568832,n_youngparadise,にゃんぱら(ΦωΦ),6,18,https://twitter.com/n_youngparadise/status/1451839402712330249,[],[],0,,False,4,1,0,,ジェイゾロフト,,,,,,,[],,,,
7,7,1451816390671749122,1451816390671749122,1634974975000.0,2021-10-23 16:42:55,+0900,,仕事行くのが憂鬱になったら、我慢しないでコレ飲んでみて  [ジェイゾロフト]ルストラル(Lustral)50mg  https://t.co/sFWHylv0Ld  #育児中,ja,['育児中'],[],1370710940899942411,1370710940899942411,dietheaven5150,寺岡美沙＠育児ダイエット,6,16,https://twitter.com/dietheaven5150/status/1451816390671749122,['https://onlyry.net/contents/ard.php?id=OS015990&adwares=os012459'],[],0,,False,0,0,0,,ジェイゾロフト,,,,,,,[],,,,
8,8,1451810008128053249,1451810008128053249,1634973453000.0,2021-10-23 16:17:33,+0900,,なんで私ジェイゾロフト知ってるんだろうか…仕事柄なのかどっかで聞いたのか自分で飲んでたのかいっつも忘れる,ja,[],[],1034699832,1034699832,bunnyrabbit0521,Bunny rabbit,6,16,https://twitter.com/bunnyrabbit0521/status/1451810008128053249,[],[],0,,False,1,1,0,,ジェイゾロフト,,,,,,,[],,,,
9,9,1451762601981931524,1451762601981931524,1634962151000.0,2021-10-23 13:09:11,+0900,,やはりジェイゾロフトか 私も同行する,ja,[],[],384458303,384458303,umamichoumiryou,Anselmet Abbeyオルタ,6,13,https://twitter.com/umamichoumiryou/status/1451762601981931524,[],[],0,,False,0,1,0,,ジェイゾロフト,,,,,,,[],,,,
