,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1452033854101864451,1452033854101864451,1635026822000.0,2021-10-24 07:07:02,+0900,,おはようございます。今日は息子の試合です‼️朝のお薬飲んで行ってきます。 今朝は鼻づまりです😅 ＃レクサプロ ＃スルピリド,ja,"['レクサプロ', 'スルピリド']",[],1440693677874040839,1440693677874040839,CoKXzdIAqcG1BzC,そわそわ,7,07,https://twitter.com/CoKXzdIAqcG1BzC/status/1452033854101864451,[],[],0,,False,4,0,0,,スルピリド,,,,,,,[],,,,
1,1,1452026812884611075,1452026812884611075,1635025144000.0,2021-10-24 06:39:04,+0900,,とにかく特に整理したい📮のは、 炭酸リチウム(リーマス) セパゾン(クロキサゾラム) アンテベート メイラックス(ロフラゼプ酸エチル) チャンピックス 苓桂朮甘湯 かな。ま、固定ツイの全部要らないけど💫  スルピリド(ドグマチール)は貰い手さん出現してて取り置き中なので。   #お薬もぐもぐ,ja,['お薬もぐもぐ'],[],1448304817961455616,1448304817961455616,Rosa_garden6,Rosa.Maudit🥀,7,06,https://twitter.com/Rosa_garden6/status/1452026812884611075,[],[],0,,False,1,0,0,,スルピリド,,,,,,,[],,,,
2,2,1451985526303584256,1451984027674546183,1635015300000.0,2021-10-24 03:55:00,+0900,,@Hitsuji0407 スルピリドも太りやすいと聞きましたがまだ太ってないので個人差あるかもですね、ジプレキサもでたところなのでどうか気になります。 ラムネみたいな大きさです。 検索ワードなにか見てみますwww,ja,[],[],963692674803879937,963692674803879937,hmr_382,💜ほまる💙,7,03,https://twitter.com/hmr_382/status/1451985526303584256,[],[],0,,False,1,0,0,,スルピリド,,,,,,,"[{'screen_name': 'Hitsuji0407', 'name': 'ひつじ🐏@乳がん治療中', 'id': '1396385788976267264'}]",,,,
3,3,1451942996371378179,1451942996371378179,1635005160000.0,2021-10-24 01:06:00,+0900,,分類：抗精神病薬　商品名：リスパダール　一般名：リスペリドン　効能：統合失調症　用量：2-12mg　備考：第二世代抗精神病薬の幕開け、当時はリスペリドンvsスルピリドもしばしばデザインされていた,ja,[],[],1213583493730422784,1213583493730422784,kokorokusuri999,ガブちゃんこころの救急箱,7,01,https://twitter.com/kokorokusuri999/status/1451942996371378179,[],[],0,,False,0,0,0,,スルピリド,,,,,,,[],,,,
4,4,1451931167913959432,1451931167913959432,1635002340000.0,2021-10-24 00:19:00,+0900,,サインバルタを60mgにしてもらって、追加でスルピリド50mgを処方されてから、あまり落ち込まなくなった。,ja,[],[],1446716633565655046,1446716633565655046,baltan40,baltan休職中,7,00,https://twitter.com/baltan40/status/1451931167913959432,[],[],0,,False,1,0,0,,スルピリド,,,,,,,[],,,,
5,5,1451913962329493511,1451913962329493511,1634998238000.0,2021-10-23 23:10:38,+0900,,今回も薬の処方は変わらずパキシル10mg＋スルピリド100mgだった。先生曰く飲み始めて効果でるまで時間かかるから様子見ましょうとのこと。そういえば今まで同じ薬を長期間服用したことなかったので先生を信じて飲み続けてみよう。,ja,[],[],1250346503836545024,1250346503836545024,ringo_udon_2047,Youth系,6,23,https://twitter.com/ringo_udon_2047/status/1451913962329493511,[],[],0,,False,0,0,0,,スルピリド,,,,,,,[],,,,
6,6,1451881086884057093,1451881086884057093,1634990400000.0,2021-10-23 21:00:00,+0900,,【薬理】スルピリドは最も低用量で何に適応があるか答えよ 【答え】 https://t.co/lJr2mifF0a,ja,[],[],91525586,91525586,be89314,薬剤師国家試験対策.com,6,21,https://twitter.com/be89314/status/1451881086884057093,['http://be89314.com/twitter/5393'],[],0,,False,0,0,0,,スルピリド,,,,,,,[],,,,
7,7,1451871328848408578,1451871328848408578,1634988073000.0,2021-10-23 20:21:13,+0900,,そっか、心療内科で乳が出るからスルピリドやめてほしいって言わないといけないのか。恥ずかしいな…,ja,[],[],1401432548111122433,1401432548111122433,harusam4690,はる,6,20,https://twitter.com/harusam4690/status/1451871328848408578,[],[],0,,False,3,0,0,,スルピリド,,,,,,,[],,,,
8,8,1451865276455079938,1451616519796916227,1634986630000.0,2021-10-23 19:57:10,+0900,,@molmol444 ｶｵｽﾀﾞﾖ 夜にレボセチとレクサプロ(A病院)、ミオナールとハイペン(B病院)、超低用量ピル(C病院) 毎日3回レバミピド(A病院) 朝葛根湯(C病院)、スルピリド(A病院) あと頓服でレキソタン(A病院)…,ja,[],[],842634800523497473,842634800523497473,ancororin_mochi,あんこ,6,19,https://twitter.com/ancororin_mochi/status/1451865276455079938,[],[],0,,False,0,1,0,,スルピリド,,,,,,,"[{'screen_name': 'molmol444', 'name': 'もる', 'id': '2921367073'}]",,,,
9,10,1451818531146768388,1451818531146768388,1634975485000.0,2021-10-23 16:51:25,+0900,,クロチアゼパムがリーゼなのはわかる スルピリドは何 一体自分は何を飲んでるの,ja,[],[],1322579780248596483,1322579780248596483,o_eeee_o,ア゛,6,16,https://twitter.com/o_eeee_o/status/1451818531146768388,[],[],0,,False,0,0,0,,スルピリド,,,,,,,[],,,,
