,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1452060997380816898,1452060997380816898,1635033294000.0,2021-10-24 08:54:54,+0900,,トラゾドン使いやすいところ  5HT2受容体拮抗薬（二環系） ｒデジレル、ｒレスリン うつでない人（抗うつ薬だがむしろせん妄などによく効く） クエチアピン出しづらい人,ja,[],[],1269604230278438914,1269604230278438914,kensyuuimemo,kensyuuimemo,7,08,https://twitter.com/kensyuuimemo/status/1452060997380816898,[],[],0,,False,0,0,0,,デジレル,,,,,,,[],,,,
1,1,1452048214262116355,1452048214262116355,1635030246000.0,2021-10-24 08:04:06,+0900,,デジレル(トラゾドン) 非三環系・第二世代抗うつ薬(5-HT1部分刺激+5-HT2受容体遮断)  Depressive(抑うつ) Symptom(症状) Reliever(治療薬) に由来すると考えられる。,ja,[],[],702794064605777920,702794064605777920,kusuri_no_namae,薬の名称由来bot,7,08,https://twitter.com/kusuri_no_namae/status/1452048214262116355,[],[],0,,False,0,0,0,,デジレル,,,,,,,[],,,,
2,2,1451747564806574087,1451747564806574087,1634958566000.0,2021-10-23 12:09:26,+0900,,デジレル飲むと必ず弁当2つ食べてしまう,ja,[],[],1428017258299678720,1428017258299678720,Ud9V5MI0DSFZSfH,酒おばけ,6,12,https://twitter.com/Ud9V5MI0DSFZSfH/status/1451747564806574087,[],[],0,,False,0,0,0,,デジレル,,,,,,,[],,,,
3,3,1451740812883070983,1451723594963165186,1634956956000.0,2021-10-23 11:42:36,+0900,,@akune69 新薬なので、まだ様子をみています！ そのうち選択肢に入ると思うのですが、現在のところデジレルで困っていないのです。,ja,[],[],1087890947390631936,1087890947390631936,Drfm11,Dr【喫茶店好きな内科医】,6,11,https://twitter.com/Drfm11/status/1451740812883070983,[],[],0,,False,1,0,0,,デジレル,,,,,,,"[{'screen_name': 'akune69', 'name': '阿久根69', 'id': '108895216'}]",,,,
4,5,1451542603778854915,1400265189895802881,1634909699000.0,2021-10-22 22:34:59,+0900,,21 10/16  トリンテリックス 10mg→20mg デジレル 50mg→100mg,ja,[],[],1386303066660425730,1386303066660425730,yowanehisan,うつのひーさんの弱音,5,22,https://twitter.com/yowanehisan/status/1451542603778854915,[],[],0,,False,6,1,0,,デジレル,,,,,,,[],,,,
5,7,1451507077742923776,1451507077742923776,1634901229000.0,2021-10-22 20:13:49,+0900,,デジレルめちゃくちゃ飛べるじゃん なんか視界青いけど なんだこれ？笑,ja,[],[],1331607654196645893,1331607654196645893,9646_kurusimu,くる,5,20,https://twitter.com/9646_kurusimu/status/1451507077742923776,[],[],0,,False,36,1,0,,デジレル,,,,,,,[],,,,
6,8,1451434625650155520,1451434625650155520,1634883955000.0,2021-10-22 15:25:55,+0900,,昨夜デジレル飲んだのに睡眠解析はこんな感じ。 まぁこの解析も何処まで信用できるか。 生きてるし良しとしよう、 そして今日は天気が良かった。 実家にも行けた。  https://t.co/ejKm5Vhn6S,ja,[],[],1441927107798470661,1441927107798470661,hiranoyosi,よし,5,15,https://twitter.com/hiranoyosi/status/1451434625650155520,[],['https://pbs.twimg.com/media/FCSIGazVgAYhhGG.jpg'],1,https://pbs.twimg.com/media/FCSIGazVgAYhhGG.jpg,False,0,0,0,,デジレル,,,,,,,[],,,,
7,9,1451369097275449344,1451369097275449344,1634868332000.0,2021-10-22 11:05:32,+0900,,デジレルは向精神薬の一つでトリアゾロピリジン系抗うつ薬です。向精神薬の長期服用は副作用・依存性・禁断症状・後遺症などの危険性を増していきます。デジレルの詳細な副作用は以下の通りです→ https://t.co/AbS8WO7Y4r（医薬品添付文書より）。,ja,[],[],1872014227,1872014227,alphaforu,向精神薬・副作用情報,5,11,https://twitter.com/alphaforu/status/1451369097275449344,['http://ow.ly/2bsShX'],[],0,,False,0,0,0,,デジレル,,,,,,,[],,,,
8,10,1451334477406302211,1451334477406302211,1634860078000.0,2021-10-22 08:47:58,+0900,,デジレル ゆううつな気持ちや落ち込んでいる気分をやわらげます。 通常、うつ病・うつ状態の治療に用いられます。 副作用として、眠気、めまい・ふらつき、口渇、便秘、浮腫、発疹、かゆみ、まぶたのかゆみなど #うつ病 #病み垢,ja,"['うつ病', '病み垢']",[],1034310636472217600,1034310636472217600,okusurishan,心理のプロが教えるあなたの薬,5,08,https://twitter.com/okusurishan/status/1451334477406302211,[],[],0,,False,3,0,0,,デジレル,,,,,,,[],,,,
9,12,1451147356628418569,1451147356628418569,1634815465000.0,2021-10-21 20:24:25,+0900,,セロクエル副作用やばいし鬱々するからデジレル錠でハイになりすぎたくらいがちょうど良かった。何もやる気でない,ja,[],[],1232314299386712067,1232314299386712067,b4pYG82f2J6pAKa,ゔゔ,4,20,https://twitter.com/b4pYG82f2J6pAKa/status/1451147356628418569,[],[],0,,False,2,0,0,,デジレル,,,,,,,[],,,,
10,13,1450857788830208000,1450851698528821250,1634746427000.0,2021-10-21 01:13:47,+0900,,@kii_iruka2 後発じゃないかも？でもデジレルとリフレックスらしいです。ミルサダビンがリフレックスなのですが、わたしリフレックス飲んでた時食欲すごすぎて10キロ以上は太ったんです。きいさん食欲辛くないですか？（ちゃんぽんはいけませんよ）,ja,[],[],1366316130168500224,1366316130168500224,wanimura_xt,鰐村,4,01,https://twitter.com/wanimura_xt/status/1450857788830208000,[],[],0,,False,0,1,0,,デジレル,,,,,,,"[{'screen_name': 'kii_iruka2', 'name': 'きい@ゼミ垢', 'id': '1448706138254442496'}]",,,,
11,15,1450802175651680261,1450801802073440256,1634733167000.0,2021-10-20 21:32:47,+0900,,だからこそデジレルを合わせて飲んでるけど脳外科の主治医にはデジレルやめるように言われるしな・・・。デジレルなくなったら毎日の睡眠時間3時間前後で終わるからしんどさはないけど人として睡眠足りないレベルにはなると思うぞな。,ja,[],[],163549926,163549926,nozohime0425,希姫-nozohime-,3,21,https://twitter.com/nozohime0425/status/1450802175651680261,[],[],0,,False,0,0,0,,デジレル,,,,,,,[],,,,
12,16,1450801535592534021,1450800021155180546,1634733015000.0,2021-10-20 21:30:15,+0900,,@memento_fox 少量セロクエルやデジレルなんかも良いぞ！,ja,[],[],2938992420,2938992420,3_3_1_3_,些細,3,21,https://twitter.com/3_3_1_3_/status/1450801535592534021,[],[],0,,False,0,1,0,,デジレル,,,,,,,"[{'screen_name': 'memento_fox', 'name': 'su', 'id': '1077952324243382272'}]",,,,
