,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1451930906801827852,1451930906801827852,1635002278000.0,2021-10-24 00:17:58,+0900,,デプロメール(抗鬱剤):SSRI。50mg/日から投薬を開始し、最大150mg/日まで増量可。セロトニンの再取り込みを阻害して濃度を増やす。在来薬より抗コリン作用が抑えられており、又致死量のが高く安全に設計されている。飲み初めの時に吐き気を伴うことがある。,ja,[],[],2726462535,2726462535,AntipsychoticsB,抗精神病薬ぼっと,7,00,https://twitter.com/AntipsychoticsB/status/1451930906801827852,[],[],0,,False,0,0,0,,デプロメール,,,,,,,[],,,,
1,1,1451834646589689861,1451834646589689861,1634979328000.0,2021-10-23 17:55:28,+0900,,デプロメールはスニるとすっげぇ痛くてしばらく動けなくなるぜ。,ja,[],[],1134507769,1134507769,dongima_bot,暁　龍叉,6,17,https://twitter.com/dongima_bot/status/1451834646589689861,[],[],0,,False,0,0,0,,デプロメール,,,,,,,[],,,,
2,3,1451735901160165378,1451735901160165378,1634955785000.0,2021-10-23 11:23:05,+0900,,飲んでるのは パキシル、デプロメール、ワイパックス、ソラナックス マイスリー、グッドミン、ドグマチール,ja,[],[],521372558,521372558,sankakuzaki,でるたん,6,11,https://twitter.com/sankakuzaki/status/1451735901160165378,[],[],0,,False,0,0,0,,デプロメール,,,,,,,[],,,,
3,4,1451691067221315585,1451691067221315585,1634945096000.0,2021-10-23 08:24:56,+0900,,2001年にADHDの診断受けて20年。リタリン飲んで効いてたのに「リタリン禁止」で薬難民に。抑鬱診断でデプロメールとデパス処方。新発売のストラテラ追加のあとにリボトリール。 デパス依存で足りなくなると人からもらってた。 本当はリタリンだけで良かったし、今ならコンサータだけで充分なんだろな。,ja,[],[],1406475106734329857,1406475106734329857,IUTN0GiUBLZR3yg,KOH,6,08,https://twitter.com/IUTN0GiUBLZR3yg/status/1451691067221315585,[],[],0,,False,4,0,0,,デプロメール,,,,,,,[],,,,
4,5,1451689300689440772,1451527429474828297,1634944675000.0,2021-10-23 08:17:55,+0900,,@S67994470 私の方は、結局、減薬で成功しました。 安定剤のリーゼ5mgを1日1錠のみです。  痛みに、抗うつ剤のレメロン15mgを頓服服用で、持たせて貰っていますが、鬱には、効きません。  ラツーダとメイラックスも、試していただきました。副反応でアウト。 デプロメールは、主治医が使いたくないとの判断❣️,ja,[],[],1142984844298768384,1142984844298768384,0dIf6,横田 ヨネ👒,6,08,https://twitter.com/0dIf6/status/1451689300689440772,[],[],0,,False,0,0,0,,デプロメール,,,,,,,"[{'screen_name': 'S67994470', 'name': 'Sat', 'id': '1417947665988390917'}]",,,,
5,6,1451684458097090563,1451684458097090563,1634943520000.0,2021-10-23 07:58:40,+0900,,デプロメールが合ってない可能性もある。,ja,[],[],1382883377716482054,1382883377716482054,wannico2525,ﾜﾝﾆｺ先生@湘南🗽,6,07,https://twitter.com/wannico2525/status/1451684458097090563,[],[],0,,False,1,0,0,,デプロメール,,,,,,,[],,,,
6,7,1451664381301833732,1451664381301833732,1634938733000.0,2021-10-23 06:38:53,+0900,,おくすりあれば　アナフラニール　アミプリン わたしになれる　ソラナックス　サイレース おくすりなけりゃ　デプロメール　エフェドリン わたしはきえる　ドグマチール　ハルシオン／ファッションパンク,ja,[],[],400868190,400868190,urban_lyric_bot,アーバンギャルド歌詞_bot,6,06,https://twitter.com/urban_lyric_bot/status/1451664381301833732,[],[],0,,False,0,0,0,,デプロメール,,,,,,,[],,,,
7,8,1451550937055522820,1451509944579092482,1634911686000.0,2021-10-22 23:08:06,+0900,,@namagomeman 失礼しました！ご自身が小学生の頃に発症されたんですね。読み間違えてました💦 デプロメールというお薬は効きますか？ 海外のサプリもピンキリみたいで。 私はアイハーブというサイトから買ってます。 なるべくならサプリで改善できたらいいですよね…。,ja,[],[],342060270,342060270,1z_yoshinani,善しなに🐘,5,23,https://twitter.com/1z_yoshinani/status/1451550937055522820,[],[],0,,False,0,0,0,,デプロメール,,,,,,,"[{'screen_name': 'namagomeman', 'name': 'なまごめ@OCD', 'id': '1232346028851908609'}]",,,,
8,10,1451544665602228240,1451509944579092482,1634910191000.0,2021-10-22 22:43:11,+0900,,@1z_yoshinani お詳しいですね。 子供はいないのですが、私自身がOCDでして、デプロメールを処方してもらって飲んでます。 海外のサプリは一度失敗したことがあって、服用後に体調を崩してしまい…それ以来ちょっと遠のいてしまっています。,ja,[],[],1232346028851908609,1232346028851908609,namagomeman,なまごめ@OCD,5,22,https://twitter.com/namagomeman/status/1451544665602228240,[],[],0,,False,1,1,0,,デプロメール,,,,,,,"[{'screen_name': '1z_yoshinani', 'name': '善しなに🐘', 'id': '342060270'}]",,,,
9,11,1451497095140048905,1451497095140048905,1634898849000.0,2021-10-22 19:34:09,+0900,,ドグマチールで生理不順になったりパキシルで胃腸障害になったりデプロメールが全く効かなかったり… 薬って難しいね,ja,[],[],1436359076787548170,1436359076787548170,d__twi,⊿,5,19,https://twitter.com/d__twi/status/1451497095140048905,[],[],0,,False,1,0,0,,デプロメール,,,,,,,[],,,,
