,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1451953657839173638,1451953657839173638,1635007702000.0,2021-10-24 01:48:22,+0900,,トレドミン(抗鬱剤)：国内初のSNRI。25mg/日から投薬を開始し、最大100mg/日まで増量可。場合によっては200mg/日まで増量可。セロトニンとノルアドレナリンの再取り込みを阻害して濃度を増やす。在来薬より即効性があり抗コリン作用が抑えられている。,ja,[],[],2726462535,2726462535,AntipsychoticsB,抗精神病薬ぼっと,7,01,https://twitter.com/AntipsychoticsB/status/1451953657839173638,[],[],0,,False,0,0,0,,トレドミン,,,,,,,[],,,,
1,1,1451906486213365763,1451906486213365763,1634996456000.0,2021-10-23 22:40:56,+0900,,愛おしすぎるんだが  https://t.co/8Shj9ulhk0,ja,[],[],956221356005183488,956221356005183488,yaco_25mg,やこ トレドミン25mg,6,22,https://twitter.com/yaco_25mg/status/1451906486213365763,[],['https://pbs.twimg.com/media/FCY1QGMVQAAWOKv.jpg'],1,https://pbs.twimg.com/media/FCY1QGMVQAAWOKv.jpg,False,2,0,0,,トレドミン,,,,,,,[],,,,
2,2,1451783809620332550,1451783809620332550,1634967207000.0,2021-10-23 14:33:27,+0900,,トレドミン、ソラナックスをめぐりゆく日々 たからもの壊す手つきで,ja,[],[],707152047368318976,707152047368318976,ronire_log,過去短歌bot,6,14,https://twitter.com/ronire_log/status/1451783809620332550,[],[],0,,False,0,0,0,,トレドミン,,,,,,,[],,,,
3,5,1451547486116462593,1451546058694148100,1634910863000.0,2021-10-22 22:54:23,+0900,,ADHD症状 トレドミン(SNRI) →ストラテラ(ADHD) →コンサータ(覚醒剤/ADHD) ※パムのトラブルでコンサータの処方が中傷されている  躁状態/しゃっくり デパケン  安定剤/しゃっくり セルシン,ja,[],[],101231465,101231465,pambeijing,パム,5,22,https://twitter.com/pambeijing/status/1451547486116462593,[],[],0,,False,0,0,0,,トレドミン,,,,,,,[],,,,
4,6,1451429619635081216,1451429619635081216,1634882762000.0,2021-10-22 15:06:02,+0900,,自分がパキシルからジェイゾロフト→トレドミン→ストラテラと薬が変化して、今はずっとストラテラが処方されてる。 私ってADDの要素があったのかな～と考えてる。,ja,[],[],842013290645536769,842013290645536769,kinsenka0171,疲れてるkinsenka,5,15,https://twitter.com/kinsenka0171/status/1451429619635081216,[],[],0,,False,1,0,0,,トレドミン,,,,,,,[],,,,
5,8,1451228847911817229,1451228847911817229,1634834894000.0,2021-10-22 01:48:14,+0900,,トレドミン 抑うつ気分や不安を和らげます。 通常、うつ病・うつ状態の治療に用いられます。 副作用として、吐き気・嘔吐、眠気、排尿障害（尿が出ない、尿が出にくい）、便秘、腹痛、頭痛、頻脈、口渇、発疹、かゆみなど #うつ病 #病み垢,ja,"['うつ病', '病み垢']",[],1034310636472217600,1034310636472217600,okusurishan,心理のプロが教えるあなたの薬,5,01,https://twitter.com/okusurishan/status/1451228847911817229,[],[],0,,False,1,0,0,,トレドミン,,,,,,,[],,,,
6,9,1451225651831209985,1451225651831209985,1634834132000.0,2021-10-22 01:35:32,+0900,,トレドミンは向精神薬の一つでSNRI抗うつ薬です。向精神薬の長期服用は副作用・依存性・禁断症状・後遺症などの危険性を増していきます。トレドミンの詳細な副作用は以下の通りです→ https://t.co/CXNNYDreCl（医薬品添付文書より）。,ja,[],[],1872014227,1872014227,alphaforu,向精神薬・副作用情報,5,01,https://twitter.com/alphaforu/status/1451225651831209985,['http://ow.ly/2bsSkp'],[],0,,False,0,0,0,,トレドミン,,,,,,,[],,,,
7,11,1451072009656365058,1451072009656365058,1634797501000.0,2021-10-21 15:25:01,+0900,,抗鬱剤のトレドミン（ミルナシプラン塩酸塩）ってやつ、最初1日25mgからスタートし、50mgになり、現在75mgになりました。100mgが1日の限度量だそうです。つまりあと1回の変身を残しているということ・・！,ja,[],[],189774556,189774556,niboshi2000,村井ニボシ,4,15,https://twitter.com/niboshi2000/status/1451072009656365058,[],[],0,,False,1,0,0,,トレドミン,,,,,,,[],,,,
8,13,1450910817172353029,1450910817172353029,1634759070000.0,2021-10-21 04:44:30,+0900,,ロナセン、トレドミン、ベルソムラ、ハルシオンに結局酒を追加してしまった。 ウイスキー！🥃,ja,[],[],2657837282,2657837282,fox_and_,あんよ,4,04,https://twitter.com/fox_and_/status/1450910817172353029,[],[],0,,False,6,0,1,,トレドミン,,,,,,,[],,,,
9,14,1450894080284631041,1450894080284631041,1634755079000.0,2021-10-21 03:37:59,+0900,,＼ おはようございます☀ ／ 今日の目標　冬複の衣替え🏠🐰💕  家族は寒い寒い☃言ってるけど、私はサインバルタ+トレドミン💊をmaxキメてるので、そんな寒くないんだなぁ🔥 毎日ミルクティごくごく☕ 皆様も防寒対策しませう👍 #おは戦31021om 🌴,ja,['おは戦31021om'],[],15630623,15630623,aki_kuraoka,倉岡亜妃 Aki Kuraoka,4,03,https://twitter.com/aki_kuraoka/status/1450894080284631041,[],[],0,,False,11,0,0,,トレドミン,,,,,,,[],,,,
