,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1452043072322240515,1452043072322240515,1635029020000.0,2021-10-24 07:43:40,+0900,,ドグマチール 飲んだら 落ち着いた,ja,[],[],1441900627378855942,1441900627378855942,cDiC6xTWMfaF82W,裕大隆美誠,7,07,https://twitter.com/cDiC6xTWMfaF82W/status/1452043072322240515,[],[],0,,False,0,0,0,,ドグマチール,,,,,,,[],,,,
1,1,1452026812884611075,1452026812884611075,1635025144000.0,2021-10-24 06:39:04,+0900,,とにかく特に整理したい📮のは、 炭酸リチウム(リーマス) セパゾン(クロキサゾラム) アンテベート メイラックス(ロフラゼプ酸エチル) チャンピックス 苓桂朮甘湯 かな。ま、固定ツイの全部要らないけど💫  スルピリド(ドグマチール)は貰い手さん出現してて取り置き中なので。   #お薬もぐもぐ,ja,['お薬もぐもぐ'],[],1448304817961455616,1448304817961455616,Rosa_garden6,Rosa.Maudit🥀,7,06,https://twitter.com/Rosa_garden6/status/1452026812884611075,[],[],0,,False,1,0,0,,ドグマチール,,,,,,,[],,,,
2,2,1452007805485940736,1452007805485940736,1635020612000.0,2021-10-24 05:23:32,+0900,,ドグマチール3錠飲んだ後、ぼーっとしながらマイスリー2錠出して飲んだ。ふと見たら、手に持ってたシートはドグマチールだった。,ja,[],[],1216028336842870785,1216028336842870785,fmknmgmgazrs,moe,7,05,https://twitter.com/fmknmgmgazrs/status/1452007805485940736,[],[],0,,False,0,0,0,,ドグマチール,,,,,,,[],,,,
3,4,1451983818546503681,1451983818546503681,1635014893000.0,2021-10-24 03:48:13,+0900,,ドグマチール 胃・十二指腸の粘膜の回復を助ける作用があります。 通常、胃潰瘍・十二指腸潰瘍の治療に 副作用は、月経異常、乳汁分泌、女性化乳房、不眠、眠気、めまい、口渇、胸焼け、吐き気、便秘、熱感、倦怠感、発疹、浮腫、振戦、舌のもつれ、 #うつ病 #病み垢,ja,"['うつ病', '病み垢']",[],1034310636472217600,1034310636472217600,okusurishan,心理のプロが教えるあなたの薬,7,03,https://twitter.com/okusurishan/status/1451983818546503681,[],[],0,,False,0,0,0,,ドグマチール,,,,,,,[],,,,
4,5,1451934827427418115,1451934465173778439,1635003213000.0,2021-10-24 00:33:33,+0900,,今まで飲んだ薬 メイラックス ハルシオン  ドグマチール デパス リーゼ セルトラリン(SSRI),ja,[],[],1330793635256754176,1330793635256754176,w2023906z,w2023906z,7,00,https://twitter.com/w2023906z/status/1451934827427418115,[],[],0,,False,0,0,0,,ドグマチール,,,,,,,[],,,,
5,6,1451918308295340034,1451918308295340034,1634999274000.0,2021-10-23 23:27:54,+0900,,ドグマチールという名前は毒々しすぎるといつも思います( ﾟдﾟ),ja,[],[],1068132756582883328,1068132756582883328,roco_gambalfy,ロコ@107回,6,23,https://twitter.com/roco_gambalfy/status/1451918308295340034,[],[],0,,False,1,0,0,,ドグマチール,,,,,,,[],,,,
6,7,1451911757786611715,1451904320132112389,1634997712000.0,2021-10-23 23:01:52,+0900,,@ZZtikuwapolygon スッ…(  'ω' )っ【ドグマチール】 ドグマチール：消化を助けてくれるしお腹が空くし食べ物がめちゃくちゃ美味いし幸せになる。副作用：太る  おろしにんにくもすーぱー美味い！鰹のたたきはおろしにんにく、スライスしたニンニクとポン酢で大勝利します。家で作ったニンニクは効き目抜群でうまいぞ…,ja,[],[],155079872,155079872,akasakak,🔥あかさか🔥11/3skeb〆切TSもの,6,23,https://twitter.com/akasakak/status/1451911757786611715,[],[],0,,False,1,1,0,,ドグマチール,,,,,,,"[{'screen_name': 'ZZtikuwapolygon', 'name': 'ZZちくわ', 'id': '823504928'}]",,,,
7,8,1451906610498998274,1451906610498998274,1634996485000.0,2021-10-23 22:41:25,+0900,,母がここ数ヶ月不眠のようです。私は薬と飲酒が怪しいと思ってます。まずは飲酒をやめるよう伝えました。それでも改善しなければ薬かと…。 薬にお詳しい方いらっしゃたら教えてほしいのです。この処方内容は不眠の原因になる恐れはありますか？ プロブレス、ソラナックス、セレナール、ドグマチール等  https://t.co/fptfEWujl7,ja,[],[],1413674297055334402,1413674297055334402,mapachan8,まは@ビビりー投資,6,22,https://twitter.com/mapachan8/status/1451906610498998274,[],['https://pbs.twimg.com/media/FCY1Xj8VEAAJKSD.jpg'],1,https://pbs.twimg.com/media/FCY1Xj8VEAAJKSD.jpg,False,1,0,0,,ドグマチール,,,,,,,[],,,,
8,9,1451897048513400834,1451724486173024264,1634994205000.0,2021-10-23 22:03:25,+0900,,@mikoandpino 食べた後に後悔する😭けどまた食べる😋の繰り返しですよね(笑) ピノママさん、漢方とか飲んでますか？私は六君子湯と半夏厚朴湯を試したけど効かなくてやめました。 胃腸薬は今4つ目でドグマチールを始めたばかりです。効果あるといいです😣,ja,[],[],1315454883013685248,1315454883013685248,Naco_1012xxx,Naco®︎(*°θ°*)💖,6,22,https://twitter.com/Naco_1012xxx/status/1451897048513400834,[],[],0,,False,1,1,0,,ドグマチール,,,,,,,"[{'screen_name': 'mikoandpino', 'name': 'みこ&ピノちゃんママ', 'id': '4703275452'}]",,,,
9,10,1451882164585304064,1451882164585304064,1634990657000.0,2021-10-23 21:04:17,+0900,,目眩もするし食べなきゃダメだと分かってるけど、何も食べたくないし作る気力もないから強制的に食べる為に外出。残すの嫌だし回転寿司。いいね。食べられる量だけ頼めるし。茶碗蒸しとブリ、エビのカルパッチョ。昨日から処方されたドグマチールが効くといいけど。亜鉛不足で味がしないのがなー,ja,[],[],1348433901467783169,1348433901467783169,cgcUwjK1PKIXlVR,希（まれ）,6,21,https://twitter.com/cgcUwjK1PKIXlVR/status/1451882164585304064,[],[],0,,False,1,0,0,,ドグマチール,,,,,,,[],,,,
