,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1451998858444034048,1451998858444034048,1635018479000.0,2021-10-24 04:47:59,+0900,,ノリトレン 気持ちを楽にして意欲を高めます。 通常、うつ病およびうつ状態の治療に用いられます。 副作用として、口渇、眠気、便秘、発疹、かゆみ、黄疸、全身倦怠感、食欲不振、吐き気、口の周りなどの不随意運動など #うつ病 #病み垢,ja,"['うつ病', '病み垢']",[],1034310636472217600,1034310636472217600,okusurishan,心理のプロが教えるあなたの薬,7,04,https://twitter.com/okusurishan/status/1451998858444034048,[],[],0,,False,1,0,0,,ノリトレン,,,,,,,[],,,,
1,1,1451680051083112450,1451680051083112450,1634942469000.0,2021-10-23 07:41:09,+0900,,情動調整剤「ノリトレン」(1972)  1970年代の大日本製薬はシュールレアリズムの影響を受けた広告が多い。   https://t.co/yinpFW5ybh,ja,[],[],2351096154,2351096154,gr07066,シュールな広告アートまとめ,6,07,https://twitter.com/gr07066/status/1451680051083112450,[],['https://pbs.twimg.com/media/Bg0Eqw2CMAAvPyz.jpg'],1,https://pbs.twimg.com/media/Bg0Eqw2CMAAvPyz.jpg,False,0,0,0,,ノリトレン,,,,,,,[],,,,
2,3,1451426031353487367,1451423833173356548,1634881906000.0,2021-10-22 14:51:46,+0900,,@satukiutu 一時寛解して、ノリトレンと眠剤、導入剤だけになった時頑張って２５キロダイエットしました。ところが再発して、多種類の薬が増薬していって。鬱状態がひどく過食しないと眠れず、気がつけば３５キロ増えてました,ja,[],[],1101161423474876416,1101161423474876416,akira_tsukapon,あきら,5,14,https://twitter.com/akira_tsukapon/status/1451426031353487367,[],[],0,,False,2,1,0,,ノリトレン,,,,,,,"[{'screen_name': 'satukiutu', 'name': '皐✩.*˚サツキ✩.*˚', 'id': '1105730625145790464'}]",,,,
3,4,1451416527551401991,1451416527551401991,1634879640000.0,2021-10-22 14:14:00,+0900,,いつもならコンスタン2錠目のところ、ノリトレン錠を投入してみた。,ja,[],[],96303922,96303922,matsurara,マツ（許してください）,5,14,https://twitter.com/matsurara/status/1451416527551401991,[],[],0,,False,0,0,0,,ノリトレン,,,,,,,[],,,,
4,5,1451275158044372998,1451275158044372998,1634845935000.0,2021-10-22 04:52:15,+0900,,とうとう、、、  三環系抗うつ薬が処方された。。。  副作用がまた酷くなる。。。  ﾊｧ-.......  #ノリトレン #アナフラニール,ja,"['ノリトレン', 'アナフラニール']",[],1061423471723405313,1061423471723405313,Mazda_Uki,優希の冒険譚　3D人狼殺YouTuber,5,04,https://twitter.com/Mazda_Uki/status/1451275158044372998,[],[],0,,False,1,0,0,,ノリトレン,,,,,,,[],,,,
5,6,1451054723134464009,1451054723134464009,1634793379000.0,2021-10-21 14:16:19,+0900,,抗うつ薬をノリトレンに変更したのが確か６月か７月 今週になって効いてきたかなって実感するようになった 抗うつ薬の即効性のなさがかなり苦しい ひたすら鬱に耐えることしか出来ないもんな  だから夏からメンタルは鬱気味で、そこへ肉体的な不調が重なってきたから、かなり苦しかった,ja,[],[],1398171828766470146,1398171828766470146,mattgospel_5,ましゅー◆双極Ⅱ•ADHD,4,14,https://twitter.com/mattgospel_5/status/1451054723134464009,[],[],0,,False,10,0,0,,ノリトレン,,,,,,,[],,,,
6,10,1450632364682452995,1450632364682452995,1634692681000.0,2021-10-20 10:18:01,+0900,,抗うつ薬③  ＊三環系 ・イミプラミン塩酸塩(イミドール、トフラニール) ・アミトリプチリン塩酸塩(トリプタノール) ・ノルトリプチリン塩酸塩(ノリトレン) ・クロミプラミン塩酸塩(アナフラニール) ・アモキサピン(アモキサン),ja,[],[],1018802179862171648,1018802179862171648,psychologicalb3,心理臨床あれこれ,3,10,https://twitter.com/psychologicalb3/status/1450632364682452995,[],[],0,,False,2,0,0,,ノリトレン,,,,,,,[],,,,
7,11,1450454987708981256,1450454751192260608,1634650391000.0,2021-10-19 22:33:11,+0900,,薬で補えばいいと思った、でも昨日今日の体調みて、(昨日はノリトレン飲まなかったのに)飲み始めのだーって疲れが取れる感覚？ものすごい眠気や大量の発汗があって、やはり休養に勝る薬はないのだなと,ja,[],[],759657046190927872,759657046190927872,nervosa_722,ブリム,2,22,https://twitter.com/nervosa_722/status/1450454987708981256,[],[],0,,False,2,0,0,,ノリトレン,,,,,,,[],,,,
8,12,1450446295638831113,1450446295638831113,1634648319000.0,2021-10-19 21:58:39,+0900,,薬名:ノリトレン 薬価:5.6~～11.3 分類:3環系抗うつ薬 強さ:中～強 鎮静作用:弱～中 錐体外路症:なし 肥満:中 適応 1.うつ病 2.不安障害 3.心身症  https://t.co/ZVpiAdBeW8,ja,[],[],3299940768,3299940768,medicinelistbot,お薬たん,2,21,https://twitter.com/medicinelistbot/status/1450446295638831113,[],['https://pbs.twimg.com/media/CMNcm7LUMAAL-uL.jpg'],1,https://pbs.twimg.com/media/CMNcm7LUMAAL-uL.jpg,False,1,0,0,,ノリトレン,,,,,,,[],,,,
9,14,1450339861655740418,1450327630360633350,1634622943000.0,2021-10-19 14:55:43,+0900,,@akira_tsukapon ノリトレンは昔私も飲んでました。 抗うつ薬ですので、やる気は出る可能性高いかと。  そこまで合わなかったので止めてしまいました。  私は今リフレックスとサインバルタの２種類の抗うつ薬最大量処方で。 それでもなんとか仕事やるのが精一杯です。,ja,[],[],1130809171303997440,1130809171303997440,eltrum_,える。＠うつ病,2,14,https://twitter.com/eltrum_/status/1450339861655740418,[],[],0,,False,0,0,0,,ノリトレン,,,,,,,"[{'screen_name': 'akira_tsukapon', 'name': 'あきら', 'id': '1101161423474876416'}]",,,,
