,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1452014177191559171,1452014177191559171,1635022131000.0,2021-10-24 05:48:51,+0900,,離脱症状はカフェインとパキシル(※笑うとこ)を味わったけど、この中じゃニコチンが一番マシかも〜！,ja,[],[],1379108258028261376,1379108258028261376,GUgju854,いくら,7,05,https://twitter.com/GUgju854/status/1452014177191559171,[],[],0,,False,0,0,0,,パキシル,,,,,,,[],,,,
1,1,1451929971526496262,1451929971526496262,1635002055000.0,2021-10-24 00:14:15,+0900,,若い頃からパキシルとか飲んでて保険とか大丈夫なの,ja,[],[],2522811559,2522811559,depashiki_ku,デパ色句,7,00,https://twitter.com/depashiki_ku/status/1451929971526496262,[],[],0,,False,0,0,0,,パキシル,,,,,,,[],,,,
2,2,1451928118801813512,1451921677563031561,1635001613000.0,2021-10-24 00:06:53,+0900,,@tomomi_mimii ありがと あなたは癒やしです。笑 生きてくって大変だね。,ja,[],[],1176578596942405634,1176578596942405634,insanity_770,パキシルくん®,7,00,https://twitter.com/insanity_770/status/1451928118801813512,[],[],0,,False,1,1,0,,パキシル,,,,,,,"[{'screen_name': 'tomomi_mimii', 'name': 'ともみ', 'id': '1320707786825625601'}]",,,,
3,3,1451925527636287502,1451925527636287502,1635000995000.0,2021-10-23 23:56:35,+0900,,☑️パキシル ☑️アルプラゾラム,ja,[],[],2778418357,2778418357,hayashirice0829,ハヤシライス,6,23,https://twitter.com/hayashirice0829/status/1451925527636287502,[],[],0,,False,1,0,0,,パキシル,,,,,,,[],,,,
4,6,1451920754614812680,1451920754614812680,1634999857000.0,2021-10-23 23:37:37,+0900,,うぅぅぅ苦しいいぃシャンビリがやばい。気が狂いそう。 パキシル突然やめてやったからな。 ワイルドだろ？,ja,[],[],259481492,259481492,ayamecchi_1101,はるのあやめ🐰カメラ女子🌜💥🌛,6,23,https://twitter.com/ayamecchi_1101/status/1451920754614812680,[],[],0,,False,1,0,0,,パキシル,,,,,,,[],,,,
5,7,1451913962329493511,1451913962329493511,1634998238000.0,2021-10-23 23:10:38,+0900,,今回も薬の処方は変わらずパキシル10mg＋スルピリド100mgだった。先生曰く飲み始めて効果でるまで時間かかるから様子見ましょうとのこと。そういえば今まで同じ薬を長期間服用したことなかったので先生を信じて飲み続けてみよう。,ja,[],[],1250346503836545024,1250346503836545024,ringo_udon_2047,Youth系,6,23,https://twitter.com/ringo_udon_2047/status/1451913962329493511,[],[],0,,False,0,0,0,,パキシル,,,,,,,[],,,,
6,8,1451911400968712196,1451911400968712196,1634997627000.0,2021-10-23 23:00:27,+0900,,パキシル処方されたんだけど嫌いなんだよなぁ〜(◞‸◟),ja,[],[],882886278932348929,882886278932348929,tk_590208,たいくん,6,23,https://twitter.com/tk_590208/status/1451911400968712196,[],[],0,,False,1,0,0,,パキシル,,,,,,,[],,,,
7,9,1451902369541681157,1451902369541681157,1634995474000.0,2021-10-23 22:24:34,+0900,,この間かかりつけの先生に聞いたけど、パキシルの副作用で尿失禁ってあるらしい。睡眠が浅くなってよく夢をみるから、夢のなかでつい、って感じらしい。女性は布ナプキンで済むけど、男性はどうすればいいんだろう？　 https://t.co/zD9dglE5Fy,ja,[],[],3080078497,3080078497,anri_whitelife,いしいあんり,6,22,https://twitter.com/anri_whitelife/status/1451902369541681157,['http://goo.gl/b8ylbL'],[],0,,False,0,0,0,,パキシル,,,,,,,[],,,,
8,10,1451900556021145600,1451900556021145600,1634995042000.0,2021-10-23 22:17:22,+0900,,昨日瞳孔やばかったのはパキシル飲んでたからか,ja,[],[],912594555395915776,912594555395915776,hurimizZ,ふりみざわ,6,22,https://twitter.com/hurimizZ/status/1451900556021145600,[],[],0,,False,0,0,0,,パキシル,,,,,,,[],,,,
9,11,1451892091051646980,1451892091051646980,1634993024000.0,2021-10-23 21:43:44,+0900,,パキシルから離脱する時は離脱症状なかったよ。薬関係での離脱は苦労したことないかなぁ。,ja,[],[],1086874155155259392,1086874155155259392,nyaaa_wanwan,犬仔,6,21,https://twitter.com/nyaaa_wanwan/status/1451892091051646980,[],[],0,,False,0,0,0,,パキシル,,,,,,,[],,,,
10,12,1451887526604525569,1451782353777348611,1634991935000.0,2021-10-23 21:25:35,+0900,,@saitamanoNEKO 僕もかつてソラナックスとパキシル飲んでたクチなんで仲良くなれるかもですね😇 お邪魔になってしまう様だと本末転倒なので、落ち着いてからにしましょうかね？ 大変ですが追い込み頑張ってくださーい🤪💪,ja,[],[],794625681854500864,794625681854500864,haru001228,はるゆね大家＠マイホーム探してます,6,21,https://twitter.com/haru001228/status/1451887526604525569,[],[],0,,False,1,1,0,,パキシル,,,,,,,"[{'screen_name': 'saitamanoNEKO', 'name': '猫まんま🐱💕︎桜猫のら', 'id': '1088745887306641408'}]",,,,
11,13,1451882153835302912,1451882153835302912,1634990654000.0,2021-10-23 21:04:14,+0900,,お医者にまずデパスから辞めていきましょうと言われ頑張ってるけど デパスなかったらしんどいなあ。 CBDオイルもいれてるけど 今日デパスのまんかったら 嫌なこと思い出して泣きそうなった 脳みそが依存してるなあ。 怖いな。頑張らな。 デパスてパキシルより全然まして 思ってたのに。,ja,[],[],1023014651548786688,1023014651548786688,10mu____,む,6,21,https://twitter.com/10mu____/status/1451882153835302912,[],[],0,,False,2,3,0,,パキシル,,,,,,,[],,,,
12,14,1451877260537917450,1451877260537917450,1634989488000.0,2021-10-23 20:44:48,+0900,,次の文字列を順に選んでグラクソ・スミスクライン社が販売する抗うつ剤の名前にしなさい（理順）→ パキシル,ja,[],[],565561373,565561373,R_L_bot_3,帝炉3 LCDM,6,20,https://twitter.com/R_L_bot_3/status/1451877260537917450,[],[],0,,False,0,0,0,,パキシル,,,,,,,[],,,,
13,15,1451869279796617218,1451869279796617218,1634987585000.0,2021-10-23 20:13:05,+0900,,パキシル6ヶ月飲んでかなり強気な性格になってた...辞めて初めて気づいた パキシルちょっと怖い、また使うってなっても極力飲まないかも,ja,[],[],1450492351101628419,1450492351101628419,NRc_x_x,✖︎,6,20,https://twitter.com/NRc_x_x/status/1451869279796617218,[],[],0,,False,1,0,0,,パキシル,,,,,,,[],,,,
14,16,1451852970446901251,1451842835154567175,1634983696000.0,2021-10-23 19:08:16,+0900,,@bocchimktg &gt;片頭痛は、「CGRP」という物質が血管に取り込まれることで起こる &gt;「エムガルティ」と「アジョビ」はCGRPの働きをブロックし、「アイモビーグ」は、CGRPが血管表面の受容体と結合するのを妨げます。  あの自殺する人が飲んでいた、パキシルのときも、こんな宣伝文句だった気がするなあ。,ja,[],[],1325990848291463168,1325990848291463168,kodureooakami,春夏秋冬,6,19,https://twitter.com/kodureooakami/status/1451852970446901251,[],[],0,,False,1,0,0,,パキシル,,,,,,,"[{'screen_name': 'bocchimktg', 'name': '初瀬川@廃業から再起中 (3年10ヶ月)', 'id': '1243708949418758144'}]",,,,
15,17,1451851608405409798,1451851608405409798,1634983372000.0,2021-10-23 19:02:52,+0900,,パキシル減らしたほうが調子いいかもしれない めちゃくちゃ寝るけど,ja,[],[],1277569959971786752,1277569959971786752,x_umgs,ほしな,6,19,https://twitter.com/x_umgs/status/1451851608405409798,[],[],0,,False,0,0,0,,パキシル,,,,,,,[],,,,
16,18,1451850350319726603,1451850350319726603,1634983072000.0,2021-10-23 18:57:52,+0900,,抗うつ薬中断症候群の抗うつ薬の中で突出して、そういう離脱症状の報告が多いのはパロキセチン、パキシルだな。だからってパキシルが悪い薬って訳じゃねぇぜ。コイツぁ社交不安障害や強迫性障害などの不安障害によく効く薬なんだ。良い面もあるんだぜ。,ja,[],[],990950616041013248,990950616041013248,psydrug_yagen,向精神薬に詳しい薬研藤四郎bot,6,18,https://twitter.com/psydrug_yagen/status/1451850350319726603,[],[],0,,False,1,0,0,,パキシル,,,,,,,[],,,,
17,19,1451839408114569225,1451839408114569225,1634980463000.0,2021-10-23 18:14:23,+0900,,今、パキシル2.5mgしか飲んでないのか、、って 思いすぎるとヤバいから、なるべく考えないようにしてる。 いまのところ大丈夫だ🙆‍♀️,ja,[],[],1319117061377806339,1319117061377806339,oekakitorino,鳥野ニーナ@日常あれこれ,6,18,https://twitter.com/oekakitorino/status/1451839408114569225,[],[],0,,False,2,1,0,,パキシル,,,,,,,[],,,,
18,21,1451837011891916801,1451837011891916801,1634979892000.0,2021-10-23 18:04:52,+0900,,デパスも、パキシルも、あるんだよ,ja,[],[],1728780901,1728780901,mennheratyann_b,メンヘラちゃん,6,18,https://twitter.com/mennheratyann_b/status/1451837011891916801,[],[],0,,False,0,0,0,,パキシル,,,,,,,[],,,,
19,23,1451831674157764609,1451831674157764609,1634978619000.0,2021-10-23 17:43:39,+0900,,マイクロビキニ,ja,[],[],1429455137102200832,1429455137102200832,Depas_scout,パキシル君,6,17,https://twitter.com/Depas_scout/status/1451831674157764609,[],[],0,,False,2,0,0,,パキシル,,,,,,,[],,,,
20,25,1451825168054030337,1451825168054030337,1634977068000.0,2021-10-23 17:17:48,+0900,,また全身の蕁麻疹 パキシルやめてからの2週間でもう5回以上は起きてる 季節の変わり目の気温差から来るものなのか、減薬から来るものなのかわからない,ja,[],[],1443413462130909190,1443413462130909190,EendeR4yYERp4PX,まめこ@パキシル断薬中,6,17,https://twitter.com/EendeR4yYERp4PX/status/1451825168054030337,[],[],0,,False,0,0,0,,パキシル,,,,,,,[],,,,
