,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1452005293802418180,1452005293802418180,1635020013000.0,2021-10-24 05:13:33,+0900,,三環系抗うつ薬：イミプラミン、アミトリプチン 四環系抗うつ薬：マプロチリン、ミアンセリン SSRI：フルボキサミン、パロキセチン SNRI：ミルナシプラン,ja,[],[],483779147,483779147,ssksh_bot,さぶろー_bot,7,05,https://twitter.com/ssksh_bot/status/1452005293802418180,[],[],0,,False,0,0,0,,パロキセチン,,,,,,,[],,,,
1,1,1451850350319726603,1451850350319726603,1634983072000.0,2021-10-23 18:57:52,+0900,,抗うつ薬中断症候群の抗うつ薬の中で突出して、そういう離脱症状の報告が多いのはパロキセチン、パキシルだな。だからってパキシルが悪い薬って訳じゃねぇぜ。コイツぁ社交不安障害や強迫性障害などの不安障害によく効く薬なんだ。良い面もあるんだぜ。,ja,[],[],990950616041013248,990950616041013248,psydrug_yagen,向精神薬に詳しい薬研藤四郎bot,6,18,https://twitter.com/psydrug_yagen/status/1451850350319726603,[],[],0,,False,1,0,0,,パロキセチン,,,,,,,[],,,,
2,2,1451849272039600131,1451849221800300544,1634982815000.0,2021-10-23 18:53:35,+0900,,・2C19 💊ケトコナゾール 💊チクロピジン 💊フルボキサミン 💊パロキセチン 💊オメプラゾール 💊ランソプラゾール 💊シメチジン  ・2D6 💊アミオダロン 💊チクロピジン 💊キニジン 💊プロパフェノン 💊クロルフェニラミン 💊テルビナフィン 💊パロキセチン 💊リトナビル,ja,[],[],1364865203871961097,1364865203871961097,keitouri,keito@病院薬剤師,6,18,https://twitter.com/keitouri/status/1451849272039600131,[],[],0,,False,0,1,0,,パロキセチン,,,,,,,[],,,,
3,4,1451801359322284034,1451794962417287172,1634971391000.0,2021-10-23 15:43:11,+0900,,@sakai0129 イチちゃんが好き❤️,ja,[],[],1394617972665176065,1394617972665176065,shdXOOEIV32oHwk,パロキセチン,6,15,https://twitter.com/shdXOOEIV32oHwk/status/1451801359322284034,[],[],0,,False,2,0,0,,パロキセチン,,,,,,,"[{'screen_name': 'sakai0129', 'name': '酒井大輔🦍ゴリせん🦍 １巻発売中！', 'id': '3152504148'}]",,,,
4,5,1451688278248198157,1451688278248198157,1634944431000.0,2021-10-23 08:13:51,+0900,,【薬理】フルボキサミン（デプロメール、ルボックス）、パロキセチン（パキシル、パキシルCR）、セルトラリン（ジェイゾロフト）、エスシタロプラム（レクサプロ） 選択的セロトニン再取り込み阻害薬（SSRI）。、セロトニントランスポーターに選択的に結合し、セロトニンの再取り込みを阻害。,ja,[],[],1360420136197398530,1360420136197398530,Labo02105957,おくすり学びLabo,6,08,https://twitter.com/Labo02105957/status/1451688278248198157,[],[],0,,False,0,0,0,,パロキセチン,,,,,,,[],,,,
5,6,1451618234134761473,1451618234134761473,1634927731000.0,2021-10-23 03:35:31,+0900,,パロキセチンは向精神薬の一つでSSRI抗うつ薬です。向精神薬の長期服用は副作用・依存性・禁断症状・後遺症などの危険性を増していきます。パロキセチンの詳細な副作用は以下の通りです→ https://t.co/2vGGEC8BxY（医薬品添付文書より）。,ja,[],[],1872014227,1872014227,alphaforu,向精神薬・副作用情報,6,03,https://twitter.com/alphaforu/status/1451618234134761473,['http://ow.ly/2bsT36'],[],0,,False,0,0,0,,パロキセチン,,,,,,,[],,,,
6,7,1451591209395183620,1451591209395183620,1634921288000.0,2021-10-23 01:48:08,+0900,,パロキセチン飲んでおやすみ,ja,[],[],1245175647904780288,1245175647904780288,genso_aose,滝藤青瀬,6,01,https://twitter.com/genso_aose/status/1451591209395183620,[],[],0,,False,0,0,0,,パロキセチン,,,,,,,[],,,,
7,8,1451538449954115585,1451538449954115585,1634908709000.0,2021-10-22 22:18:29,+0900,,【薬理】選択的セロトニン再取り込み阻害作用を有する抗うつ薬 スーパーサイヤ人、セルをパーでフルボッコにしたろ スーパーサイヤ人：SSRI（選択的セロトニン再取り込み阻害薬） セル：セルトラリン パー：パロキセチン フルボッコ：フルボキサミン シタロ：エスシタロプラム,ja,[],[],1414827019418750979,1414827019418750979,RECbot40,薬剤師国家試験予備校RECゴロbot,5,22,https://twitter.com/RECbot40/status/1451538449954115585,[],[],0,,False,8,0,3,,パロキセチン,,,,,,,[],,,,
8,9,1451518483221467139,1451518483221467139,1634903948000.0,2021-10-22 20:59:08,+0900,,選択的セロトニン再取り込み阻害薬（SSRI）は「選択的」ではありますが、必ずしも完全に選択的ではありません。たとえば、フルボキサミン（ルボックス）やパロキセチン（パキシル）はノルアドレナリンにも作用します。ただ、これらが効果に関してどのような寄与をしているかはよくわかっていません,ja,[],[],1343922457,1343922457,psychpharmatan,神経薬理学たん,5,20,https://twitter.com/psychpharmatan/status/1451518483221467139,[],[],0,,False,1,0,0,,パロキセチン,,,,,,,[],,,,
9,10,1451454254640549894,1451454254640549894,1634888635000.0,2021-10-22 16:43:55,+0900,,現在のパニック障害治療薬として 最もよく使われているのがSSRIです。 SSRIはパニック発作を強力に抑え、予期不安や抑うつ状態を改善します。 広場恐怖、強迫性障害、過食症への効果もあります。日本では現在、フルボキサミン、パロキセチン、セ #パニック障害,ja,['パニック障害'],[],1431637640650973189,1431637640650973189,Chemi_61023,けみ@パニック障害克服,5,16,https://twitter.com/Chemi_61023/status/1451454254640549894,[],[],0,,False,2,0,0,,パロキセチン,,,,,,,[],,,,
