,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1451390534891630595,1451390534891630595,1634873443000.0,2021-10-22 12:30:43,+0900,,フルボキサミンマレイン酸塩＝デプロメールを服用しています。コロナワクチンとの相性悪いと自分は感じていますが、服用している方々はどうだったか知りたいです。  #コロナワクチン #メンタルヘルス #デプロメール,ja,"['コロナワクチン', 'メンタルヘルス', 'デプロメール']",[],2818770649,2818770649,sfvillage1973,ひがなか,5,12,https://twitter.com/sfvillage1973/status/1451390534891630595,[],[],0,,False,0,0,0,,フルボキサミンマレイン,,,,,,,[],,,,
1,1,1450602260090683395,1450602260090683395,1634685504000.0,2021-10-20 08:18:24,+0900,,抗うつ薬①  ＊SSRI（選択的セロトニン再取り込み阻害剤） ・フルボキサミンマレイン酸塩(デプロメール、ルボックス) ・パロキセチン塩酸塩水和物(パキシル) ・塩酸セルトラリン(ジェイゾロフト) ・エスシタロプラムシュウ酸塩(レクサプロ),ja,[],[],1018802179862171648,1018802179862171648,psychologicalb3,心理臨床あれこれ,3,08,https://twitter.com/psychologicalb3/status/1450602260090683395,[],[],0,,False,1,0,0,,フルボキサミンマレイン,,,,,,,[],,,,
2,2,1449742799767670797,1449738771671359497,1634480593000.0,2021-10-17 23:23:13,+0900,,ブレイクスルー感染が確認されてからは 　さらに危ないと感じたときはフルボキサミンマレイン酸塩錠50㎎も服用しておられる 　作用機序が異なるからIVMと併用しても問題無いと  　つまり、これらがブレイクスルー感染でADE-ARDSの死亡を防ぐ特効薬てこと,ja,[],[],4602250512,4602250512,hontounokotoga1,しろくま,7,23,https://twitter.com/hontounokotoga1/status/1449742799767670797,[],[],0,,False,48,0,11,,フルボキサミンマレイン,,,,,,,[],,,,
3,6,1448793089116499985,1231764360722182145,1634254164000.0,2021-10-15 08:29:24,+0900,,もともと精神神経科で処方された抗うつ薬（フルボキサミンマレイン酸塩）を服用中だった50代男性。 別の病院で不眠を訴えたところ、睡眠薬の一種であるメラトニン受容体作動薬のラメルテオンを処方された。  薬局で併用禁忌が確認され病院に疑義照会したところ、併用可能な睡眠薬に変更。,ja,[],[],1155452351668318208,1155452351668318208,tetsu0724d,TETSU Ⅱ,5,08,https://twitter.com/tetsu0724d/status/1448793089116499985,[],[],0,,False,0,1,0,,フルボキサミンマレイン,,,,,,,[],,,,
4,7,1448594681080676353,1448441584651931655,1634206860000.0,2021-10-14 19:21:00,+0900,,@jijimedical 関係あるのか、全くド素人で分かりませんが、1年生位前にフルボキサミンマレイン（ルボックス）効くとかの話しありませんでしっけ？？ 元々メンタル疾患あるところにコロナきたので一時はひゃーでした😱肉体の難病もあったし！だからこそ冬はどのクリニックでも町医者でも風邪でも発熱でも診てほしい！,ja,[],[],1381225180253446146,1381225180253446146,woodlea62677703,woodleaf,4,19,https://twitter.com/woodlea62677703/status/1448594681080676353,[],[],0,,False,1,0,1,,フルボキサミンマレイン,,,,,,,"[{'screen_name': 'jijimedical', 'name': '時事メディカル', 'id': '1021627547803512833'}]",,,,
5,9,1448392577443516418,1448392577443516418,1634158674000.0,2021-10-14 05:57:54,+0900,,共和薬品 「フルボキサミンマレイン酸塩錠」の供給再開時期を延期 | 医薬経済社  https://t.co/M56vzMyvzZ,ja,[],[],631697671,631697671,risfax_iyaku,医薬経済社,4,05,https://twitter.com/risfax_iyaku/status/1448392577443516418,['https://risfax.co.jp/risfax/181825'],[],0,,False,4,0,0,,フルボキサミンマレイン,,,,,,,[],,,,
6,10,1448363298907324417,1448363298907324417,1634151694000.0,2021-10-14 04:01:34,+0900,,共和薬品 「フルボキサミンマレイン酸塩錠」の供給再開時期を延期  https://t.co/wDnie83Nh1,ja,[],[],46297868,46297868,seigomaeda,前田静吾｜海外情報活用コンサルタント　Insights4 Pharma編集長,4,04,https://twitter.com/seigomaeda/status/1448363298907324417,['http://dlvr.it/S9VPkV'],[],0,,False,0,0,0,,フルボキサミンマレイン,,,,,,,[],,,,
7,11,1448192821798731782,1448192821798731782,1634111049000.0,2021-10-13 16:44:09,+0900,,一昨日メンクリ行って診察して、フルボキサミンマレインを増量されて飲んだけど、頭が重だるいような変に覚醒しちゃってるような感じがして。 ずっと眠いのに寝付けないし夜も熟睡できなくてハッキリした夢みるしで、脳に違和感。 初めだけ？日に日に慣れてくるのかしら🤔 #うつ #うつ病 #鬱 #鬱病,ja,"['うつ', 'うつ病', '鬱', '鬱病']",[],1240347590354321410,1240347590354321410,nano_univers,あいう,3,16,https://twitter.com/nano_univers/status/1448192821798731782,[],[],0,,False,0,0,0,,フルボキサミンマレイン,,,,,,,[],,,,
8,13,1447347239743938560,1447347239743938560,1633909447000.0,2021-10-11 08:44:07,+0900,,フルボキサミンマレイン酸塩錠25mg「サワイ」／ フルボキサミンマレイン酸塩錠50mg「サワイ」／ フルボキサミンマレイン酸塩錠75mg「サワイ」  #添付文書 #抗精神薬 #向精神薬 #薬学    https://t.co/ID8ZnWF9zG,ja,"['添付文書', '抗精神薬', '向精神薬', '薬学']",[],201577749,201577749,_M31_,matsukura masaki,1,08,https://twitter.com/_M31_/status/1447347239743938560,['https://www.info.pmda.go.jp/go/pack/1179039F1141_1_13/#CONTRAINDICATIONS'],[],0,,False,0,0,0,,フルボキサミンマレイン,,,,,,,[],,,,
9,14,1446444268688580612,1446444268688580612,1633694161000.0,2021-10-08 20:56:01,+0900,,今飲んでいるものたち。 リスペリドン、フルボキサミンマレイン酸塩酸、アルプラゾラム、タンドスピロン酸塩酸、レボトミン、トリプタノール、フルニトラゼパム  レボトミンは「眠剤飲んでも頭の中がバチバチして寝れない」って伝えたら新しく処方された。,ja,[],[],1163209988497530880,1163209988497530880,Sakanakusuri,さかな,5,20,https://twitter.com/Sakanakusuri/status/1446444268688580612,[],[],0,,False,0,0,0,,フルボキサミンマレイン,,,,,,,[],,,,
