,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1452061826036817923,1452061826036817923,1635033491000.0,2021-10-24 08:58:11,+0900,,デパス1pミリ サイレース2ミリ マイスリー メジコン ブロチゾラム ベタナミン50ミリ アルプラゾラム0.8ミリ  安価で売ってくださるかたいますか？ #お薬もぐもぐ,ja,['お薬もぐもぐ'],[],1428191985983115264,1428191985983115264,000_garnet,水乃▷お薬,7,08,https://twitter.com/000_garnet/status/1452061826036817923,[],[],0,,False,3,0,0,,ベタナミン,,,,,,,[],,,,
1,1,1451801206888681473,1451801206888681473,1634971355000.0,2021-10-23 15:42:35,+0900,,おかえりベタナミン　君がいないと俺は起きていられないよ,ja,[],[],3120656376,3120656376,S_matanao,☢️,6,15,https://twitter.com/S_matanao/status/1451801206888681473,[],[],0,,False,0,0,0,,ベタナミン,,,,,,,[],,,,
2,2,1451729841502359560,1451729841502359560,1634954340000.0,2021-10-23 10:59:00,+0900,,ほんと、このおかげで、毎日がまわってる感じ。 何よりも眠くならないのが、本当にありがたい。睡眠障害がある身としては仕事中の居眠りはまじで社会的に死ぬからな💀 ベタナミンで体内時計狂ったし💀笑  https://t.co/HlolyoBh05,ja,[],[],131345894,131345894,yupipi_papiko,シアン@Aセク,6,10,https://twitter.com/yupipi_papiko/status/1451729841502359560,[],['https://pbs.twimg.com/media/FCWUk_mUcAAbTTn.jpg'],1,https://pbs.twimg.com/media/FCWUk_mUcAAbTTn.jpg,False,0,0,0,,ベタナミン,,,,,,,[],,,,
3,3,1451723059312742405,1451723059312742405,1634952723000.0,2021-10-23 10:32:03,+0900,,おそようございます。  今日は早朝からいつもの親友とではなく、他の女友達と私の家で一緒に勉強しています。  ベタナミン💊＋エナジードリンク🧋＋コーヒー☕️＋たばこ🚬＋目薬👀の5種の神器で、今日も戦います！,ja,[],[],887593596488044544,887593596488044544,ichmagchitokara,六花星@ちとから住民,6,10,https://twitter.com/ichmagchitokara/status/1451723059312742405,[],[],0,,False,6,0,0,,ベタナミン,,,,,,,[],,,,
4,4,1451600258371178500,1451600258371178500,1634923445000.0,2021-10-23 02:24:05,+0900,,ナルコじゃないけどベタナミンはなぜかこっちがアッパーすら求めてもないのにでたねぇ、ベゲタミンで眠ってベタナミンで起きる。マジで泥化。ヤブって評判でしたよ、赤玉銀春とかあったころなのでえりみんとはるしおん、さいれーすを処方しません、みたいな張り紙があるだけ優しかったのかもしれない。,ja,[],[],1009350766346174465,1009350766346174465,Naru3tea,ちさと@コミュ障をなおしていく,6,02,https://twitter.com/Naru3tea/status/1451600258371178500,[],[],0,,False,0,1,0,,ベタナミン,,,,,,,[],,,,
5,5,1451595592040255491,1451595592040255491,1634922333000.0,2021-10-23 02:05:33,+0900,,ベタナミンは向精神薬の一つでペモリン・精神刺激薬です。向精神薬の長期服用は副作用・依存性・禁断症状・後遺症などの危険性を増していきます。ベタナミンの詳細な副作用は以下の通りです→ https://t.co/OfYlsMCMwF（医薬品添付文書より）。,ja,[],[],1872014227,1872014227,alphaforu,向精神薬・副作用情報,6,02,https://twitter.com/alphaforu/status/1451595592040255491,['http://ow.ly/2bt2MZ'],[],0,,False,2,0,0,,ベタナミン,,,,,,,[],,,,
6,6,1451590753822511105,1451590753822511105,1634921179000.0,2021-10-23 01:46:19,+0900,,いったんベタナミンodして頭壊さなきゃ,ja,[],[],1441886045881049092,1441886045881049092,h3bkj,にこ,6,01,https://twitter.com/h3bkj/status/1451590753822511105,[],[],0,,False,0,0,0,,ベタナミン,,,,,,,[],,,,
7,7,1451561137812635654,1451561137812635654,1634914118000.0,2021-10-22 23:48:38,+0900,,ベタナミン、エナドリより薬価安いののカフェイン以上にキマるので仕事中パキるの楽しい,ja,[],[],1447464642863763460,1447464642863763460,psykhe_anima,anima,5,23,https://twitter.com/psykhe_anima/status/1451561137812635654,[],[],0,,False,0,0,0,,ベタナミン,,,,,,,[],,,,
8,8,1451507706586558465,1451507706586558465,1634901379000.0,2021-10-22 20:16:19,+0900,,ベタナミンてどれくらいで抜けるんだろうか けっこう間あけてるつもりなんだが,ja,[],[],1347025378238361600,1347025378238361600,usagifusion,ひよこ豆だけで生きていける,5,20,https://twitter.com/usagifusion/status/1451507706586558465,[],[],0,,False,0,0,0,,ベタナミン,,,,,,,[],,,,
9,9,1451503149475196934,1451503149475196934,1634900293000.0,2021-10-22 19:58:13,+0900,,過眠症患者会の代表の方に、「ベタナミンは過眠症患者の中ではありふれた薬で、お医者さんが何でそんなことを言うのかわからない。」と。そこらへんの精神科医より、よっぽど信用できる。,ja,[],[],99679639,99679639,ututotukiau_PT,POST,5,19,https://twitter.com/ututotukiau_PT/status/1451503149475196934,[],[],0,,False,3,0,0,,ベタナミン,,,,,,,[],,,,
