,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1452052268216324096,1452052268216324096,1635031213000.0,2021-10-24 08:20:13,+0900,,【薬理学】[抗うつ薬] まみちゃんの愛は振られた…見る価値無し▼ ま：マプロチリン(四環系抗うつ薬) み：ミアンセリン(四環系抗うつ薬) あ：アミトリプチン(三環系抗うつ薬) いは：イミプラミン(三環系抗うつ薬) 振られた：フルボキサミン(SSRI) 見る価値無し：ミルナシプラン（SNRI）,ja,[],[],850867386,850867386,yakugaku_bot2,薬学部語呂合わせbot,7,08,https://twitter.com/yakugaku_bot2/status/1452052268216324096,[],[],0,,False,0,0,0,,ミルナシプラン,,,,,,,[],,,,
1,1,1452005293802418180,1452005293802418180,1635020013000.0,2021-10-24 05:13:33,+0900,,三環系抗うつ薬：イミプラミン、アミトリプチン 四環系抗うつ薬：マプロチリン、ミアンセリン SSRI：フルボキサミン、パロキセチン SNRI：ミルナシプラン,ja,[],[],483779147,483779147,ssksh_bot,さぶろー_bot,7,05,https://twitter.com/ssksh_bot/status/1452005293802418180,[],[],0,,False,0,0,0,,ミルナシプラン,,,,,,,[],,,,
2,2,1451998258482589701,1451998258482589701,1635018336000.0,2021-10-24 04:45:36,+0900,,ミルナシプラン塩酸塩錠50mg｢マイラン｣,ja,[],[],3071009942,3071009942,8no3ka,ّ,7,04,https://twitter.com/8no3ka/status/1451998258482589701,[],[],0,,False,0,0,0,,ミルナシプラン,,,,,,,[],,,,
3,3,1451950435942604805,1451950435942604805,1635006934000.0,2021-10-24 01:35:34,+0900,,ミルナシプランは向精神薬の一つでSNRI抗うつ薬です。向精神薬の長期服用は副作用・依存性・禁断症状・後遺症などの危険性を増していきます。ミルナシプランの詳細な副作用は以下の通りです→ https://t.co/CXNNYDreCl（医薬品添付文書より）。,ja,[],[],1872014227,1872014227,alphaforu,向精神薬・副作用情報,7,01,https://twitter.com/alphaforu/status/1451950435942604805,['http://ow.ly/2bsSkp'],[],0,,False,0,0,0,,ミルナシプラン,,,,,,,[],,,,
4,27,1451338557965037576,1451338557965037576,1634861051000.0,2021-10-22 09:04:11,+0900,,ミルナシプランは、セロトニン及びノルアドレナリンの再取り込みを阻害する。（100-156）,ja,[],[],822883322,822883322,kokushiyakuri,国試薬理bot,5,09,https://twitter.com/kokushiyakuri/status/1451338557965037576,[],[],0,,False,0,0,0,,ミルナシプラン,,,,,,,[],,,,
5,36,1451156144395751424,1451156144395751424,1634817560000.0,2021-10-21 20:59:20,+0900,,SNRI（選択的セロトニン、ノルアドレナリン再取り込み阻害薬）：ミルナシプラン、デュロキセチン,ja,[],[],1257676076,1257676076,yakugakubot001,薬理学bot,4,20,https://twitter.com/yakugakubot001/status/1451156144395751424,[],[],0,,False,0,0,0,,ミルナシプラン,,,,,,,[],,,,
6,40,1451072009656365058,1451072009656365058,1634797501000.0,2021-10-21 15:25:01,+0900,,抗鬱剤のトレドミン（ミルナシプラン塩酸塩）ってやつ、最初1日25mgからスタートし、50mgになり、現在75mgになりました。100mgが1日の限度量だそうです。つまりあと1回の変身を残しているということ・・！,ja,[],[],189774556,189774556,niboshi2000,村井ニボシ,4,15,https://twitter.com/niboshi2000/status/1451072009656365058,[],[],0,,False,1,0,0,,ミルナシプラン,,,,,,,[],,,,
7,51,1450734794568990720,1450734794568990720,1634717103000.0,2021-10-20 17:05:03,+0900,,【一般名】ミルナシプラン 【薬効分類】向精神薬 【商品名】トレドミン 【副作用】悪性症候群 【薬理】セロトニン5-HT/NA再取り込み阻害作用（SNRI）  【適応】うつ病 【投与量】25mg/日,ja,[],[],1734306787,1734306787,hinyou194,頻用薬物194bot,3,17,https://twitter.com/hinyou194/status/1450734794568990720,[],[],0,,False,0,0,0,,ミルナシプラン,,,,,,,[],,,,
8,52,1450617542762893319,1450617542762893319,1634689148000.0,2021-10-20 09:19:08,+0900,,抗うつ薬②  ＊SNRI（セロトニン・ノルアドレナリン再取り込み阻害薬） ・ミルナシプラン塩酸塩(トレドミン) ・デュロキセチン塩基塩(サインバルタ)  ＊NaSSA（ノルアドレナリン作動性・特異的セロトニン作動性抗うつ薬） ・ミルタザピン(リフレックス、レメロン),ja,[],[],1018802179862171648,1018802179862171648,psychologicalb3,心理臨床あれこれ,3,09,https://twitter.com/psychologicalb3/status/1450617542762893319,[],[],0,,False,1,0,0,,ミルナシプラン,,,,,,,[],,,,
9,61,1450431745602457605,1450431743584989197,1634644850000.0,2021-10-19 21:00:50,+0900,,今日一日中、頭痛、吐き気、軟便(下痢)、目眩、低体温、疲労感、怠惰感、無気力で何も考えることすらできなかった 休んで夜になれば少しはマシになると思ったけど、全然ダメだから、ミルナシプラン三錠を急遽投与(残り5錠) そもそも精神疾患を身体的休養でなんとかなるもんでもないから、苦痛だよ,ja,[],[],1059582866365935617,1059582866365935617,tsubaki_last,諸々不詳な変女♂/椿,2,21,https://twitter.com/tsubaki_last/status/1450431745602457605,[],[],0,,False,0,0,0,,ミルナシプラン,,,,,,,[],,,,
10,68,1450125580184129542,1450125580184129542,1634571855000.0,2021-10-19 00:44:15,+0900,,「ミルナシプラン」はセロトニンノルアドレナリン再取り込み阻害薬で、うつ病に用いる。適用外で慢性疼痛、癌性疼痛、線維筋痛症に用いる。MAO阻害薬投与中、前立腺疾患等の尿閉には禁忌。頻脈、血圧上昇に注意。副作用は悪性症候群、セロトニン症候群、悪心、めまい、不眠など。商品名はトレドミン,ja,[],[],538941214,538941214,Iyakuhin_bot,医薬品bot,2,00,https://twitter.com/Iyakuhin_bot/status/1450125580184129542,[],[],0,,False,0,0,0,,ミルナシプラン,,,,,,,[],,,,
11,72,1450006868366032897,1450006868366032897,1634543551000.0,2021-10-18 16:52:31,+0900,,うーん… もしかしたら、気落ちしてる? どうしよっかなぁ… この前、お試しにミルナシプラン飲んでみたら、気分が悪くなったんだよなぁ… 薬の所為かは分からんけど。 吐き気とかは無かったけど、胃もたれみたいなやつ。,ja,[],[],2787996300,2787996300,toki_kanaziri,仁紀-toki-@不眠戦隊ネレンノジャー∠(*°ω°)／,1,16,https://twitter.com/toki_kanaziri/status/1450006868366032897,[],[],0,,False,0,0,0,,ミルナシプラン,,,,,,,[],,,,
