,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1452060694606536705,1452060694606536705,1635033222000.0,2021-10-24 08:53:42,+0900,,鉄砲切り兼光さんでした。  特別衣装の方はお迎えできなかったですね、無念。 天華百剣始めたばかりの頃、圧倒的な攻撃範囲が頼もしかったので同行者によく指定してました。  手先器用で衣装自作出来るので毛利藤四郎さんと組んでほしかったですね  #今日の巫剣  https://t.co/JbYTnLzEkG,ja,['今日の巫剣'],[],163270863,163270863,reflex0826,ﾘﾌﾚｯｸｽ,7,08,https://twitter.com/reflex0826/status/1452060694606536705,[],['https://pbs.twimg.com/media/FCbBgYKVUAIQIDC.jpg'],1,https://pbs.twimg.com/media/FCbBgYKVUAIQIDC.jpg,False,13,0,2,,リフレックス,,,,,,,[],,,,
1,1,1451972149548257280,1451972149548257280,1635012111000.0,2021-10-24 03:01:51,+0900,,また野良でやってたら大量のシャッポキッズに囲まれて大変なことになったのでプライベートでリフレックスもう使わない！,ja,[],[],913053770614923264,913053770614923264,shappo_hs,シャッポ@クリサポはSHAPO,7,03,https://twitter.com/shappo_hs/status/1451972149548257280,[],[],0,,False,18,3,0,,リフレックス,,,,,,,[],,,,
2,2,1451961559593324545,1451961559593324545,1635009586000.0,2021-10-24 02:19:46,+0900,, https://t.co/Hc6XuVhkbx,und,[],[],1258074529210888192,1258074529210888192,LefleX_o,リフレックス🥝Access,7,02,https://twitter.com/LefleX_o/status/1451961559593324545,[],['https://pbs.twimg.com/media/FCZnV3cUUAM_Gos.jpg'],1,https://pbs.twimg.com/media/FCZnV3cUUAM_Gos.jpg,False,3,0,0,,リフレックス,,,,,,,[],,,,
3,4,1451949316038266881,1451949316038266881,1635006667000.0,2021-10-24 01:31:07,+0900,,🔥フォートナイトスキン代行🔥 ✨イーオン 1500円 ✨ギャラクシー 3000円 ✨リフレックス 2000円 ✨V-backs 1500～13500V-backs 数によって値段が変動します。 ✨全てセット（10000v） 5000円 #フォートナイト #フォートナイト代行  https://t.co/OtBH1HtMGV,ja,"['フォートナイト', 'フォートナイト代行']",[],1422848492251205632,1422848492251205632,pobv5t1oPqJoF6K,Y.N2008,7,01,https://twitter.com/pobv5t1oPqJoF6K/status/1451949316038266881,[],['https://pbs.twimg.com/media/FCZcNLhVcAIUM5p.jpg'],1,https://pbs.twimg.com/media/FCZcNLhVcAIUM5p.jpg,False,1,0,0,,リフレックス,,,,,,,[],,,,
4,11,1451930797192015885,1451930797192015885,1635002252000.0,2021-10-24 00:17:32,+0900,,過覚醒で眠気が 眠剤追加します。頓服上限まで来た。ベンゾ系のなんか奴が頓服。ベンゾさん？ 平常時はリフレックスとマイスリー,ja,[],[],1282181006640861184,1282181006640861184,GGT_NL_Hollow,Hollowpty　閉鎖病棟日記と豆知識の人,7,00,https://twitter.com/GGT_NL_Hollow/status/1451930797192015885,[],[],0,,False,0,0,0,,リフレックス,,,,,,,[],,,,
5,12,1451916770428682242,1451916770428682242,1634998908000.0,2021-10-23 23:21:48,+0900,,#フォートナイトスキン代行導入 オナーガード、リフレックスのセット  ☔️代行経験多数 ☔️即日対応 ☔️詐欺報告ゼロ  2つともコードによる代行のため メアパスがなくても導入できます コードなので代行時間は10分程度  依頼はDMまでお願いします,ja,['フォートナイトスキン代行導入'],[],1110825003447025665,1110825003447025665,chocolateFortn,「TPS」チョコのお店,6,23,https://twitter.com/chocolateFortn/status/1451916770428682242,[],[],0,,False,0,0,0,,リフレックス,,,,,,,[],,,,
6,14,1451901947066216453,1451867798691409934,1634995373000.0,2021-10-23 22:22:53,+0900,,@OmusubiRotary @12tsuribito @tsurinotami @trout1110 私はイベント行ったのに買えなかった😱リフレックス再販熱望🤩,ja,[],[],716950930642509824,716950930642509824,wintersease,しん,6,22,https://twitter.com/wintersease/status/1451901947066216453,[],[],0,,False,4,0,0,,リフレックス,,,,,,,"[{'screen_name': 'OmusubiRotary', 'name': 'yuu', 'id': '143814943'}, {'screen_name': '12tsuribito', 'name': 'すいきち', 'id': '2315309552'}, {'screen_name': 'tsurinotami', 'name': 'やまサシ', 'id': '1005393513813454849'}, {'screen_name': 'trout1110', 'name': 'Jun', 'id': '2949870348'}]",,,,
7,18,1451900181973143559,1451867798691409934,1634994953000.0,2021-10-23 22:15:53,+0900,,@12tsuribito @tsurinotami @trout1110 ここぞ❗️って言うカラーで良いですよね😳リフレックスでもまた出して欲しいですね😊,ja,[],[],143814943,143814943,OmusubiRotary,yuu,6,22,https://twitter.com/OmusubiRotary/status/1451900181973143559,[],[],0,,False,4,1,0,,リフレックス,,,,,,,"[{'screen_name': '12tsuribito', 'name': 'すいきち', 'id': '2315309552'}, {'screen_name': 'tsurinotami', 'name': 'やまサシ', 'id': '1005393513813454849'}, {'screen_name': 'trout1110', 'name': 'Jun', 'id': '2949870348'}]",,,,
8,35,1451868452965076993,1451713506126938122,1634987388000.0,2021-10-23 20:09:48,+0900,,@DwYgW8jhnAmAbpF easy！たしかにwww 朝とか昼とかにリフレックス飲んでフツーに仕事してた時期もあるので効きやすくても耐性はついてしまうものなのか😇と肝に銘じてデパスも加減して飲んでます💊💊しぬまで向こう数十年完全に断つのは厳しそうなので。。。,ja,[],[],1339812716190429184,1339812716190429184,KIWI252348821,きうい🥝,6,20,https://twitter.com/KIWI252348821/status/1451868452965076993,[],[],0,,False,1,0,0,,リフレックス,,,,,,,"[{'screen_name': 'DwYgW8jhnAmAbpF', 'name': 'ミミ🐝あと100日で無職になる看護師', 'id': '1250273731961696260'}]",,,,
9,36,1451864315498090496,1451864315498090496,1634986401000.0,2021-10-23 19:53:21,+0900,,色々言われてるみたいですが実際トータル500kgは身体能力的にもボディメイク的にもだいぶ仕上がりが両立できてるステージにいると思うので とにかくBIG3向上を目指す！ってのも悪くは無いかと とはいえ私はベンチプレスがそこまで優秀な種目と思ってないので同時にこだわる必要も無いと思ってます,ja,[],[],1277180666682064899,1277180666682064899,ReFLEX_susukino,リフレックスReFLEX/札幌市すすきの駅から5分の手ぶらで通えるパーソナルジム,6,19,https://twitter.com/ReFLEX_susukino/status/1451864315498090496,[],[],0,,False,2,0,1,https://twitter.com/taiga_fitness/status/1451741275405783042,リフレックス,,,,,,,[],,,,
