,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1451926187421286406,1451926187421286406,1635001153000.0,2021-10-23 23:59:13,+0900,,四環形抗うつ薬にはマプロチリン（ルジオミール®）やミアンセリン（テトラミド®）などがありますが、このうちルジオミールはノルアドレナリン再取り込み阻害によるもので、ミアンセリンは中枢α２受容体遮断によるものです。どちらも眠気は強いと思われます。,ja,[],[],1343922457,1343922457,psychpharmatan,神経薬理学たん,6,23,https://twitter.com/psychpharmatan/status/1451926187421286406,[],[],0,,False,0,0,0,,ルジオミール,,,,,,,[],,,,
1,1,1451790386192470018,1451790386192470018,1634968775000.0,2021-10-23 14:59:35,+0900,,うーん昨日実家関連で嫌なことがあってから不安感がなくならない…。だいぶ前に病院からもらったルジオミール君飲もうか迷うところだ,ja,[],[],1445075583612833792,1445075583612833792,BmYr0,よもやま,6,14,https://twitter.com/BmYr0/status/1451790386192470018,[],[],0,,False,1,0,0,,ルジオミール,,,,,,,[],,,,
2,3,1451207434932944912,1451207434932944912,1634829789000.0,2021-10-22 00:23:09,+0900,,まじしんどい 悲しい寂しい虚しい ソナとルジオミール プロチゾラム投入したので寝ます 寝逃げ,ja,[],[],1312370469987733508,1312370469987733508,wk0x3xQvPLwsQGg,みぃーずぅー,5,00,https://twitter.com/wk0x3xQvPLwsQGg/status/1451207434932944912,[],[],0,,False,0,0,0,,ルジオミール,,,,,,,[],,,,
3,4,1450815234118012934,1450813563942014976,1634736281000.0,2021-10-20 22:24:41,+0900,,私そのお薬の名前を聞く度に 無理！！ってなって トラウマを思い出す ……それは…そのお薬はダメです… 私には合わなかったものです  そしたらまだルジオミール増の方が でも多分これ以上は  ｢じゃあ、〇〇〇は強いですよ…｣  そっちの方の方が依存は出ないかも デパス→エチゾラムだったぁあぁあ…,ja,[],[],421794058,421794058,aoiramune,ramune＠ayahime,3,22,https://twitter.com/aoiramune/status/1450815234118012934,[],[],0,,False,0,1,0,,ルジオミール,,,,,,,[],,,,
4,5,1450702213219717122,1450702213219717122,1634709335000.0,2021-10-20 14:55:35,+0900,,ルジオミール、マプロチリンが追加されました。 抗うつ薬飲み過ぎなのが本当にやばいなって思っています。 いい加減減らしたい。 行く度に増えて、増えて、っていうのを繰り返している気がします。 闘病生活真っ暗すぎて辛い。,ja,[],[],843463001843802112,843463001843802112,milk_candy_xxx_,ナユリ,3,14,https://twitter.com/milk_candy_xxx_/status/1450702213219717122,[],[],0,,False,7,0,0,,ルジオミール,,,,,,,[],,,,
5,6,1450659425597808646,1450659425597808646,1634699133000.0,2021-10-20 12:05:33,+0900,,ルジオミールは向精神薬の一つで四環系抗うつ薬です。向精神薬の長期服用は副作用・依存性・禁断症状・後遺症などの危険性を増していきます。ルジオミールの詳細な副作用は以下の通りです→ https://t.co/GZ4XXwA4yc（医薬品添付文書より）。,ja,[],[],1872014227,1872014227,alphaforu,向精神薬・副作用情報,3,12,https://twitter.com/alphaforu/status/1450659425597808646,['http://ow.ly/2bsT4G'],[],0,,False,0,0,0,,ルジオミール,,,,,,,[],,,,
6,7,1450647581025980416,1450647581025980416,1634696309000.0,2021-10-20 11:18:29,+0900,,抗うつ薬④  ＊四環系 ・マプロチリン塩酸塩(ルジオミール) ・セチプチリン塩酸塩(テシプール) ・ミアンセリ塩酸塩ン(テトラミド),ja,[],[],1018802179862171648,1018802179862171648,psychologicalb3,心理臨床あれこれ,3,11,https://twitter.com/psychologicalb3/status/1450647581025980416,[],[],0,,False,1,0,0,,ルジオミール,,,,,,,[],,,,
7,8,1450484662518771716,1450484662518771716,1634657466000.0,2021-10-20 00:31:06,+0900,,ルジオミール。第二世代の抗うつ薬で四環系抗うつ薬だ。三環系よりは副作用が軽減されている。だが少し作用が劣るみたいだ。抗うつ薬全般に言えるが副作用として悪性症候群、麻痺性イレウス、重い不整脈が現れた時はすぐさま病院に行くんだぞ。大将に何かあったら俺っち…あ、なんでもない。,ja,[],[],990950616041013248,990950616041013248,psydrug_yagen,向精神薬に詳しい薬研藤四郎bot,3,00,https://twitter.com/psydrug_yagen/status/1450484662518771716,[],[],0,,False,2,1,0,,ルジオミール,,,,,,,[],,,,
8,10,1449274897994182659,1449274897994182659,1634369036000.0,2021-10-16 16:23:56,+0900,,イライラは無くなった。 ルジオミールが強過ぎたで正解 レクサプロの吐き気はまだ有り,ja,[],[],1280697990508756992,1280697990508756992,CjmcqZwq7eLNY16,リリリ,6,16,https://twitter.com/CjmcqZwq7eLNY16/status/1449274897994182659,[],[],0,,False,0,0,0,,ルジオミール,,,,,,,[],,,,
9,12,1448915983574331394,1448915983574331394,1634283464000.0,2021-10-15 16:37:44,+0900,,分類：抗うつ薬　商品名：ルジオミール　一般名：マプロチリン　効能：うつ病　用量：30-75mg　備考：第二世代に分類される四環系抗うつ薬　四環系薬剤の再取り込み阻害作用はノルアドレナリンに特化　つまり精神運動賦活や欲動に有効であるといわれている,ja,[],[],1213583493730422784,1213583493730422784,kokorokusuri999,ガブちゃんこころの救急箱,5,16,https://twitter.com/kokorokusuri999/status/1448915983574331394,[],[],0,,False,0,0,0,,ルジオミール,,,,,,,[],,,,
