,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1452024331639291906,1452024331639291906,1635024552000.0,2021-10-24 06:29:12,+0900,,【定期】螺旋ﾙﾎﾞｯｸｽ  ゆうつべ　 https://t.co/ZNEkaNswdj,ja,[],[],3545926518,3545926518,hakuto_nico0513,白兎@未定,7,06,https://twitter.com/hakuto_nico0513/status/1452024331639291906,['https://youtu.be/qWlnKsdbHSs'],[],0,,False,0,0,0,,ルボックス,,,,,,,[],,,,
1,1,1451942841345720332,1451942841345720332,1635005123000.0,2021-10-24 01:05:23,+0900,,・夕食後 抗うつ薬 : ルボックス 50mg 精神安定剤 : デパケンR 200mg  ・寝る前 睡眠薬 : レンドルミン 0.25mg、ハルシオン 0.125mg (0.5 錠)  ・頓服薬 抗不安薬 : デパス 0.5mg  ※ 先発薬の商品名を記載。実際に服用しているのは、それぞれのジェネリック。,ja,[],[],137076436,137076436,mototama,元多摩@FullyVaccinated,7,01,https://twitter.com/mototama/status/1451942841345720332,[],[],0,,False,2,1,0,,ルボックス,,,,,,,[],,,,
2,2,1451916152825806851,1451916152825806851,1634998760000.0,2021-10-23 23:19:20,+0900,,これ引いてテンション上がってこの後モン玉の2レベでマルタ引きますとか言ってたら本当に出て心臓止まるかと思った🤣これは大勝利😊  https://t.co/EtgjOlkzVq,ja,[],[],953884932798955520,953884932798955520,Rubox_FN,ルボックス,6,23,https://twitter.com/Rubox_FN/status/1451916152825806851,[],"['https://pbs.twimg.com/media/FCY-C2dUYAkFxAt.jpg', 'https://pbs.twimg.com/media/FCY-C2rUYAUtjwP.jpg']",1,https://pbs.twimg.com/media/FCY-C2dUYAkFxAt.jpg,False,0,0,0,,ルボックス,,,,,,,[],,,,
3,3,1451908192993046530,1451908192993046530,1634996863000.0,2021-10-23 22:47:43,+0900,,ルボックス ゆううつな気持ちや落ち込んでいる気分を和らげます。 通常、成人ではうつ病・うつ状態、強迫性障害、社会不安障害の治療に、小児では強迫性障害の治療に 副作用として、吐き気、眠気、口渇、便秘、倦怠感、めまい、食欲不振など #うつ病 #病み垢,ja,"['うつ病', '病み垢']",[],1034310636472217600,1034310636472217600,okusurishan,心理のプロが教えるあなたの薬,6,22,https://twitter.com/okusurishan/status/1451908192993046530,[],[],0,,False,1,0,0,,ルボックス,,,,,,,[],,,,
4,4,1451892549921042441,1451887949742690306,1634993133000.0,2021-10-23 21:45:33,+0900,,螺旋ルボックス,ja,[],[],1424062821801676800,1424062821801676800,amour32ciel,𝕔𝕚𝕖𝕝୨❦୧シエル@イラスト制作✧*̣̩⋆̩ フォロバ𝟏𝟎𝟎,6,21,https://twitter.com/amour32ciel/status/1451892549921042441,[],[],0,,False,1,0,0,,ルボックス,,,,,,,[],,,,
5,5,1451836918279200772,1451836918279200772,1634979869000.0,2021-10-23 18:04:29,+0900,,ルボックス(フルボキサミン) SSRI  本剤の一般名である Fluvoxamine の下線部 luvox をとって命名した。,ja,[],[],702794064605777920,702794064605777920,kusuri_no_namae,薬の名称由来bot,6,18,https://twitter.com/kusuri_no_namae/status/1451836918279200772,[],[],0,,False,0,0,0,,ルボックス,,,,,,,[],,,,
6,7,1451760136477757442,1451760136477757442,1634961563000.0,2021-10-23 12:59:23,+0900,,精神系のお薬を飲んでいる方は、場合によってはカフェインを控えた方が良いと思います。カフェインは不安を惹起しますし、特にフルボキサミン（ルボックス®）はカフェインを分解するCYP1A2という酵素を阻害するので、少しのカフェインでも血中濃度が上がってしまいます。,ja,[],[],1343922457,1343922457,psychpharmatan,神経薬理学たん,6,12,https://twitter.com/psychpharmatan/status/1451760136477757442,[],[],0,,False,0,0,0,,ルボックス,,,,,,,[],,,,
7,8,1451733323420635147,1451733323420635147,1634955170000.0,2021-10-23 11:12:50,+0900,,気持ちが前よりは安定してる リフレックスと、ルボックス飲んでる。ルボックスは、二日目。 効いてくれ。,ja,[],[],1281807009260527621,1281807009260527621,usokawausokawar,かわこ,6,11,https://twitter.com/usokawausokawar/status/1451733323420635147,[],[],0,,False,2,0,0,,ルボックス,,,,,,,[],,,,
8,9,1451724827681701892,1451724827681701892,1634953145000.0,2021-10-23 10:39:05,+0900,,今まで飲んだ抗うつ薬で1番性欲や 快感に影響あったのが イフェクサー(今)だ。 ルボックスはOK トリンテリックスもOKだった(個人差あるはず） 薬変えたいな…😅  ＃抗うつ薬 #性欲減退,ja,"['抗うつ薬', '性欲減退']",[],1093841655449284608,1093841655449284608,yutatan0226_,ゆたたん,6,10,https://twitter.com/yutatan0226_/status/1451724827681701892,[],[],0,,False,5,0,0,,ルボックス,,,,,,,[],,,,
9,11,1451688278248198157,1451688278248198157,1634944431000.0,2021-10-23 08:13:51,+0900,,【薬理】フルボキサミン（デプロメール、ルボックス）、パロキセチン（パキシル、パキシルCR）、セルトラリン（ジェイゾロフト）、エスシタロプラム（レクサプロ） 選択的セロトニン再取り込み阻害薬（SSRI）。、セロトニントランスポーターに選択的に結合し、セロトニンの再取り込みを阻害。,ja,[],[],1360420136197398530,1360420136197398530,Labo02105957,おくすり学びLabo,6,08,https://twitter.com/Labo02105957/status/1451688278248198157,[],[],0,,False,0,0,0,,ルボックス,,,,,,,[],,,,
