,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1452050411557294083,1451702278923063296,1635030770000.0,2021-10-24 08:12:50,+0900,,@_say_nonomori 有益な情報をありがとうございますー。 下に居るレクサプロとゾルピデムは10年来のお友達()なのですが、デパスさんだけお初で。 とりま呑んで一晩寝てみましたが、現状何ともない感じです。,ja,[],[],275125016,275125016,mi_kishin,キシン,7,08,https://twitter.com/mi_kishin/status/1452050411557294083,[],[],0,,False,1,1,0,,レクサプロ,,,,,,,"[{'screen_name': '_say_nonomori', 'name': '壱', 'id': '151447779'}]",,,,
1,1,1452043405605801986,1452043405605801986,1635029100000.0,2021-10-24 07:45:00,+0900,,レクサプロが体質的に合わない、という方に処方されることが多い  ジェイゾロフトのジェネリック品【セルティア】のご紹介です♪  詳しくはブログで→ https://t.co/B9O38cpJfE  ※診察を受け、処方された経験のある方の使用を推奨します。  #不安障害 #SSRI #ジェイゾロフト  https://t.co/x1etjrP6Ua,ja,"['不安障害', 'ssri', 'ジェイゾロフト']",[],1281553108410105856,1281553108410105856,okusuri_x,「サツキ」お薬＆サプリ個人輸入情報@相互フォロー😊,7,07,https://twitter.com/okusuri_x/status/1452043405605801986,"['https://okusuri-x.com/jzoloft-oyasuku/', 'https://alwys.net/contents/ard.php?id=OS016428&adwares=os011944']",[],0,,False,0,0,0,,レクサプロ,,,,,,,[],,,,
2,2,1452040516573433862,1452040516573433862,1635028411000.0,2021-10-24 07:33:31,+0900,,レクサプロの副作用いつまで続くんだろう…飲まなくなってすぐなくなるわけじゃないよね…。安定はしてたからミルタザピン抜くだけで様子見たかった…。,ja,[],[],1355141521578713106,1355141521578713106,njrLydfTvCyQoDh,あいりす@1m←40w3d,7,07,https://twitter.com/njrLydfTvCyQoDh/status/1452040516573433862,[],[],0,,False,1,0,0,,レクサプロ,,,,,,,[],,,,
3,3,1452033854101864451,1452033854101864451,1635026822000.0,2021-10-24 07:07:02,+0900,,おはようございます。今日は息子の試合です‼️朝のお薬飲んで行ってきます。 今朝は鼻づまりです😅 ＃レクサプロ ＃スルピリド,ja,"['レクサプロ', 'スルピリド']",[],1440693677874040839,1440693677874040839,CoKXzdIAqcG1BzC,そわそわ,7,07,https://twitter.com/CoKXzdIAqcG1BzC/status/1452033854101864451,[],[],0,,False,4,0,0,,レクサプロ,,,,,,,[],,,,
4,5,1452000132774326272,1451977012575236098,1635018783000.0,2021-10-24 04:53:03,+0900,,@kurage1009 私もレクサプロ飲んでます 私の場合、半錠（0.5mgだったかな？）で３週間くらい副作用の吐き気が続きました😭,ja,[],[],1440575999180083201,1440575999180083201,vsmokumoku,もくもく,7,04,https://twitter.com/vsmokumoku/status/1452000132774326272,[],[],0,,False,1,1,0,,レクサプロ,,,,,,,"[{'screen_name': 'kurage1009', 'name': 'くらげ', 'id': '1450177766066843648'}]",,,,
5,6,1451977012575236098,1451977012575236098,1635013270000.0,2021-10-24 03:21:10,+0900,,最近夜布団に入ってちょっとすると気持ち悪くなってくるんだけど、もしかして寝る前に飲んでるレクサプロのせい、、、？ いや夕飯後に飲めって話なんだけども、、、,ja,[],[],1450177766066843648,1450177766066843648,kurage1009,くらげ,7,03,https://twitter.com/kurage1009/status/1451977012575236098,[],[],0,,False,2,1,0,,レクサプロ,,,,,,,[],,,,
6,7,1451944040685969408,1451944040685969408,1635005409000.0,2021-10-24 01:10:09,+0900,,メンクリ行ったのに薬もらってくるの忘れた、、ぽれのレクサプロが、、😿,ja,[],[],1426524476783566848,1426524476783566848,nyanpocon_,にゃぽ,7,01,https://twitter.com/nyanpocon_/status/1451944040685969408,[],[],0,,False,2,0,0,,レクサプロ,,,,,,,[],,,,
7,8,1451940061755310088,1451940061755310088,1635004461000.0,2021-10-24 00:54:21,+0900,,お風呂入ってたら急に力抜けて糸が切れたみたいに倒れ込んでしまったんだけど同時に体の内側がムズムズして息苦しくて過呼吸になった 風邪引いてて2週間くらいレクサプロ飲めてなかったのが原因なのかなって疑ってるのだけど抗うつ剤の離脱症状に呼吸困難って含まれてるのかな 調べても出てこない,ja,[],[],1893253844,1893253844,9r9r39,よわねはアニメとお絵描きが大好きです,7,00,https://twitter.com/9r9r39/status/1451940061755310088,[],[],0,,False,0,0,0,,レクサプロ,,,,,,,[],,,,
8,9,1451932792271486977,1451932792271486977,1635002727000.0,2021-10-24 00:25:27,+0900,,昨日からレクサプロ半錠から1錠に変えてみてるけど、ずっとムカムカしてる。明日もムカムカするようだったら胃薬飲もうかな…月曜からもこんな感じ続くなら仕事耐えられんもんな,ja,[],[],1403224694631714816,1403224694631714816,iRB2UsyjxPYC3tc,がんばれない,7,00,https://twitter.com/iRB2UsyjxPYC3tc/status/1451932792271486977,[],[],0,,False,0,0,0,,レクサプロ,,,,,,,[],,,,
9,10,1451930827047063552,1451930827047063552,1635002259000.0,2021-10-24 00:17:39,+0900,,レクサプロ 憂うつな気分を和らげ、不安などの症状を改善します。 通常、うつ病・うつ状態、社会不安障害の治療に。 副作用として、眠気、吐き気、めまい、頭痛、口渇、倦怠感、発疹、湿疹、蕁麻疹、かゆみ、アナフィラキシー反応、血管浮腫など #うつ病 #病み垢,ja,"['うつ病', '病み垢']",[],1034310636472217600,1034310636472217600,okusurishan,心理のプロが教えるあなたの薬,7,00,https://twitter.com/okusurishan/status/1451930827047063552,[],[],0,,False,0,0,0,,レクサプロ,,,,,,,[],,,,
