,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1452060997380816898,1452060997380816898,1635033294000.0,2021-10-24 08:54:54,+0900,,トラゾドン使いやすいところ  5HT2受容体拮抗薬（二環系） ｒデジレル、ｒレスリン うつでない人（抗うつ薬だがむしろせん妄などによく効く） クエチアピン出しづらい人,ja,[],[],1269604230278438914,1269604230278438914,kensyuuimemo,kensyuuimemo,7,08,https://twitter.com/kensyuuimemo/status/1452060997380816898,[],[],0,,False,0,0,0,,レスリン,,,,,,,[],,,,
1,1,1451917432080142340,1451917432080142340,1634999065000.0,2021-10-23 23:24:25,+0900,,どうしていいか分からなくなってとりあえずレスリンとトリプトファンとハイプロンをod 今確実に言えることは、家族にごめんなさいと薬と自傷は1度でも手を出したらダメ、絶対。,ja,[],[],1442124091461234706,1442124091461234706,apricot_candy_c,ここ,6,23,https://twitter.com/apricot_candy_c/status/1451917432080142340,[],[],0,,False,1,0,0,,レスリン,,,,,,,[],,,,
2,2,1451915973347344387,1451915973347344387,1634998717000.0,2021-10-23 23:18:37,+0900,,リンハルトはどちらかというとレスリンが見たいんだけどユーリスはレトユリ萌えがあるな……レスユリも好きだけど,ja,[],[],1450330598728294402,1450330598728294402,Ruchika_chan,るっちー,6,23,https://twitter.com/Ruchika_chan/status/1451915973347344387,[],[],0,,False,0,0,0,,レスリン,,,,,,,[],,,,
3,3,1451864657526865922,1451864657526865922,1634986483000.0,2021-10-23 19:54:43,+0900,,不眠時頓服ゾルピデムとトラゾドンが処方されてることが多いんだけど不意にトラゾドンのことレスリンと言われるとビビる,ja,[],[],1279998524692631553,1279998524692631553,c6_pwd,れすりん,6,19,https://twitter.com/c6_pwd/status/1451864657526865922,[],[],0,,False,1,0,0,,レスリン,,,,,,,[],,,,
4,4,1451847824270761984,1451847824270761984,1634982469000.0,2021-10-23 18:47:49,+0900,,もしかして．．．これって...レスリンじゃないッ!?,ja,[],[],612627063,612627063,b_hatakeyama,新日暮里格言bot,6,18,https://twitter.com/b_hatakeyama/status/1451847824270761984,[],[],0,,False,0,0,0,,レスリン,,,,,,,[],,,,
5,5,1451692002135838722,1451692002135838722,1634945319000.0,2021-10-23 08:28:39,+0900,,【マイスリー、レスリン、レクサプロ、セルシンを服用。心療科に通院中】 過呼吸の症状が出て、半年前から心療科に通っています。 その際にセルシンを処方されました。 (続きを読む⇒)  https://t.co/OajDJzFQSe,ja,[],[],3271644956,3271644956,shakai_huan,社会不安障害の情報と悩み相談,6,08,https://twitter.com/shakai_huan/status/1451692002135838722,['https://cocooru.com/posts/detail/2014711'],[],0,,False,0,0,0,,レスリン,,,,,,,[],,,,
6,6,1451640876241883137,1451640876241883137,1634933129000.0,2021-10-23 05:05:29,+0900,,レスリンは向精神薬の一つでトリアゾロピリジン系抗うつ薬です。向精神薬の長期服用は副作用・依存性・禁断症状・後遺症などの危険性を増していきます。レスリンの詳細な副作用は以下の通りです→ https://t.co/FCBKixg8YU（医薬品添付文書より）。,ja,[],[],1872014227,1872014227,alphaforu,向精神薬・副作用情報,6,05,https://twitter.com/alphaforu/status/1451640876241883137,['http://ow.ly/2bsT4e'],[],0,,False,0,0,0,,レスリン,,,,,,,[],,,,
7,7,1451630954959630336,1451630954959630336,1634930764000.0,2021-10-23 04:26:04,+0900,,レスリン飲んでも三時間しか眠れない...,ja,[],[],1126406724896739329,1126406724896739329,cracr2a,くまぱん,6,04,https://twitter.com/cracr2a/status/1451630954959630336,[],[],0,,False,0,0,0,,レスリン,,,,,,,[],,,,
8,8,1451586141140910081,1451586141140910081,1634920079000.0,2021-10-23 01:27:59,+0900,,眠れない。 レスリン、ベルソムラに戻して欲しい。 フルニトラゼパムはドラールに変えて欲しい。 次の通院でお願いしてみよう。,ja,[],[],836794678913687553,836794678913687553,Homz0224Gibson,つかさ🚗 ³₃,6,01,https://twitter.com/Homz0224Gibson/status/1451586141140910081,[],[],0,,False,2,1,0,,レスリン,,,,,,,[],,,,
9,10,1451537214542782464,1451537214542782464,1634908414000.0,2021-10-22 22:13:34,+0900,,レスリンってトラゾドンのことかあ なんか眠れそうな名前だったから眠剤かと思ってた、、,ja,[],[],1430509295972405253,1430509295972405253,nemunemunezu,ねむ,5,22,https://twitter.com/nemunemunezu/status/1451537214542782464,[],[],0,,False,1,0,0,,レスリン,,,,,,,[],,,,
10,11,1451511731319042048,1451511731319042048,1634902339000.0,2021-10-22 20:32:19,+0900,,診察で悪夢が酷かったので、お薬調整もしてもらいました☘️ レスリン50mg×1錠が2錠100mgになりました。 これで少し安定していたら、お薬減らしてみるそうです。 悪夢減るといいな🌙𓈒 𓂂𓏸,ja,[],[],1240394569570635776,1240394569570635776,milk_15_25,みるく🌸୨୧ *̩̩̥*̩̩̥,5,20,https://twitter.com/milk_15_25/status/1451511731319042048,[],[],0,,False,28,0,0,,レスリン,,,,,,,[],,,,
