,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1451947870811144194,1451947870811144194,1635006322000.0,2021-10-24 01:25:22,+0900,,ちぃちゃんに彼氏面する渋谷かのん有罪  https://t.co/m4Ujf1Hq7l,ja,[],[],1449780062027333633,1449780062027333633,panba_lovelive,🎧しみくま🐙,7,01,https://twitter.com/panba_lovelive/status/1451947870811144194,[],"['https://pbs.twimg.com/media/FCZaxbPVUAU6d4f.jpg', 'https://pbs.twimg.com/media/FCZazCJVIAIuQZC.jpg']",1,https://pbs.twimg.com/media/FCZaxbPVUAU6d4f.jpg,False,0,0,0,,彼氏,,,,,,,[],,,,
1,1,1451947856164655105,1451947856164655105,1635006319000.0,2021-10-24 01:25:19,+0900,,恋愛アプリって意外と使ってない人多く無い！？？♣けっこう使えるのにね☺️,ja,[],[],1451947180038635530,1451947180038635530,FujimiBi,フジミ🐋🍅彼氏募集/えろ希望/巨乳/若妻/ うらあか/ えっち/東京,7,01,https://twitter.com/FujimiBi/status/1451947856164655105,[],[],0,,False,0,0,0,,彼氏,,,,,,,[],,,,
2,2,1451947853199204352,1451947853199204352,1635006318000.0,2021-10-24 01:25:18,+0900,,色々と遊びたいな🌸素人 えちえち動画好き🐷大人の関係 になってほしいの💘プロフみてみて🌈,ja,[],[],1451947389162385414,1451947389162385414,hMJwV67ymiUTPYZ,りお🌈エロ金髪フェチ 彼氏募集セフレ/手マン/やり方/おな二ー 動画/エろ漫画,7,01,https://twitter.com/hMJwV67ymiUTPYZ/status/1451947853199204352,[],[],0,,False,0,0,0,,彼氏,,,,,,,[],,,,
3,3,1451947851630538759,1451937737192337409,1635006318000.0,2021-10-24 01:25:18,+0900,,@Momizi_513 うん優しいと思うよ そういう所が彼氏さんが好きになるところかもね,ja,[],[],1256494867494039558,1256494867494039558,22141020A,サクラ,7,01,https://twitter.com/22141020A/status/1451947851630538759,[],[],0,,False,0,0,0,,彼氏,,,,,,,"[{'screen_name': 'Momizi_513', 'name': '杠葉 もみじ☃️❦神のメイド中 フォロバ💯', 'id': '1365615081266896901'}]",,,,
4,4,1451947840079425540,1451947840079425540,1635006315000.0,2021-10-24 01:25:15,+0900,,自分はまだ寝ないのに私がベッド行くとついて来てわざわざお布団掛けてチュッてして戻っていく最高な彼氏。,ja,[],[],1441066386491469831,1441066386491469831,mofu9_chan,もふくちゃん,7,01,https://twitter.com/mofu9_chan/status/1451947840079425540,[],[],0,,False,0,0,0,,彼氏,,,,,,,[],,,,
5,5,1451947837671890948,1451947837671890948,1635006315000.0,2021-10-24 01:25:15,+0900,,彼氏寝ちゃった...,ja,[],[],1146652367099613185,1146652367099613185,laiciffo_ukitot,totiku™️,7,01,https://twitter.com/laiciffo_ukitot/status/1451947837671890948,[],[],0,,False,0,0,0,,彼氏,,,,,,,[],,,,
6,6,1451947830445101062,1451947830445101062,1635006313000.0,2021-10-24 01:25:13,+0900,,彼氏佑普通にイケメン仕様だし相手が時浦（女装）なので身長差も違和感がなくこれ試しに着た時の先輩方とがっくんの反応が見たい……,ja,[],[],1268199742711795712,1268199742711795712,togino_act,とぎもち,7,01,https://twitter.com/togino_act/status/1451947830445101062,[],[],0,,False,0,0,0,,彼氏,,,,,,,[],,,,
7,7,1451947819133063172,1451944464654635010,1635006310000.0,2021-10-24 01:25:10,+0900,,@Civma_ll4kyl 是非繋がりましょ固ツイ読んでいただけると嬉しいです！,ja,[],[],1263379593479643143,1263379593479643143,Erina_sakura_,えりうさ@彼氏毎日Love♡,7,01,https://twitter.com/Erina_sakura_/status/1451947819133063172,[],[],0,,False,0,0,0,,彼氏,,,,,,,"[{'screen_name': 'Civma_ll4kyl', 'name': 'しう', 'id': '1439093135322140672'}]",,,,
8,9,1451947817681842179,1451947817681842179,1635006310000.0,2021-10-24 01:25:10,+0900,,urak男子ﾝｼﾞくん、彼氏に内緒でこっそり活動しているのだけど普通にバレてて、ﾝｼﾞくんが誰かと会いそうになると先にその人物消しちゃう…そして良い頃合でお仕置きされるでしょ…,ja,[],[],1353326960315781121,1353326960315781121,Satoooo24k,🌕,7,01,https://twitter.com/Satoooo24k/status/1451947817681842179,[],[],0,,False,0,0,0,,彼氏,,,,,,,[],,,,
9,11,1451947799830958082,1451947799830958082,1635006306000.0,2021-10-24 01:25:06,+0900,,今年中に絶対彼氏作る！( ⌒ ͜ ⌒ ),ja,[],[],1451947346560905217,1451947346560905217,JD12238639,りあ/秋田/JD美容師アナル せフレ募集/せックス 動画 /あなる/動画/ママ活募集,7,01,https://twitter.com/JD12238639/status/1451947799830958082,[],[],0,,False,0,0,0,,彼氏,,,,,,,[],,,,
10,12,1451947794420285442,1451947794420285442,1635006304000.0,2021-10-24 01:25:04,+0900,,…寒いのか？,ja,[],[],1071350400,1071350400,Lei_Ruku_Love,レイ・ルク彼氏bot,7,01,https://twitter.com/Lei_Ruku_Love/status/1451947794420285442,[],[],0,,False,0,0,0,,彼氏,,,,,,,[],,,,
11,13,1451947775726211078,1451947775726211078,1635006300000.0,2021-10-24 01:25:00,+0900,,やっほー  エチエチ動画見たいかな？ フ゜ロフから、らL1ん待ってるー  通話 SEX レンタル彼氏 ゴムなし募集 小倉唯 吉高寧々 竹内結子 志田未来 大浦真奈美 羽田美智子,ja,[],[],1450119080652902401,1450119080652902401,4akbi41wrh2mhg,なぎさ,7,01,https://twitter.com/4akbi41wrh2mhg/status/1451947775726211078,[],[],0,,False,0,0,0,,彼氏,,,,,,,[],,,,
12,14,1451947775021617154,1451947775021617154,1635006300000.0,2021-10-24 01:25:00,+0900,,好みの男の人作ってた こんなことしてたら彼氏欲しくなる…  https://t.co/wPnklzNkbU,ja,[],[],1444494554741100551,1444494554741100551,M__mirudake,♡M♡,7,01,https://twitter.com/M__mirudake/status/1451947775021617154,[],['https://pbs.twimg.com/media/FCZaziHUcAYtIou.jpg'],1,https://pbs.twimg.com/media/FCZaziHUcAYtIou.jpg,False,0,0,0,,彼氏,,,,,,,[],,,,
13,16,1451947762661138434,1451947762661138434,1635006297000.0,2021-10-24 01:24:57,+0900,,文学が好きな穏やかな人で、友達も多く誰の相談でも快く聞く彼氏。たまたま友達とファミレスに行ったら、どっかから聞いたことあるような怒鳴り声が聞こえてきて→  https://t.co/Oj26kAlN47,ja,[],[],909744582404972544,909744582404972544,hapicupid_ante,【婚活・結婚生活】まとめ,7,01,https://twitter.com/hapicupid_ante/status/1451947762661138434,['https://happycupid.xyz/249791/'],[],0,,False,0,0,0,,彼氏,,,,,,,[],,,,
14,17,1451947754897379330,1451947754897379330,1635006295000.0,2021-10-24 01:24:55,+0900,,12年間男子校育ちの彼氏が、小学生男子同士の官能漫画のようなものをスマホで見ていたことを知ってしまった時の感情,ja,[],[],1440710249422278656,1440710249422278656,kyouwatoday,め医,7,01,https://twitter.com/kyouwatoday/status/1451947754897379330,[],[],0,,False,0,0,0,,彼氏,,,,,,,[],,,,
15,18,1451947750191341572,1451941361704267787,1635006294000.0,2021-10-24 01:24:54,+0900,,@aichan__1234 ほんとに、照れすぎてやばい,ja,[],[],1436174337904545792,1436174337904545792,utakun_1,桃瀬うた🎶🐳 あいの彼氏🧸💫,7,01,https://twitter.com/utakun_1/status/1451947750191341572,[],[],0,,False,0,0,0,,彼氏,,,,,,,"[{'screen_name': 'aichan__1234', 'name': '桃瀬あい🧸💫うたの彼女🎶🐳', 'id': '1416603717726466053'}]",,,,
16,19,1451947744516403202,1451947744516403202,1635006292000.0,2021-10-24 01:24:52,+0900,,オナホまンこ宣伝💗💗💗 俺のお気にの雌まンこちゃんの、マシュ・キリエライト💗💗💗 先輩?とか言う雑魚彼氏に隠れて毎日雄ちン食い散らかしてま~す💗💗💗 みんなもよかった遊んでみてね~💗  @6s6dCKSSPQEhFFN  #r18なりきりさんと繋がりたい  https://t.co/OPALxvgpBH,ja,['r18なりきりさんと繋がりたい'],[],1380514071577911299,1380514071577911299,yituqbOgGltuUFV,雌喰いち〇ぽ👉👌💗@募集用,7,01,https://twitter.com/yituqbOgGltuUFV/status/1451947744516403202,[],['https://pbs.twimg.com/media/FCZax2NVIAMXh53.jpg'],1,https://pbs.twimg.com/media/FCZax2NVIAMXh53.jpg,False,0,0,0,,彼氏,,,,,,,[],,,,
17,20,1451947743086215174,1451947743086215174,1635006292000.0,2021-10-24 01:24:52,+0900,,2週間会えないと思って覚悟決めてたら、彼が会いにきてくれた😭💓 すごくぎゅーして寝てくれるの可愛いし、暑くなったらよだれ拭きながら「あちゅい」って言って寝返りうつのも可愛い💕 腕私の背中の下にあるけどどかそうとしても意地でも動かさないのも可愛い💓 可愛いしかっこいいし最高の彼氏だ😌,ja,[],[],1367203439227277314,1367203439227277314,hatimitubata,しらたま,7,01,https://twitter.com/hatimitubata/status/1451947743086215174,[],[],0,,False,0,0,0,,彼氏,,,,,,,[],,,,
18,21,1451947742746472450,1451947742746472450,1635006292000.0,2021-10-24 01:24:52,+0900,,誕生日1ヶ月前に彼氏と別れ、同棲解消、急に一人暮らしを始めて毎日寂しくてしんどかったけど少しずつ時間が解決してくれました,ja,[],[],728300848858566656,728300848858566656,aak_a1,io,7,01,https://twitter.com/aak_a1/status/1451947742746472450,[],[],0,,False,0,0,0,,彼氏,,,,,,,[],,,,
19,22,1451947733560934409,1451947733560934409,1635006290000.0,2021-10-24 01:24:50,+0900,,inマック。女子高生「私の彼がジュノンボーイになって他の女に チヤホヤされたら嫌ぁ！」と号泣。慰める友人と、もう中学生似の 彼氏。隣で笑いを堪えるリーマン。2011年秋。,ja,[],[],1038616297,1038616297,waraeruhabot,笑える話BOT,7,01,https://twitter.com/waraeruhabot/status/1451947733560934409,[],[],0,,False,0,0,0,,彼氏,,,,,,,[],,,,
20,24,1451947720650805251,1451947720650805251,1635006287000.0,2021-10-24 01:24:47,+0900,,彼氏に「私もそろそろ歳だなぁ…」って呟くと無言になる！はい！はい！はいはいはい！！！！！(私の彼氏の)あるある探検隊！！！！！！！×2,ja,[],[],1330823864671109120,1330823864671109120,CUDt2CXiyEOkSou,少なめ,7,01,https://twitter.com/CUDt2CXiyEOkSou/status/1451947720650805251,[],[],0,,False,0,0,0,,彼氏,,,,,,,[],,,,
21,25,1451947714120347649,1451944040350375941,1635006285000.0,2021-10-24 01:24:45,+0900,,@KMmiino あれ、、、、 両思いだ😳❤️,ja,[],[],727688754438098944,727688754438098944,m1no_328,𓏸𓈒 𓂃彼氏不足みの𓂃 𓈒𓏸🎀我が推ししか勝たん,7,01,https://twitter.com/m1no_328/status/1451947714120347649,[],[],0,,False,0,0,0,,彼氏,,,,,,,"[{'screen_name': 'KMmiino', 'name': 'みぃ🌻', 'id': '1142016749883105282'}]",,,,
22,26,1451947710701998083,1451947710701998083,1635006284000.0,2021-10-24 01:24:44,+0900,,テトテの彼氏探し。  今日もうまく行かなかった。,ja,[],[],455871612,455871612,moriyamatomowo,ＭＯＲＩＹＡＭＡ,7,01,https://twitter.com/moriyamatomowo/status/1451947710701998083,[],[],0,,False,0,0,0,,彼氏,,,,,,,[],,,,
