,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1452062246956257288,1452062246956257288,1635033592000.0,2021-10-24 08:59:52,+0900,,イナが図鑑にはいるのに手持ちにいなくてガチで死にたい,ja,[],[],183074426,183074426,horio_zzz,horio,7,08,https://twitter.com/horio_zzz/status/1452062246956257288,[],[],0,,False,0,0,0,,死にたい,,,,,,,[],,,,
1,1,1452062230741078017,1452062230741078017,1635033588000.0,2021-10-24 08:59:48,+0900,,元彼よりやばい奴はいないよ！あんなヤバいやつはおらん！ってお姉ちゃんに言われたけど そうかな、今のが愛されてるけどやばいやつだよ こんなこと言っちゃいけないと思うけど愚痴ってもいいよね、あんな酷いことされたんだから、ほんとふざけんなよ はぁ、死にたい 死ねって思うよりか私が死にたい,ja,[],[],3109871094,3109871094,hitomi_pocky,ひとみ*,7,08,https://twitter.com/hitomi_pocky/status/1452062230741078017,[],[],0,,False,0,0,0,,死にたい,,,,,,,[],,,,
2,2,1452062195450146816,1452062195450146816,1635033580000.0,2021-10-24 08:59:40,+0900,,死にたい,ja,[],[],1088540427727204355,1088540427727204355,Ie8M7a7CQE6nPtx,穏やか？,7,08,https://twitter.com/Ie8M7a7CQE6nPtx/status/1452062195450146816,[],[],0,,False,1,0,0,,死にたい,,,,,,,[],,,,
3,3,1452062174042484736,1452062174042484736,1635033574000.0,2021-10-24 08:59:34,+0900,,👑には家族や相棒たちがいるしやりたいことまだ全然できてないし全然死にたいと思ったことないし寧ろ絶対死んだら駄目と思っていたのにBN後お見舞いに来た🐉に冗談ぽく「勝ち逃げなんか許さない」と言われ🐉に勝った瞬間を思い出し「あの時は死んでも良いと思えたな」と納得して恋心を自覚するんですよ,ja,[],[],766094222663544832,766094222663544832,t0um0r0k0sh1,もろこし,7,08,https://twitter.com/t0um0r0k0sh1/status/1452062174042484736,[],[],0,,False,0,1,0,,死にたい,,,,,,,[],,,,
4,4,1452062169646854144,1452062169646854144,1635033573000.0,2021-10-24 08:59:33,+0900,,もう無理だ死にたい,ja,[],[],1452056866880589830,1452056866880589830,xO6T55ZjM6yTv5N,死にたい,7,08,https://twitter.com/xO6T55ZjM6yTv5N/status/1452062169646854144,[],[],0,,False,0,0,0,,死にたい,,,,,,,[],,,,
5,5,1452062142807433219,1452062142807433219,1635033567000.0,2021-10-24 08:59:27,+0900,,みんな犬のフィルター使ってない？何あれ流行ってるの⁇,ja,[],[],1449583549825236999,1449583549825236999,8dnm3_a,早よ死にたい,7,08,https://twitter.com/8dnm3_a/status/1452062142807433219,[],[],0,,False,1,0,0,,死にたい,,,,,,,[],,,,
6,6,1452062096489730051,1452062096489730051,1635033556000.0,2021-10-24 08:59:16,+0900,,"tinamad na kong umalis, ang hassle kasi bumyahe pag naulan..  7:59",tl,[],[],1387298620584562689,1387298620584562689,anataofakkku,私は死にたい,7,08,https://twitter.com/anataofakkku/status/1452062096489730051,[],[],0,,False,0,0,0,,死にたい,,,,,,,[],,,,
7,7,1452061984053030915,1452061984053030915,1635033529000.0,2021-10-24 08:58:49,+0900,,おはよう、おやすみ、こんにちは、こんばんは、おおはよう、こんにちは、こんばんは、つかれた、寝る、ほかる、死にたい、怖い、おはようございます、占って！ いってきます、ただいま、お帰り、いい天気、寝る、お風呂　ドリンクは？5849,ja,[],[],3283647085,3283647085,ususa7,#عاجل,7,08,https://twitter.com/ususa7/status/1452061984053030915,[],[],0,,False,0,0,0,,死にたい,,,,,,,[],,,,
8,8,1452061979242233856,1452061979242233856,1635033528000.0,2021-10-24 08:58:48,+0900,,ミコト「死にたいじゃなくて、みんなもっと欲望を叫べばいいと思うんです。例えば、大トロ食べたいとか、ジンさんの奢りで地中海フルコース食べたいとか、誤字無くなって欲しいとか。そうしたらきっと死にたいって言うよりも楽しくなるんじゃないかな♪」,ja,[],[],3404228052,3404228052,blackwiz_copipe,黒ウィズコピペbot,7,08,https://twitter.com/blackwiz_copipe/status/1452061979242233856,[],[],0,,False,0,0,0,,死にたい,,,,,,,[],,,,
9,9,1452061977858097152,1452061977858097152,1635033528000.0,2021-10-24 08:58:48,+0900,,いつも最後には冗談だ、と誤魔化していますが、別れるくらいなら一緒に死にたいと思うことはよくあります。 でもどうせ私のことだから、自殺は怖くて出来ないのです。 だから、別れる時にはきっと私を殺してください。 後を追うことまでは、求めませんから。,ja,[],[],3282664195,3282664195,darekano_shinso,誰かの心象bot,7,08,https://twitter.com/darekano_shinso/status/1452061977858097152,[],[],0,,False,0,0,0,,死にたい,,,,,,,[],,,,
