,index,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,0,1452054945167933441,1451431565943132160,1635031851000.0,2021-10-24 08:30:51,+0900,,@ponpocokachan @sirogomarakko 不登校にも種類があります。 担任が嫌だ 友人関係 勉強が辛い　など 最初はこんな些細なことですが、それが積み重なれば精神的な病に陥ってしまいます。 自律神経失調症、パニック障害、鬱など 実際私もこれらの病気にかかったことがあります。 何事にも原因があるのです。,ja,[],[],1437632108743192576,1437632108743192576,oXVpxXPW7vuUkCO,ひろし,7,08,https://twitter.com/oXVpxXPW7vuUkCO/status/1452054945167933441,[],[],0,,False,0,0,0,,鬱　辛い,,,,,,,"[{'screen_name': 'ponpocokachan', 'name': 'ponpoco', 'id': '1441586622869303298'}, {'screen_name': 'sirogomarakko', 'name': 'sirogomarakko', 'id': '1392082729412431874'}]",,,,
1,1,1452045414962647040,1452045414962647040,1635029579000.0,2021-10-24 07:52:59,+0900,,おはようございます  理解して貰うって難しい🤔  親戚関係身内全て、 昭和初期モデルのド根性・忍耐派です  アル依：酒すらガマンできない 鬱：気合が足りない  病は気から！気の持ちよう！ 皆辛いけど頑張ってるぞ！ で、話しが終了してしまう😰  頑張ってはいるんですよ😭  １９日目  #Twitter断酒部,ja,['twitter断酒部'],[],2530936850,2530936850,inusipo,犬のしっぽ,7,07,https://twitter.com/inusipo/status/1452045414962647040,[],[],0,,False,80,3,0,,鬱　辛い,,,,,,,[],,,,
2,2,1452043480507633665,1452043480507633665,1635029118000.0,2021-10-24 07:45:18,+0900,,鬱で仕事行きたくないとか甘えってよく言うけど。甘えではないと俺は思うんよね。体が辛いよーって悲鳴をあげてるんだろって思うのよ。 仕事はあくまで生きる為にするのであって仕事の為に生きてると勘違いしちゃダメなのよ。,ja,[],[],1188447914864984064,1188447914864984064,catHero0728,桜餅@さくも,7,07,https://twitter.com/catHero0728/status/1452043480507633665,[],[],0,,False,2,0,1,,鬱　辛い,,,,,,,[],,,,
3,3,1452043384822984707,1452043384822984707,1635029095000.0,2021-10-24 07:44:55,+0900,,おはぽーんです😃 寒さ過ぎて布団から出られないまま 今やっと出ました。 でも、どんどん冬になってますね。 鬱には辛い時期… 自分はここ最近は落ち着いてます。 ただ、過眠気味ですが…,ja,[],[],1277952117752229888,1277952117752229888,hPmPnxOz8IcGFXS,どぽんこつ,7,07,https://twitter.com/hPmPnxOz8IcGFXS/status/1452043384822984707,[],[],0,,False,19,2,0,,鬱　辛い,,,,,,,[],,,,
4,4,1452039951839899658,1452039951839899658,1635028276000.0,2021-10-24 07:31:16,+0900,,【会社や学校に行くのが辛い人へ贈る言葉】  夕方から憂鬱になりやすいけど、月曜日乗り切るだけで意外とラクだよ！   https://t.co/blrhJgLxiF  #仕事 #うつ病 #鬱 #悩み #メンタル #ストレス #メンタルヘルス,ja,"['仕事', 'うつ病', '鬱', '悩み', 'メンタル', 'ストレス', 'メンタルヘルス']",[],1100013260261142530,1100013260261142530,HWdE9DxFQrCvui2,杉間馬男,7,07,https://twitter.com/HWdE9DxFQrCvui2/status/1452039951839899658,['https://note.com/umao_sugima/n/n96ebab2a7ed3'],[],0,,False,0,0,0,,鬱　辛い,,,,,,,[],,,,
5,5,1452039875033661440,1452039875033661440,1635028258000.0,2021-10-24 07:30:58,+0900,,おはよう。今日も辛い一日が始まるな・・・。,ja,[],[],914315510,914315510,utupiman_bot,鬱ピーマンbot,7,07,https://twitter.com/utupiman_bot/status/1452039875033661440,[],[],0,,False,1,0,0,,鬱　辛い,,,,,,,[],,,,
6,6,1452036916967211011,1452036916967211011,1635027553000.0,2021-10-24 07:19:13,+0900,,優しい人とだけ付き合うなら話し下手でもいいけど、やっぱり自分の伝えたいことが伝わらないと損するし、自分が辛い。 理不尽に怒られたりした時に、テンパらずスパッと言い返せるようになりたい。,ja,[],[],1372564405506908168,1372564405506908168,utu_girl_usagi,鬱少女うさぎ,7,07,https://twitter.com/utu_girl_usagi/status/1452036916967211011,[],[],0,,False,5,0,0,,鬱　辛い,,,,,,,[],,,,
7,7,1452031416397545472,1452031416397545472,1635026241000.0,2021-10-24 06:57:21,+0900,,疲れた………表情筋を動かすのも辛い…………あれ…………もはや動かないのな………,ja,[],[],3237654804,3237654804,Hels_valtlate,鬱になった指揮官bot,7,06,https://twitter.com/Hels_valtlate/status/1452031416397545472,[],[],0,,False,0,0,0,,鬱　辛い,,,,,,,[],,,,
8,8,1452031098079387649,1452031098079387649,1635026165000.0,2021-10-24 06:56:05,+0900,,自宅でメンタル・身体の不調がなくなる方法があったら知りたいですよね。  実は、多くの人が改善している方法があるんです。  自宅で簡単、いつでも誰でもできます。  私もその1人です。  体験談も参考になるので見てみてくださいね。   https://t.co/LeWV1oWAR8  #鬱 #疲れた #辛い #自殺 #産後うつ,ja,"['鬱', '疲れた', '辛い', '自殺', '産後うつ']",[],1368049058275717121,1368049058275717121,csqKVIb3hvkwmgX,りさ＠辛さや鬱を解消して前に進む,7,06,https://twitter.com/csqKVIb3hvkwmgX/status/1452031098079387649,['https://ift.tt/3dmI9yX'],[],0,,False,0,0,0,,鬱　辛い,,,,,,,[],,,,
9,9,1452015987537055744,1452015987537055744,1635022563000.0,2021-10-24 05:56:03,+0900,,衣類も配ってて 閉まってしまったのに  メンズのパーカーかジャンバーが 欲しいと言ったら  わざわざ探して持ってきてくれて  モコモコの嬉しい（　´∀｀） ユニクロだし  お洋服、買うお金なくて💸 本当に助けられてます  1人だと辛いし 心細いし  また病んで1人で苦しんでしまうので,ja,[],[],1300140563526635525,1300140563526635525,xxx_Maboka,🌹如月まどか🌟Ｊぇす💕 鬱🏥永遠の🔰💸,7,05,https://twitter.com/xxx_Maboka/status/1452015987537055744,[],[],0,,False,4,0,0,https://twitter.com/xxx_Maboka/status/1452010161887854594,鬱　辛い,,,,,,,[],,,,
